frame	xtl	ytl	xbr	ybr	class	temporary	data
2018-02-13_1418_left/000000	1567	883	1649	956	2.4		
2018-02-13_1418_left/000000	1658	885	1724	951	4.1.2		
2018-02-13_1418_left/000012	1578	889	1655	960	2.4		
2018-02-13_1418_left/000012	1669	892	1734	957	4.1.2		
2018-02-13_1418_left/000019	1595	890	1677	962	2.4		
2018-02-13_1418_left/000019	1688	893	1753	959	4.1.2		
2018-02-13_1418_left/000029	1648	895	1731	968	2.4		
2018-02-13_1418_left/000029	1741	896	1810	965	4.1.2		
2018-02-13_1418_left/000046	1828	884	1915	962	2.4		
2018-02-13_1418_left/000046	1928	888	1999	959	4.1.2		
2018-02-13_1418_left/000066	2104	853	2201	936	2.4		
2018-02-13_1418_left/000066	2215	854	2300	934	4.1.2		
2018-02-13_1418_left/000073	2218	847	2319	932	2.4		
2018-02-13_1418_left/000073	2336	846	2430	932	4.1.2		
2018-02-13_1418_left/000283	433	959	457	996	4.1.1		
2018-02-13_1418_left/000341	2348	813	2388	848	5.15.2		
2018-02-13_1418_left/000348	2412	793	2444	828	5.15.2		
2018-02-13_1418_left/000348	2240	809	2275	844	5.15.2		
2018-02-13_1418_left/000358	2067	809	2103	844	5.15.2		
2018-02-13_1418_left/000358	2237	795	2274	831	5.15.2		
2018-02-13_1418_left/000366	2266	787	2306	825	5.14		
2018-02-13_1418_left/000366	1923	820	1959	856	5.15.2		
2018-02-13_1418_left/000366	2091	809	2128	846	5.15.2		
2018-02-13_1418_left/000372	2149	781	2191	820	5.14		
2018-02-13_1418_left/000372	1976	802	2013	840	5.15.2		
2018-02-13_1418_left/000372	2383	743	2429	784	5.15.2		
2018-02-13_1418_left/000372	1811	814	1846	849	5.15.2		
2018-02-13_1418_left/000381	1788	789	1824	825	5.14		
2018-02-13_1418_left/000381	1960	770	1998	807	5.14		
2018-02-13_1418_left/000381	2185	733	2230	776	5.15.2		
2018-02-13_1418_left/000381	1624	799	1657	833	5.15.2		
2018-02-13_1418_left/000381	1788	789	1824	825	5.15.2		
2018-02-13_1418_left/000387	2284	931	2322	971	2.2		
2018-02-13_1418_left/000387	1826	760	1864	797	5.14		
2018-02-13_1418_left/000387	1652	777	1693	817	5.14		
2018-02-13_1418_left/000387	2051	728	2093	767	5.15.2		
2018-02-13_1418_left/000387	1653	777	1693	817	5.15.2		
2018-02-13_1418_left/000387	1490	789	1525	824	5.15.2		
2018-02-13_1418_left/000395	1672	753	1709	790	5.14		
2018-02-13_1418_left/000395	1895	720	1939	761	5.15.2		
2018-02-13_1418_left/000395	1498	769	1536	808	5.15.2		
2018-02-13_1418_left/000395	1331	778	1365	816	5.15.2		
2018-02-13_1418_left/000401	1559	748	1599	785	5.14		
2018-02-13_1418_left/000401	1785	717	1827	757	5.15.2		
2018-02-13_1418_left/000401	1214	772	1250	809	5.15.2		
2018-02-13_1418_left/000401	1385	764	1422	803	5.15.2		
2018-02-13_1418_left/000408	1429	744	1469	784	5.14		
2018-02-13_1418_left/000408	1077	767	1115	807	5.15.2		
2018-02-13_1418_left/000408	1657	714	1701	756	5.15.2		
2018-02-13_1418_left/000408	1250	759	1291	800	5.15.2		
2018-02-13_1418_left/000422	1249	729	1292	772	5.14		
2018-02-13_1418_left/000422	1487	698	1532	743	5.15.2		
2018-02-13_1418_left/000422	1061	747	1102	787	5.15.2		
2018-02-13_1418_left/000422	874	754	915	797	5.15.2		
2018-02-13_1418_left/000433	1148	701	1194	747	5.14		
2018-02-13_1418_left/000433	751	725	795	772	5.15.2		
2018-02-13_1418_left/000433	1401	669	1447	716	5.15.2		
2018-02-13_1418_left/000433	947	717	995	763	5.15.2		
2018-02-13_1418_left/000458	1064	656	1117	711	5.14		
2018-02-13_1418_left/000458	1350	618	1405	675	5.15.2		
2018-02-13_1418_left/000458	835	677	888	731	5.15.2		
2018-02-13_1418_left/000458	608	687	663	743	5.15.2		
2018-02-13_1418_left/000478	1091	608	1156	671	5.14		
2018-02-13_1418_left/000478	1417	563	1481	626	5.15.2		
2018-02-13_1418_left/000478	581	645	641	710	5.15.2		
2018-02-13_1418_left/000478	833	634	897	698	5.15.2		
2018-02-13_1418_left/000484	1113	603	1178	667	5.14		
2018-02-13_1418_left/000484	844	630	908	695	5.14		
2018-02-13_1418_left/000484	583	643	645	707	5.15.2		
2018-02-13_1418_left/000484	1453	552	1523	621	5.15.2		
2018-02-13_1418_left/000484	844	630	908	695	5.15.2		
2018-02-13_1418_left/000495	1139	565	1209	639	5.14		
2018-02-13_1418_left/000495	561	611	629	683	5.15.2		
2018-02-13_1418_left/000495	1511	512	1584	587	5.15.2		
2018-02-13_1418_left/000495	842	595	916	669	5.15.2		
2018-02-13_1418_left/000502	2235	911	2277	970	2.1		
2018-02-13_1418_left/000502	1138	534	1215	614	5.14		
2018-02-13_1418_left/000502	523	583	595	661	5.15.2		
2018-02-13_1418_left/000502	1537	478	1617	560	5.15.2		
2018-02-13_1418_left/000502	826	566	900	645	5.15.2		
2018-02-13_1418_left/000510	1140	492	1227	577	5.14		
2018-02-13_1418_left/000510	475	546	550	627	5.15.2		
2018-02-13_1418_left/000510	801	526	882	610	5.15.2		
2018-02-13_1418_left/000510	1575	426	1666	517	5.15.2		
2018-02-13_1418_left/000515	1145	461	1231	549	5.14		
2018-02-13_1418_left/000515	437	517	519	605	5.15.2		
2018-02-13_1418_left/000515	1608	393	1697	488	5.15.2		
2018-02-13_1418_left/000515	1345	858	1368	885	5.15.2		
2018-02-13_1418_left/000515	781	496	870	587	5.15.2		
2018-02-13_1418_left/000520	2304	902	2345	965	2.1		
2018-02-13_1418_left/000520	1148	417	1239	510	5.14		
2018-02-13_1418_left/000520	758	455	853	549	5.15.2		
2018-02-13_1418_left/000520	1637	341	1737	442	5.15.2		
2018-02-13_1418_left/000520	1495	832	1519	855	5.15.2		
2018-02-13_1418_left/000520	395	476	477	574	5.15.2		
2018-02-13_1418_left/000526	2328	904	2365	964	2.1		
2018-02-13_1418_left/000526	1148	364	1251	464	5.14		
2018-02-13_1418_left/000526	329	432	425	536	5.15.2		
2018-02-13_1418_left/000526	729	408	829	512	5.15.2		
2018-02-13_1418_left/000526	1253	856	1277	883	5.15.2		
2018-02-13_1418_left/000526	1690	284	1795	393	5.15.2		
2018-02-13_1418_left/000534	1143	263	1261	375	5.14		
2018-02-13_1418_left/000534	1376	834	1398	858	5.14		
2018-02-13_1418_left/000534	668	316	779	432	5.15.2		
2018-02-13_1418_left/000534	1761	172	1885	294	5.15.2		
