frame	xtl	ytl	xbr	ybr	class	temporary	data
2018-02-07_1349_left/010053	1343	944	1362	961	5.19.1		
2018-02-07_1349_right/010053	1264	921	1283	938	5.19.1		
2018-02-07_1349_left/010054	1337	926	1356	943	5.19.1		
2018-02-07_1349_right/010054	1258	917	1277	934	5.19.1		
2018-02-07_1349_left/010055	1341	944	1360	961	5.19.1		
2018-02-07_1349_right/010055	1262	915	1281	932	5.19.1		
2018-02-07_1349_left/010056	1339	934	1358	951	5.19.1		
2018-02-07_1349_right/010056	1260	923	1279	940	5.19.1		
2018-02-07_1349_left/010057	1337	942	1356	959	5.19.1		
2018-02-07_1349_right/010057	1256	921	1275	938	5.19.1		
2018-02-07_1349_left/010058	1343	946	1362	963	5.19.1		
2018-02-07_1349_right/010058	1264	931	1283	948	5.19.1		
2018-02-07_1349_left/010059	1335	944	1354	961	5.19.1		
2018-02-07_1349_right/010059	1254	931	1273	948	5.19.1		
2018-02-07_1349_left/010060	1343	950	1362	967	5.19.1		
2018-02-07_1349_right/010060	1264	923	1283	940	5.19.1		
2018-02-07_1349_left/010061	1337	938	1356	955	5.19.1		
2018-02-07_1349_right/010061	1258	931	1277	948	5.19.2		
2018-02-07_1349_left/010062	1339	942	1358	959	5.19.1		
2018-02-07_1349_right/010062	1258	915	1277	932	5.19.1		
2018-02-07_1349_left/010063	1341	926	1360	943	5.19.1		
2018-02-07_1349_right/010063	1260	915	1279	932	5.19.1		
2018-02-07_1349_left/010064	1337	924	1356	941	5.19.1		
2018-02-07_1349_right/010064	1256	903	1275	920	5.19.1		
2018-02-07_1349_left/010065	1341	922	1360	939	5.19.1		
2018-02-07_1349_right/010065	1260	903	1279	920	5.19.1		
2018-02-07_1349_left/010066	1339	920	1358	937	5.19.1		
2018-02-07_1349_right/010066	1258	905	1277	922	5.19.1		
2018-02-07_1349_left/010067	1339	924	1358	941	5.19.1		
2018-02-07_1349_right/010067	1258	903	1277	920	5.19.1		
2018-02-07_1349_right/010067	1282	961	1300	979	4.1.1		
2018-02-07_1349_left/010068	1339	924	1358	941	5.19.1		
2018-02-07_1349_right/010068	1258	911	1277	928	5.19.1		
2018-02-07_1349_left/010069	1339	930	1358	947	5.19.1		
2018-02-07_1349_right/010069	1258	909	1277	926	5.19.1		
2018-02-07_1349_left/010070	1341	930	1360	947	5.19.1		
2018-02-07_1349_right/010070	1258	913	1277	930	5.19.1		
2018-02-07_1349_left/010071	1339	928	1358	945	5.19.1		
2018-02-07_1349_right/010071	1258	911	1277	928	5.19.1		
2018-02-07_1349_left/010072	1341	930	1360	947	5.19.1		
2018-02-07_1349_right/010072	1258	911	1277	928	5.19.1		
2018-02-07_1349_left/010073	1339	930	1358	947	5.19.1		
2018-02-07_1349_right/010073	1258	913	1277	930	5.19.1		
2018-02-07_1349_left/010074	1341	930	1360	947	5.19.1		
2018-02-07_1349_right/010074	1258	913	1277	930	5.19.1		
2018-02-07_1349_left/010075	1341	932	1360	949	5.19.1		
2018-02-07_1349_right/010075	1260	915	1279	932	5.19.1		
2018-02-07_1349_left/010076	1341	936	1360	953	5.19.1		
2018-02-07_1349_right/010076	1258	917	1277	934	5.19.1		
2018-02-07_1349_left/010077	1343	940	1362	957	5.19.1		
2018-02-07_1349_right/010077	1260	921	1279	938	5.19.1		
2018-02-07_1349_left/010078	1343	938	1362	955	5.19.1		
2018-02-07_1349_right/010078	1260	923	1279	940	5.19.1		
2018-02-07_1349_left/010079	1343	942	1362	959	5.19.1		
2018-02-07_1349_right/010079	1260	923	1279	940	5.19.1		
2018-02-07_1349_left/010080	1345	940	1364	957	5.19.1		
2018-02-07_1349_right/010080	1262	921	1281	938	5.19.1		
2018-02-07_1349_left/010081	1345	942	1364	959	5.19.1		
