frame	xtl	ytl	xbr	ybr	class	temporary	data
2018-02-07_1349_left/000993	1651	952	1688	993	4.4.1		
2018-02-07_1349_left/000993	1657	781	1755	884	2.1		
2018-02-07_1349_left/000994	1659	954	1697	992	4.4.1		
2018-02-07_1349_left/000994	1670	784	1769	880	2.1		
2018-02-07_1349_left/000994	1792	900	1816	959	5.19.1		
2018-02-07_1349_left/000995	1665	952	1699	989	4.4.1		
2018-02-07_1349_left/000995	1673	771	1778	868	2.1		
2018-02-07_1349_left/000996	1665	951	1704	992	4.4.1		
2018-02-07_1349_left/000996	1811	896	1830	951	5.19.1		
2018-02-07_1349_left/000996	1683	773	1793	875	2.1		
2018-02-07_1349_left/000997	1669	950	1710	991	4.4.1		
2018-02-07_1349_left/000997	1696	769	1800	871	2.1		
2018-02-07_1349_left/000997	1820	889	1842	955	5.19.1		
2018-02-07_1349_left/000998	1829	885	1849	946	5.19.1		
2018-02-07_1349_left/000998	1698	758	1805	855	2.1		
2018-02-07_1349_left/000998	1675	950	1713	990	4.4.1		
2018-02-07_1349_left/000999	1838	885	1857	949	5.19.1		
2018-02-07_1349_left/000999	1681	951	1718	991	4.4.1		
2018-02-07_1349_left/000999	1717	755	1825	862	2.1		
2018-02-07_1349_left/001000	1683	949	1722	991	4.4.1		
2018-02-07_1349_left/001000	1724	757	1834	862	2.1		
2018-02-07_1349_left/001001	1688	950	1729	991	4.4.1		
2018-02-07_1349_left/001001	1855	881	1879	957	5.19.1		
2018-02-07_1349_left/001001	1723	739	1843	852	2.1		
2018-02-07_1349_left/001002	1863	884	1886	956	5.19.1		
2018-02-07_1349_left/001002	1739	739	1861	859	2.1		
2018-02-07_1349_left/001002	1689	950	1728	991	4.4.1		
2018-02-07_1349_left/001003	1695	948	1736	991	4.4.1		
2018-02-07_1349_left/001003	1753	740	1873	849	2.1		
2018-02-07_1349_left/001003	1872	878	1900	959	5.19.1		
2018-02-07_1349_left/001004	1697	948	1739	991	4.4.1		
2018-02-07_1349_left/001004	1761	730	1881	843	2.1		
2018-02-07_1349_left/001004	1884	879	1911	949	5.19.1		
2018-02-07_1349_left/001005	1893	873	1919	952	5.19.1		
2018-02-07_1349_left/001005	1768	724	1890	842	2.1		
2018-02-07_1349_left/001005	1697	951	1748	992	4.4.1		
2018-02-07_1349_left/001006	1781	722	1911	843	2.1		
2018-02-07_1349_left/001006	1706	950	1748	991	4.4.1		
2018-02-07_1349_left/001006	1901	876	1931	952	5.19.1		
2018-02-07_1349_left/001007	1796	719	1920	843	2.1		
2018-02-07_1349_left/001007	1714	953	1750	988	4.4.1		
2018-02-07_1349_left/001007	1916	876	1946	953	5.19.1		
2018-02-07_1349_left/001008	1926	873	1954	952	5.19.1		
2018-02-07_1349_left/001008	1803	713	1935	844	2.1		
2018-02-07_1349_left/001008	1713	951	1756	990	4.4.1		
2018-02-07_1349_left/001009	1817	698	1955	837	2.1		
2018-02-07_1349_left/001009	1722	954	1759	989	4.4.1		
2018-02-07_1349_left/001009	1934	872	1965	958	5.19.1		
2018-02-07_1349_left/001010	1829	695	1983	830	2.1		
2018-02-07_1349_left/001010	1953	871	1982	953	5.19.1		
2018-02-07_1349_left/001010	1726	953	1764	993	4.4.1		
2018-02-07_1349_left/008947	1980	952	2035	1016	3.24		50
2018-02-07_1349_left/008948	1980	953	2037	1012	3.24		50
2018-02-07_1349_left/008949	1976	953	2035	1014	3.24		50
2018-02-07_1349_left/008950	1975	943	2032	1011	3.24		50
2018-02-07_1349_left/008951	1971	950	2033	1018	3.24		50
2018-02-07_1349_left/008952	1971	943	2030	1010	3.24		50
2018-02-07_1349_left/008953	1970	940	2033	1012	3.24		50
2018-02-07_1349_left/008954	1970	943	2038	1015	3.24		50
2018-02-07_1349_left/008955	1971	941	2030	1010	3.24		50
2018-02-07_1349_left/008956	1971	944	2029	1013	3.24		50
2018-02-07_1349_left/008957	1969	938	2030	1010	3.24		50
2018-02-07_1349_left/008958	1971	938	2035	1009	3.24		50
2018-02-07_1349_left/008959	1970	936	2036	1008	3.24		50
2018-02-07_1349_left/008960	1973	936	2041	1010	3.24		50
2018-02-07_1349_left/008961	1973	927	2044	1016	3.24		50
2018-02-07_1349_left/008962	1977	926	2051	1014	3.24		50
2018-02-07_1349_left/008963	1976	924	2055	1008	3.24		50
2018-02-07_1349_left/008964	1980	922	2057	1008	3.24		50
2018-02-07_1349_left/008965	1988	927	2055	1014	3.24		50
2018-02-07_1349_left/008966	1983	923	2062	1013	3.24		50
2018-02-07_1349_left/008967	1985	920	2070	1018	3.24		50
2018-02-07_1349_left/008968	1989	917	2067	1007	3.24		50
2018-02-07_1349_left/008969	1998	913	2078	1012	3.24		50
2018-02-07_1349_left/008970	1997	913	2084	1008	3.24		50
2018-02-07_1349_left/008971	2008	911	2084	1003	3.24		50
2018-02-07_1349_left/008972	2012	916	2098	1008	3.24		50
2018-02-07_1349_left/008973	2025	901	2102	992	3.24		50
2018-02-07_1349_left/008974	2029	907	2119	1010	3.24		50
2018-02-07_1349_left/008975	2042	902	2127	994	3.24		50
2018-02-07_1349_left/008976	2046	907	2131	1005	3.24		50
2018-02-07_1349_left/008977	2055	888	2151	1002	3.24		50
2018-02-07_1349_left/008978	2068	894	2163	996	3.24		50
2018-02-07_1349_left/008979	2079	894	2166	993	3.24		
2018-02-07_1349_left/008980	2094	890	2178	986	3.24		50
2018-02-07_1349_left/008981	2104	884	2203	1004	3.24		50
2018-02-07_1349_left/008982	2121	882	2209	991	3.24		50
2018-02-07_1349_left/008983	2129	872	2234	1002	3.24		50
2018-02-07_1349_left/008984	2145	871	2249	993	3.24		50
2018-02-07_1349_left/008985	2162	865	2271	987	3.24		50
2018-02-07_1349_left/008986	2179	865	2289	990	3.24		50
2018-02-07_1349_left/008987	2198	874	2320	992	3.24		
2018-02-07_1349_left/008988	2220	862	2330	988	3.24		50
2018-02-07_1349_left/008989	2246	847	2352	986	3.24		50
2018-02-07_1349_left/008990	2265	838	2384	992	3.24		50
2018-02-07_1349_left/008991	2292	838	2404	984	3.24		50
2018-02-07_1349_left/008992	2317	840	2425	984	3.24		50
2018-02-07_1349_left/010112	1387	965	1409	989	2.4		
2018-02-07_1349_left/010114	1388	966	1408	991	2.4		
2018-02-07_1349_left/010115	1389	965	1409	989	2.4		
2018-02-07_1349_left/010119	1371	931	1390	952	5.19.1		
2018-02-07_1349_left/010128	1404	966	1426	990	2.4		
2018-02-07_1349_left/010129	1401	962	1429	992	2.4		
2018-02-07_1349_left/010130	1404	964	1427	989	2.4		
2018-02-07_1349_left/010131	1402	962	1434	994	2.4		
2018-02-07_1349_left/010131	1382	927	1403	947	5.19.1		
2018-02-07_1349_left/010132	1404	961	1433	991	2.4		
2018-02-07_1349_left/010132	1383	927	1405	948	5.19.1		
2018-02-07_1349_left/010133	1384	925	1405	947	5.19.1		
2018-02-07_1349_left/010133	1411	960	1438	980	2.4		
2018-02-07_1349_left/010134	1385	923	1408	946	5.19.1		
2018-02-07_1349_left/010134	1408	959	1437	980	2.4		
2018-02-07_1349_left/010135	1408	960	1435	986	2.4		
2018-02-07_1349_left/010136	1408	956	1437	987	2.4		
2018-02-07_1349_left/010138	1409	955	1444	993	2.4		
2018-02-07_1349_left/010142	1412	960	1448	1005	2.4		
2018-02-07_1349_left/010147	1398	911	1423	938	5.19.1		
2018-02-07_1349_left/010147	1421	952	1449	977	2.4		
2018-02-07_1349_left/010149	1419	995	1447	1021	4.1.1		
2018-02-07_1349_left/010150	1423	998	1446	1022	4.1.1		
2018-02-07_1349_left/010150	1427	950	1456	978	2.4		
2018-02-07_1349_left/010156	1410	900	1436	926	5.19.1		
2018-02-07_1349_left/010157	2012	972	2027	993	5.19.1		
2018-02-07_1349_left/010157	1413	899	1438	926	5.19.1		
2018-02-07_1349_left/010158	1414	900	1441	929	5.19.1		
2018-02-07_1349_left/010160	1442	940	1472	968	2.4		
2018-02-07_1349_left/010163	1444	937	1473	967	2.4		
2018-02-07_1349_left/010167	1426	895	1456	927	5.19.1		
2018-02-07_1349_left/010168	1428	893	1456	922	5.19.1		
2018-02-07_1349_left/010171	1445	993	1475	1022	4.1.1		
2018-02-07_1349_left/010173	1451	932	1487	974	2.4		
2018-02-07_1349_left/010174	1432	885	1462	915	5.19.1		
2018-02-07_1349_left/010174	1450	931	1487	974	2.4		
2018-02-07_1349_left/010175	1450	930	1485	975	2.4		
2018-02-07_1349_left/010175	1428	883	1465	918	5.19.1		
2018-02-07_1349_left/010176	1437	881	1461	913	5.19.1		
2018-02-07_1349_left/010177	1457	930	1486	965	2.4		
2018-02-07_1349_left/010177	1437	880	1461	912	5.19.1		
2018-02-07_1349_left/010178	2090	962	2106	983	5.19.1		
2018-02-07_1349_left/010178	1436	884	1461	910	5.19.1		
2018-02-07_1349_left/010179	1432	874	1466	912	5.19.1		
2018-02-07_1349_left/010180	1437	884	1462	910	5.19.1		
2018-02-07_1349_left/010181	1458	929	1489	971	2.4		
2018-02-07_1349_left/010182	1458	930	1500	976	2.4		
2018-02-07_1349_left/010186	2123	960	2140	983	5.19.1		
2018-02-07_1349_left/010186	1442	868	1478	902	5.19.1		
2018-02-07_1349_left/010187	1443	867	1480	902	5.19.1		
2018-02-07_1349_left/010188	1443	866	1477	903	5.19.1		
2018-02-07_1349_left/010189	1444	866	1475	898	5.19.1		
2018-02-07_1349_left/010190	1446	864	1477	896	5.19.1		
2018-02-07_1349_left/010190	2139	960	2156	982	5.19.1		
2018-02-07_1349_left/010191	1450	860	1481	894	5.19.1		
2018-02-07_1349_left/010192	1451	862	1482	895	5.19.1		
2018-02-07_1349_left/010193	1450	860	1487	899	5.19.1		
2018-02-07_1349_left/010194	1453	857	1487	895	5.19.1		
2018-02-07_1349_left/010195	1453	855	1487	895	5.19.1		
2018-02-07_1349_left/010196	1455	849	1492	890	5.19.1		
2018-02-07_1349_left/010197	2171	955	2192	979	5.19.1		
2018-02-07_1349_left/010197	1456	851	1491	892	5.19.1		
2018-02-07_1349_left/010198	1457	846	1496	890	5.19.1		
2018-02-07_1349_left/010199	1458	849	1489	882	5.19.1		
2018-02-07_1349_left/010200	1463	847	1498	884	5.19.1		
2018-02-07_1349_left/010201	1477	982	1506	1014	4.1.1		
2018-02-07_1349_left/010201	1467	844	1502	884	5.19.1		
2018-02-07_1349_left/010202	1467	844	1503	885	5.19.1		
2018-02-07_1349_left/010203	1472	843	1503	878	5.19.1		
2018-02-07_1349_left/010204	1485	985	1514	1020	4.1.1		
2018-02-07_1349_left/010204	1473	846	1507	883	5.19.1		
2018-02-07_1349_left/010205	1489	988	1516	1020	4.1.1		
2018-02-07_1349_left/010205	1473	842	1509	879	5.19.1		
2018-02-07_1349_left/010205	2217	953	2239	977	5.19.1		
2018-02-07_1349_left/010206	1478	840	1515	879	5.19.1		
2018-02-07_1349_left/010207	1481	840	1518	882	5.19.1		
2018-02-07_1349_left/010208	1484	836	1520	877	5.19.1		
2018-02-07_1349_left/010209	1486	835	1522	881	5.19.1		
2018-02-07_1349_left/010210	1489	834	1527	880	5.19.1		
2018-02-07_1349_left/010211	1489	827	1535	884	5.19.1		
2018-02-07_1349_left/010212	1492	833	1534	876	5.19.1		
2018-02-07_1349_left/010213	2267	956	2289	982	5.19.2		
2018-02-07_1349_left/010213	1490	827	1535	875	5.19.1		
2018-02-07_1349_left/010214	1497	832	1534	877	5.19.1		
2018-02-07_1349_left/010215	1502	831	1540	874	5.19.1		
2018-02-07_1349_left/010215	2278	953	2299	983	5.19.1		
2018-02-07_1349_left/010216	1506	826	1543	870	5.19.1		
2018-02-07_1349_left/010217	1502	821	1546	872	5.19.1		
2018-02-07_1349_left/010218	1510	816	1554	867	5.19.1		
2018-02-07_1349_left/010219	1516	820	1553	856	5.19.1		
2018-02-07_1349_left/010220	2314	946	2335	974	5.19.1		
2018-02-07_1349_left/010220	1513	811	1551	863	5.19.1		
2018-02-07_1349_left/010221	1520	810	1562	859	5.19.1		
2018-02-07_1349_left/010222	1521	807	1564	855	5.19.1		
2018-02-07_1349_left/010223	1530	803	1567	846	5.19.1		
2018-02-07_1349_left/010224	1524	797	1568	852	5.19.1		
2018-02-07_1349_left/010225	1531	794	1578	847	5.19.1		
2018-02-07_1349_left/010226	1533	798	1581	845	5.19.1		
2018-02-07_1349_left/010227	1543	796	1587	851	5.19.1		
2018-02-07_1349_left/010228	1538	793	1586	848	5.19.1		
2018-02-07_1349_left/010229	2379	939	2400	972	5.19.1		
2018-02-07_1349_left/010229	1543	790	1589	851	5.19.1		
2018-02-07_1349_left/010230	1547	784	1597	847	5.19.1		
2018-02-07_1349_left/010231	1548	781	1603	837	5.19.1		
2018-02-07_1349_left/010232	1556	785	1603	837	5.19.1		
2018-02-07_1349_left/010233	1561	779	1611	834	5.19.1		
2018-02-07_1349_left/010234	1564	773	1620	837	5.19.1		
2018-02-07_1349_left/010235	1562	766	1620	835	5.19.1		
2018-02-07_1349_left/010236	1576	767	1618	827	5.19.1		
2018-02-07_1349_left/010237	1580	768	1635	828	5.19.1		
2018-02-07_1349_left/010238	1580	764	1639	825	5.19.1		
2018-02-07_1349_left/010239	1586	759	1645	823	5.19.1		
2018-02-07_1349_left/010240	1597	755	1647	817	5.19.1		
2018-02-07_1349_left/010241	1596	755	1660	822	5.19.1		
2018-02-07_1349_left/010242	1603	743	1658	815	5.19.1		
2018-02-07_1349_left/010243	1615	747	1668	811	5.19.1		
2018-02-07_1349_left/010244	1613	735	1682	808	5.19.1		
2018-02-07_1349_left/010244	1585	982	1629	1027	4.1.1		
2018-02-07_1349_left/010245	1626	739	1681	798	5.19.1		
2018-02-07_1349_left/010246	1622	725	1688	798	5.19.1		
2018-02-07_1349_left/010247	1634	725	1693	795	5.19.1		
2018-02-07_1349_left/010248	1645	722	1705	790	5.19.1		
2018-02-07_1349_left/010249	1646	715	1709	792	5.19.1		
2018-02-07_1349_left/010250	1656	708	1722	789	5.19.1		
2018-02-07_1349_left/010250	1613	977	1662	1023	4.1.1		
2018-02-07_1349_left/010251	1669	705	1726	775	5.19.1		
2018-02-07_1349_left/010251	1612	969	1671	1019	4.1.1		
2018-02-07_1349_left/010252	1672	700	1739	774	5.19.1		
2018-02-07_1349_left/010252	1617	973	1673	1021	4.1.1		
2018-02-07_1349_left/010253	1626	972	1680	1023	4.1.1		
2018-02-07_1349_left/010253	1685	696	1743	767	5.19.1		
2018-02-07_1349_left/010254	1682	693	1754	761	5.19.1		
2018-02-07_1349_left/010254	1629	971	1684	1023	4.1.1		
2018-02-07_1349_left/010255	1695	689	1759	760	5.19.1		
2018-02-07_1349_left/010255	1632	972	1689	1025	4.1.1		
2018-02-07_1349_left/010256	1640	966	1701	1026	4.1.1		
2018-02-07_1349_left/010256	1698	679	1773	757	5.19.1		
2018-02-07_1349_left/010257	1647	970	1697	1023	4.1.1		
2018-02-07_1349_left/010257	1712	679	1780	756	5.19.1		
2018-02-07_1349_left/010258	1647	968	1707	1025	4.1.1		
2018-02-07_1349_left/010258	1711	668	1792	759	5.19.1		
2018-02-07_1349_left/010259	1655	967	1710	1022	4.1.1		
2018-02-07_1349_left/010259	1728	660	1800	750	5.19.1		
2018-02-07_1349_left/010260	1662	968	1720	1025	4.1.1		
2018-02-07_1349_left/010260	1672	834	1746	904	2.4		
2018-02-07_1349_left/010260	1737	661	1809	741	5.19.1		
2018-02-07_1349_left/010261	1745	647	1827	733	5.19.1		
2018-02-07_1349_left/010261	1681	831	1747	901	2.4		
2018-02-07_1349_left/010261	1669	961	1736	1032	4.1.1		
2018-02-07_1349_left/010262	1682	829	1759	900	2.4		
2018-02-07_1349_left/010262	1756	636	1838	741	5.19.1		
2018-02-07_1349_left/010262	1662	964	1735	1034	4.1.1		
2018-02-07_1349_left/010263	1675	972	1730	1028	4.1.1		
2018-02-07_1349_left/010263	1689	831	1767	900	2.4		
2018-02-07_1349_left/010263	1761	637	1842	732	5.19.1		
2018-02-07_1349_left/010264	1778	629	1852	719	5.19.1		
2018-02-07_1349_left/010264	1681	968	1750	1036	4.1.1		
2018-02-07_1349_left/010264	1694	841	1765	899	2.4		
2018-02-07_1349_left/010265	1683	970	1743	1027	4.1.1		
2018-02-07_1349_left/010265	1697	831	1775	895	2.4		
2018-02-07_1349_left/010265	1788	617	1871	721	5.19.1		
2018-02-07_1349_left/010266	1691	974	1753	1034	4.1.1		
2018-02-07_1349_left/010266	1795	613	1888	720	5.19.1		
2018-02-07_1349_left/010266	1709	839	1782	899	2.4		
2018-02-07_1349_left/010267	1709	828	1800	907	2.4		
2018-02-07_1349_left/010267	1700	971	1760	1039	4.1.1		
2018-02-07_1349_left/010267	1805	607	1904	718	5.19.1		
2018-02-07_1349_left/010268	1704	980	1763	1044	4.1.1		
2018-02-07_1349_left/010268	1720	834	1795	910	2.4		
2018-02-07_1349_left/010268	1827	602	1919	720	5.19.1		
2018-02-07_1349_left/010269	1710	970	1772	1040	4.1.1		
2018-02-07_1349_left/010269	1727	829	1809	894	2.4		
2018-02-07_1349_left/010269	1835	590	1930	701	5.19.1		
2018-02-07_1349_left/010270	1714	976	1782	1043	4.1.1		
2018-02-07_1349_left/010270	1730	821	1812	889	2.4		
2018-02-07_1349_left/010270	1844	577	1944	693	5.19.1		
2018-02-07_1349_left/010271	1737	820	1828	900	2.4		
2018-02-07_1349_left/010271	1859	570	1959	689	5.19.1		
2018-02-07_1349_left/010271	1724	968	1799	1040	4.1.1		
2018-02-07_1349_left/010272	1727	962	1794	1033	4.1.1		
2018-02-07_1349_left/010272	1749	812	1827	885	2.4		
2018-02-07_1349_left/010272	1885	566	1968	670	5.19.1		
2018-02-07_1349_left/010273	1743	964	1806	1036	4.1.1		
2018-02-07_1349_left/010273	1886	543	1992	671	5.19.1		
2018-02-07_1349_left/010273	1752	812	1837	885	2.4		
2018-02-07_1349_left/010274	1745	955	1812	1029	4.1.1		
2018-02-07_1349_left/010274	1767	803	1840	873	2.4		
2018-02-07_1349_left/010274	1908	530	2018	657	5.19.1		
2018-02-07_1349_left/010275	1758	959	1821	1025	4.1.1		
2018-02-07_1349_left/010275	1929	508	2028	641	5.19.1		
2018-02-07_1349_left/010275	1774	796	1855	862	2.4		
2018-02-07_1349_left/010276	1762	943	1835	1018	4.1.1		
2018-02-07_1349_left/010276	1955	488	2056	621	5.19.1		
2018-02-07_1349_left/010276	1775	781	1866	858	2.4		
2018-02-07_1349_left/010277	1768	940	1838	1019	4.1.1		
2018-02-07_1349_left/010277	1974	467	2080	612	5.19.1		
2018-02-07_1349_left/010277	1787	780	1872	850	2.4		
2018-02-07_1349_left/010278	1777	945	1851	1024	4.1.1		
2018-02-07_1349_left/010278	1980	458	2096	600	5.19.1		
2018-02-07_1349_left/010278	1788	774	1886	866	2.4		
2018-02-07_1349_left/010279	1792	942	1861	1021	4.1.1		
2018-02-07_1349_left/010279	2012	439	2127	595	5.19.1		
2018-02-07_1349_left/010279	1800	774	1895	859	2.4		
2018-02-07_1349_left/010280	2032	422	2143	574	5.19.1		
2018-02-07_1349_left/010280	1794	952	1865	1023	4.1.1		
2018-02-07_1349_left/010281	2046	422	2166	561	5.19.1		
2018-02-07_1349_left/010281	1820	770	1923	855	2.4		
2018-02-07_1349_left/010281	1796	940	1884	1034	4.1.1		
2018-02-07_1349_left/010282	1815	941	1889	1018	4.1.1		
2018-02-07_1349_left/010282	2079	393	2204	554	5.19.1		
2018-02-07_1349_left/010282	1829	767	1924	842	2.4		
2018-02-07_1349_left/001011	1851	689	2001	830	2.1		
2018-02-07_1349_left/001011	1727	950	1768	990	4.4.1		
2018-02-07_1349_left/001011	1963	869	1994	947	5.19.1		
2018-02-07_1349_left/001012	1973	862	2008	952	5.19.1		
2018-02-07_1349_left/001012	1731	947	1776	990	4.4.1		
2018-02-07_1349_left/001012	1861	674	2004	823	2.1		
2018-02-07_1349_left/001013	1872	671	2044	821	2.1		
