frame	xtl	ytl	xbr	ybr	class	temporary	data
2018-03-23_1358_left/020828	1318.1652	960.9828	1361.4768	1006.31946	2.2	false	
2018-03-23_1358_left/020827	1317.2119	966.0613	1360.9916	1009.1316	2.2	false	
2018-03-23_1358_left/020826	1313.7484	965.22375	1357.998	1008.00525	2.2	false	
2018-03-23_1358_left/020825	1312.4384	967.03784	1356.0952	1008.88257	2.2	false	
2018-03-23_1358_left/020824	1310.8136	967.4696	1354.2825	1008.84485	2.2	false	
2018-03-23_1358_left/020823	1309.9058	968.2303	1352.5321	1010.0422	2.2	false	
2018-03-23_1358_left/020822	1306.784	970.3608	1348.1304	1012.1109	2.2	false	
2018-03-23_1358_left/020821	1307.1212	972.3231	1348.7771	1013.2306	2.2	false	
2018-03-23_1358_left/020820	1303.6151	973.1699	1344.8965	1014.1074	2.2	false	
2018-03-23_1358_left/020819	1301.7847	975.0787	1343.7836	1015.4545	2.2	false	
2018-03-23_1358_left/020818	1299.8877	975.8193	1342.0126	1015.6324	2.2	false	
2018-03-23_1358_left/020817	1296.9087	975.62335	1338.1908	1015.3735	2.2	false	
2018-03-23_1358_left/020816	1295.2366	975.9238	1337.0797	1015.14307	2.2	false	
2018-03-23_1358_left/020815	1293.2108	975.60004	1334.6172	1014.6314	2.2	false	
2018-03-23_1358_left/020814	1290.1272	974.33057	1332.1266	1013.4243	2.2	false	
2018-03-23_1358_left/020813	1289.6852	974.2387	1331.092	1012.6768	2.2	false	
2018-03-23_1358_left/020812	1285.5365	973.1765	1326.1626	1011.58276	2.2	false	
2018-03-23_1358_left/020811	1283.7983	976.2388	1323.5492	1014.17676	2.2	false	
2018-03-23_1358_left/020810	1280.4006	973.6232	1320.5563	1010.7806	2.2	false	
2018-03-23_1358_left/020809	1278.4514	976.66534	1317.2985	1014.258	2.2	false	
2018-03-23_1358_left/020808	1274.6626	976.6632	1314.3177	1013.7577	2.2	false	
2018-03-23_1358_left/020807	1272.5604	978.2797	1311.8418	1015.0611	2.2	false	
2018-03-23_1358_left/020806	1269.4176	979.43896	1308.1682	1016.18896	2.2	false	
2018-03-23_1358_left/020805	1267.1074	978.0891	1306.0448	1014.3396	2.2	false	
2018-03-23_1358_left/020804	1263.9503	979.9584	1301.7957	1016.0836	2.2	false	
2018-03-23_1358_left/020803	1260.9872	978.0729	1299.7666	1013.35583	2.2	false	
2018-03-23_1358_left/020802	1258.9606	981.54736	1296.1838	1017.51416	2.2	false	
2018-03-23_1358_left/020801	1254.6504	979.06934	1293.2401	1014.6953	2.2	false	
2018-03-23_1358_left/020800	1253.0358	980.95715	1290.3196	1016.2079	2.2	false	
2018-03-23_1358_left/020799	1249.7479	983.4066	1286.6855	1018.21936	2.2	false	
2018-03-23_1358_left/020798	1246.8535	982.10596	1284.0096	1016.8247	2.2	false	
2018-03-23_1358_left/020797	1244.1327	983.79047	1280.9766	1018.2281	2.2	false	
2018-03-23_1358_left/020796	1240.8302	981.15546	1277.8923	1015.21857	2.2	false	
2018-03-23_1358_left/020795	1239.3124	980.95087	1275.9688	1014.826	2.2	false	
2018-03-23_1358_left/020794	1237.1146	980.5595	1273.0845	1014.7154	2.2	false	
2018-03-23_1358_left/020793	1233.5822	979.0792	1269.738	1012.58044	2.2	false	
2018-03-23_1358_left/020792	1231.6656	980.1131	1267.1663	1013.8005	2.2	false	
2018-03-23_1358_left/020791	1229.4259	978.31366	1265.113	1011.221	2.2	false	
2018-03-23_1358_left/020790	1225.2758	981.74036	1259.9038	1014.8959	2.2	false	
2018-03-23_1358_left/020789	1224.9596	979.9677	1260.302	1012.31305	2.2	false	
2018-03-23_1358_left/020788	1220.6459	979.45526	1255.397	1012.39166	2.2	false	
2018-03-23_1358_left/020787	1217.9602	983.06586	1251.774	1015.785	2.2	false	
2018-03-23_1358_left/020786	1216.6782	978.90564	1251.6135	1011.3749	2.2	false	
2018-03-23_1358_left/020785	1213.0266	982.14026	1246.5308	1014.609	2.2	false	
2018-03-23_1358_left/020784	1210.9552	979.92255	1245.1726	1011.4869	2.2	false	
2018-03-23_1358_left/020783	1207.6223	979.3226	1241.4977	1011.2753	2.2	false	
2018-03-23_1358_left/020782	1206.0597	982.9122	1238.408	1014.8029	2.2	false	
2018-03-23_1358_left/020781	1203.9167	978.0304	1237.2832	1010.15344	2.2	false	
2018-03-23_1358_left/020780	1200.6448	979.8514	1233.77	1011.38324	2.2	false	
2018-03-23_1358_left/020779	1197.6099	977.44086	1230.8909	1008.3016	2.2	false	
2018-03-23_1358_left/020778	1196.2404	978.0922	1228.8972	1008.5301	2.2	false	
2018-03-23_1358_left/020777	1192.8461	976.42554	1225.5023	1007.15967	2.2	false	
2018-03-23_1358_left/020776	1190.7758	974.85675	1223.4945	1004.998	2.2	false	
2018-03-23_1358_left/020775	1188.3584	976.7675	1219.9861	1007.1419	2.2	false	
2018-03-23_1358_left/020774	1185.606	976.53	1217.5433	1007.0144	2.2	false	
2018-03-23_1358_left/020773	1182.5063	975.8238	1214.5375	1005.9179	2.2	false	
2018-03-23_1358_left/020772	1180.475	973.7925	1212.5375	1003.35547	2.2	false	
2018-03-23_1358_left/020771	1178.4039	974.61365	1209.6399	1004.3165	2.2	false	
2018-03-23_1358_left/020770	1175.522	973.7522	1207.0062	1003.34595	2.2	false	
2018-03-23_1358_left/020769	1174.6611	970.9414	1206.2391	1000.0669	2.2	false	
2018-03-23_1358_left/020768	1170.8441	972.01227	1201.8608	1001.44916	2.2	false	
2018-03-23_1358_left/020767	1169.4778	972.0166	1201.0239	1000.7988	2.2	false	
2018-03-23_1358_left/020766	1166.8698	974.9392	1197.1398	1003.8762	2.2	false	
2018-03-23_1358_left/020765	1164.7682	976.34033	1194.4563	1005.23096	2.2	false	
2018-03-23_1358_left/020764	1161.9327	977.0585	1191.9792	1005.65247	2.2	false	
2018-03-23_1358_left/020763	1160.7733	976.8875	1190.8671	1005.3564	2.2	false	
2018-03-23_1358_left/020762	1158.4647	975.23303	1188.4805	1003.2335	2.2	false	
2018-03-23_1358_left/020761	1155.1405	974.3994	1185.1718	1002.6492	2.2	false	
2018-03-23_1358_left/020760	1153.966	971.8832	1184.3092	999.44666	2.2	false	
2018-03-23_1358_left/020759	1151.012	970.9168	1180.6539	998.9472	2.2	false	
2018-03-23_1358_left/020758	1150.2775	973.1938	1179.1072	1001.30304	2.2	false	
2018-03-23_1358_left/020757	1148.499	972.1695	1177.4208	999.45233	2.2	false	
2018-03-23_1358_left/020756	1145.8654	974.65485	1174.0074	1002.1232	2.2	false	
2018-03-23_1358_left/020755	1145.4254	977.9027	1173.0665	1005.37146	2.2	false	
2018-03-23_1358_left/020754	1142.6952	980.04407	1170.2266	1007.04456	2.2	false	
2018-03-23_1358_left/020753	1141.605	982.70056	1169.4174	1009.63806	2.2	false	
2018-03-23_1358_left/020752	1138.867	980.2711	1166.9601	1007.4425	2.2	false	
2018-03-23_1358_left/020751	1137.1552	978.6173	1165.8418	1005.4459	2.2	false	
2018-03-23_1358_left/020750	1135.9044	976.3031	1164.2487	1003.1312	2.2	false	
2018-03-23_1358_left/020749	1133.1881	973.5077	1161.5784	1000.7079	2.2	false	
2018-03-23_1358_left/020748	1132.7406	969.0828	1160.9916	997.5429	2.2	false	
2018-03-23_1358_left/020747	1130.1106	966.8378	1158.5005	995.13556	2.2	false	
2018-03-23_1358_left/020746	1128.8995	968.3285	1156.6666	995.40955	2.2	false	
2018-03-23_1358_left/020745	1126.8768	966.9618	1154.5331	993.9774	2.2	false	
2018-03-23_1358_left/020744	1124.8099	968.8276	1151.686	995.2972	2.2	false	
2018-03-23_1358_left/020743	1122.4316	967.9008	1149.6815	994.7288	2.2	false	
2018-03-23_1358_left/020742	1120.6986	970.83527	1147.3872	996.6186	2.2	false	
2018-03-23_1358_left/020741	1118.855	968.80334	1146.2601	994.92786	2.2	false	
2018-03-23_1358_left/020740	1116.122	969.2021	1143.4344	995.5301	2.2	false	
2018-03-23_1358_left/020739	1115.7235	971.10504	1142.2559	997.04315	2.2	false	
2018-03-23_1358_left/020738	1113.9362	972.00397	1140.717	997.48895	2.2	false	
2018-03-23_1358_left/020737	1112.9103	976.5712	1138.6316	1000.90216	2.2	false	
2018-03-23_1358_left/020736	1111.3942	974.6806	1137.3625	999.7264	2.2	false	
2018-03-23_1358_left/020734	1107.767	978.7425	1133.189	1003.5551	2.2	false	
2018-03-23_1358_left/020733	1108.9065	979.4865	1134.1255	1003.7061	2.2	false	
2018-03-23_1358_left/020732	1104.8679	981.1707	1130.5703	1005.60785	2.2	false	
2018-03-23_1358_left/020731	1105.0826	981.3281	1130.489	1005.7031	2.2	false	
2018-03-23_1358_left/020730	1103.2859	984.79083	1128.7701	1008.7443	2.2	false	
2018-03-23_1358_left/020729	1101.8375	987.4825	1127.1501	1011.60736	2.2	false	
2018-03-23_1358_left/020728	1102.1261	986.2368	1127.0646	1011.15674	2.2	false	
2018-03-23_1358_left/020727	1098.9008	989.2795	1124.3524	1013.34454	2.2	false	
2018-03-23_1358_left/020726	1098.7347	988.3596	1123.9851	1013.1863	2.2	false	
2018-03-23_1358_left/020725	1097.265	991.3428	1122.2186	1015.5156	2.2	false	
2018-03-23_1358_left/020724	1094.9796	990.63477	1119.4961	1015.3369	2.2	false	
2018-03-23_1358_left/020723	1095.2416	988.7037	1119.8041	1013.6098	2.2	false	
2018-03-23_1358_left/020722	1091.9885	992.5175	1116.7993	1016.1202	2.2	false	
2018-03-23_1358_left/020721	1092.5522	990.0953	1117.053	1014.5463	2.2	false	
2018-03-23_1358_left/020720	1090.9004	994.5121	1114.6696	1017.317	2.2	false	
2018-03-23_1358_left/020717	1085.1316	1000.28107	1107.9136	1022.37616	2.2	false	
2018-03-23_1358_left/020716	1083.8011	999.308	1107.4246	1021.80725	2.2	false	
2018-03-23_1358_left/020715	1080.6022	1002.5441	1104.026	1024.286	2.2	false	
2018-03-23_1358_left/020714	1078.566	1003.8941	1100.8823	1025.9711	2.2	false	
2018-03-23_1358_left/020713	1075.0314	1004.4424	1098.6357	1026.7539	2.2	false	
2018-03-23_1358_left/020711	1070.1597	1001.38416	1092.9098	1023.4938	2.2	false	
2018-03-23_1358_left/020708	1061.6846	1004.2165	1083.9983	1026.4806	2.2	false	
2018-03-23_1358_left/020707	1057.0447	1003.24493	1079.5913	1025.3389	2.2	false	
2018-03-23_1358_left/020704	1045.3864	1002.6695	1067.4879	1024.0159	2.2	false	
2018-03-23_1358_left/020689	955.24304	1008.71497	976.00616	1029.3556	2.2	false	
2018-03-23_1358_left/019954	933.0684	937.09125	950.2946	957.82587	3.4	false	
2018-03-23_1358_left/019907	1064.3015	985.6896	1078.2158	1002.2547	3.4	false	
2018-03-23_1358_left/019906	1065.0385	980.7131	1078.4403	998.0515	5.16	false	
