frame	xtl	ytl	xbr	ybr	class	temporary	data
2018-02-07_1349_left/001900	1925	982	1948	1009	2.1	false	
2018-02-07_1349_left/001900	2036	923	2085	961	1.11.2	false	
2018-02-07_1349_left/001950	1530	978	1559	1014	2.1	false	
2018-02-07_1349_left/001950	1707	902	1759	951	1.11.2	false	
2018-02-07_1349_left/001950	1712	997	1758	1027	5.19.1	false	
2018-02-07_1349_left/002000	1555	962	1595	1004	2.1	false	
2018-02-07_1349_left/002000	1914	822	1990	896	1.11.2	false	
2018-02-07_1349_left/002050	1685	914	1746	974	2.1	false	
2018-02-07_1349_left/002050	1847	921	1871	965	5.19.1	false	
2018-02-07_1349_left/002100	1751	952	1769	994	5.19.2	false	
2018-02-07_1349_left/002100	2063	841	2168	952	2.1	false	
2018-02-07_1349_left/002100	2254	875	2305	945	5.19.2	false	
2018-02-07_1349_left/002150	2066	922	2109	977	5.19.2	false	
2018-02-07_1349_left/002500	1436	917	1533	946	4.2.3	false	
2018-02-07_1349_left/002850	936	971	954	984	5.6	false	
2018-02-07_1349_left/003050	1156	962	1175	981	2.4	false	
2018-02-07_1349_left/003100	1163	961	1186	979	4.3	false	
2018-02-07_1349_left/003200	1154	951	1173	967	5.19.2	false	
2018-02-07_1349_left/003200	1420	970	1436	983	5.16	false	
2018-02-07_1349_left/003250	1146	944	1167	962	3.27	false	
2018-02-07_1349_left/003250	1444	971	1461	987	5.16	false	
2018-02-07_1349_left/003250	1444	986	1460	998	5.7.1	false	
2018-02-07_1349_left/003300	1134	944	1156	962	2.4	false	
2018-02-07_1349_left/003300	1472	992	1491	1005	4.1.2	false	
2018-02-07_1349_left/003300	1473	967	1493	987	5.16	false	
2018-02-07_1349_left/003350	1062	947	1094	971	6.4	false	
2018-02-07_1349_left/003350	1451	970	1473	994	5.16	false	
2018-02-07_1349_left/003350	1451	985	1473	1003	5.16	false	
2018-02-07_1349_left/003400	1414	939	1446	974	5.16	false	
2018-02-07_1349_left/003450	1417	914	1457	961	5.16	false	
