frame	xtl	ytl	xbr	ybr	class	temporary	data
2018-03-07_1406_left/002999	1120	918	1157	954	2.1	false	
2018-03-07_1406_left/002999	1320	937	1335	952	2.1	false	
2018-03-07_1406_left/002999	1575	869	1648	943	2.2	false	
2018-03-07_1406_left/002999	1425	878	1458	908	2.4	false	
2018-03-07_1406_left/002999	1427	911	1455	939	4.1	false	
2018-03-07_1406_left/002999	1126	959	1151	986	4.1	false	
2018-03-07_1406_left/002999	1825	848	1905	932	5.5	false	
2018-03-07_1406_left/002999	1426	946	1453	974	5.6	false	
2018-03-07_1406_left/002998	1426	947	1453	974	5.6	false	
2018-03-07_1406_left/002998	1122	920	1158	956	2.1	false	
2018-03-07_1406_left/002998	1427	913	1454	941	4.1	false	
2018-03-07_1406_left/002998	1425	880	1458	909	2.4	false	
2018-03-07_1406_left/002998	1128	960	1153	986	4.1	false	
2018-03-07_1406_left/002998	1572	872	1643	944	2.2	false	
2018-03-07_1406_left/002998	1322	937	1336	952	2.1	false	
2018-03-07_1406_left/002998	1812	852	1890	933	5.5	false	
2018-03-07_1406_left/002997	1424	948	1451	975	5.6	false	
2018-03-07_1406_left/002997	1125	920	1160	955	2.1	false	
2018-03-07_1406_left/002997	1426	913	1453	941	4.1	false	
2018-03-07_1406_left/002997	1424	881	1456	909	2.4	false	
2018-03-07_1406_left/002997	1129	961	1154	987	4.1	false	
2018-03-07_1406_left/002997	1567	875	1637	945	2.2	false	
2018-03-07_1406_left/002997	1322	937	1336	952	2.1	false	
2018-03-07_1406_left/002997	1799	856	1875	936	5.5	false	
2018-03-07_1406_left/002996	1424	951	1451	978	5.6	false	
2018-03-07_1406_left/002996	1127	923	1162	958	2.1	false	
2018-03-07_1406_left/002996	1425	916	1452	943	4.1	false	
2018-03-07_1406_left/002996	1424	884	1455	912	2.4	false	
2018-03-07_1406_left/002996	1131	964	1156	989	4.1	false	
2018-03-07_1406_left/002996	1563	879	1632	948	2.2	false	
