frame	xtl	ytl	xbr	ybr	class	temporary	data
2018-02-07_1349_right/000065	1444	902	1486	949	5.3	false	
2018-02-07_1349_right/000065	828	937	857	981	5.24.1	false	
2018-02-07_1349_right/001271	1655	917	1710	974	8.16	false	
2018-02-07_1349_right/001271	2375	699	2447	849	2.3.2	false	
2018-02-07_1349_right/001271	1487	924	1543	987	4.2.2	false	
2018-02-07_1349_right/001271	1487	924	1543	987	4.2.2	false	
2018-02-07_1349_right/001271	1430	934	1461	965	6.3.1	false	
2018-02-07_1349_right/019588	1336	950	1364	983	8.4.3	false	
2018-02-07_1349_right/019588	2044	837	2090	940	1.20.3	false	
2018-02-07_1349_right/001713	1764	926	1792	969	2.7	false	
2018-02-07_1349_right/006914	140	827	216	916	7.15	false	
2018-02-07_1349_right/016690	938	941	972	977	2.3.2	false	
2018-02-07_1349_right/016690	1562	966	1593	1008	3.30	false	
2018-02-07_1349_right/016690	876	966	906	998	6.9.1	false	
2018-02-07_1349_right/020011	1576	944	1627	994	5.24.1	false	
2018-02-07_1349_right/020011	611	957	641	981	3.30	false	
2018-02-07_1349_right/020011	1363	901	1402	945	4.1.4	false	
2018-02-07_1349_right/020011	1362	953	1395	987	5.24.1	false	
2018-02-07_1349_right/019995	1572	935	1633	997	2.3.2	false	
2018-02-07_1349_right/000500	2402	771	2448	903	5.24.1	false	
2018-02-07_1349_right/000500	2167	872	2224	941	6.15.3	false	
2018-02-07_1349_right/000500	2289	929	2388	977	6.3.1	false	
2018-02-07_1349_right/021867	1753	870	1811	930	2.7	false	
2018-02-07_1349_right/021867	1298	941	1333	975	1.20.3	false	
2018-02-07_1349_right/021867	1302	893	1339	936	3.30	false	
2018-02-07_1349_right/021867	589	936	620	963	6.9.1	false	
2018-02-07_1349_right/019884	609	955	641	981	3.30	false	
2018-02-07_1349_right/019884	1362	950	1396	984	5.15.7	false	
2018-02-07_1349_right/005506	982	949	1010	980	3.30	false	
2018-02-07_1349_right/000934	1504	897	1546	939	2.7	false	
2018-02-07_1349_right/000934	1574	940	1624	990	6.9.2	false	
2018-02-07_1349_right/012594	1503	893	1553	946	3.30	false	
2018-02-07_1349_right/018513	1339	834	1408	875	2.3.2	false	
2018-02-07_1349_right/014278	754	930	787	963	3.30	false	
2018-02-07_1349_right/013874	754	931	786	963	3.30	false	
2018-02-07_1349_right/019398	1333	891	1373	932	5.16	false	
2018-02-07_1349_right/019398	1331	939	1363	974	5.24.1	false	
2018-02-07_1349_right/019398	605	940	632	968	6.9.2	false	
2018-02-07_1349_right/017239	803	919	849	968	3.2	false	
2018-02-07_1349_right/017239	683	810	766	898	3.24	false	100
2018-02-07_1349_right/017239	2248	851	2326	962	2.7	false	
2018-02-07_1349_right/001940	1734	990	1777	1011	5.15.6	false	
2018-02-07_1349_right/001940	1558	969	1596	1008	2.7	false	
2018-02-07_1349_right/001940	633	955	663	980	3.30	false	
2018-02-07_1349_right/001940	750	932	782	964	1.27	false	
2018-02-07_1349_right/002688	577	948	605	976	4.2.2	false	
2018-02-07_1349_right/002688	1338	934	1370	970	5.21	false	
2018-02-07_1349_right/002688	577	948	605	976	4.2.2	false	
2018-02-07_1349_right/002688	1334	887	1376	929	3.30	false	
2018-02-07_1349_right/017366	791	910	844	969	5.21	false	
2018-02-07_1349_right/017366	1624	913	1682	975	3.30	false	
2018-02-07_1349_right/019839	1452	961	1484	1002	2.3.2	false	
2018-02-07_1349_right/014394	762	931	794	963	3.30	false	
2018-02-07_1349_right/021257	1618	917	1675	975	3.30	false	
2018-02-07_1349_right/021257	1753	903	1817	973	5.16	false	
2018-02-07_1349_right/021257	1563	953	1609	1000	3.30	false	
2018-02-07_1349_right/020426	611	957	641	980	3.30	false	
2018-02-07_1349_right/020426	1361	950	1395	984	5.24.1	false	
2018-02-07_1349_right/020426	1363	901	1403	946	6.9.1	false	
2018-02-07_1349_right/020426	838	943	868	977	5.15.6	false	
2018-02-07_1349_right/001517	611	957	641	981	5.15.6	false	
2018-02-07_1349_right/001517	1363	900	1403	944	2.3.2	false	
