frame	xtl	ytl	xbr	ybr	class	temporary	data
2018-03-02_1400_left/017618	1499	817	1599	883	6.10.1		
2018-03-02_1400_left/017640	1556	947	1579	972	3.24		
2018-03-02_1400_left/017643	1531	793	1638	863	6.10.1		
2018-03-02_1400_left/017659	1560	947	1583	973	3.32		
2018-03-02_1400_left/017735	1790	506	2049	663	6.10.1		
2018-03-02_1400_left/017736	1299	861	1368	890	6.9.2		
2018-03-02_1400_left/017740	1780	901	1803	927	4.1.1		
2018-03-02_1400_left/017740	2375	928	2397	953	3.32		
2018-03-02_1400_left/017746	1810	903	1832	929	4.1.1		
2018-03-02_1400_left/017747	1810	887	1832	914	4.1.1		
2018-03-02_1400_left/017748	1818	899	1841	925	4.1.1		
2018-03-02_1400_left/017749	1818	885	1838	912	4.1.1		
2018-03-02_1400_left/017750	1823	887	1844	914	4.1.4		
2018-03-02_1400_left/017769	1934	865	1959	895	4.1.1		
2018-03-02_1400_left/017770	1937	866	1964	896	4.1.1		
2018-03-02_1400_left/017771	1950	867	1974	894	4.1.1		
2018-03-02_1400_left/017772	1960	867	1984	897	4.1.1		
2018-03-02_1400_left/017775	1982	863	2012	899	4.1.1		
2018-03-02_1400_left/017776	1992	864	2021	897	4.1.1		
2018-03-02_1400_left/017777	2004	866	2033	900	4.1.1		
2018-03-02_1400_left/017778	2011	859	2038	893	4.1.1		
2018-03-02_1400_left/017779	2026	860	2053	895	4.1.1		
2018-03-02_1400_left/017780	2033	859	2061	897	4.1.1		
2018-03-02_1400_left/017781	2046	857	2074	892	4.1.1		
2018-03-02_1400_left/017782	2061	859	2091	896	4.1.1		
2018-03-02_1400_left/017783	2072	855	2099	889	4.1.1		
2018-03-02_1400_left/017784	2082	854	2116	898	4.1.1		
2018-03-02_1400_left/017785	2093	849	2125	888	4.1.1		
2018-03-02_1400_left/017786	2103	845	2138	887	4.1.1		
2018-03-02_1400_left/017787	2119	842	2153	883	4.1.1		
2018-03-02_1400_left/017788	2129	840	2166	883	4.1.1		
2018-03-02_1400_left/017789	2144	842	2180	885	4.1.1		
2018-03-02_1400_left/017790	2159	834	2193	881	4.1.1		
2018-03-02_1400_left/017792	2187	833	2223	880	4.1.1		
2018-03-02_1400_left/017793	2200	829	2237	875	4.1.1		
2018-03-02_1400_left/017793	1315	824	1402	873	8.5.4		
2018-03-02_1400_left/017794	2215	827	2255	875	4.1.1		
2018-03-02_1400_left/017795	2231	818	2270	866	4.1.1		
2018-03-02_1400_left/017796	2245	827	2284	877	4.1.1		
2018-03-02_1400_left/017797	2258	820	2298	867	4.1.1		
2018-03-02_1400_left/017797	1593	816	1722	871	6.9.2		
