frame	xtl	ytl	xbr	ybr	class
2018-02-16_1503_left/001894	154	852	220	917	5.19
2018-02-16_1503_left/002040	127	850	195	917	5.19
2018-02-16_1503_left/007914	1359	874	1423	938	5.19
2018-02-16_1503_left/003527	1345	756	1413	830	5.19
2018-02-16_1503_left/001834	241	878	301	937	5.19
2018-02-16_1503_left/001874	181	854	246	918	5.19
2018-02-16_1503_left/002140	71	862	147	934	5.19
2018-02-16_1503_left/010408	1515	848	1592	926	3.24
2018-02-16_1503_left/001883	171	852	231	912	5.19
2018-02-16_1503_left/001982	130	853	195	919	5.19
2018-02-16_1503_left/002763	1731	743	1815	839	5.19
2018-02-16_1503_left/005520	1204	945	1247	990	5.19
2018-02-16_1503_left/002952	1433	958	1473	1003	3.24
2018-02-16_1503_left/003858	1405	902	1460	961	3.24
2018-02-16_1503_left/003867	1438	876	1497	940	3.24
2018-02-16_1503_left/005846	1293	925	1343	979	1.25
2018-02-16_1503_left/006911	1699	919	1759	986	5.19
2018-02-16_1503_left/001936	133	851	198	916	5.19
2018-02-16_1503_left/001782	2293	956	2332	1002	5.19
2018-02-16_1503_left/007275	1306	925	1354	977	3.24
2018-02-16_1503_left/002725	1516	855	1571	916	5.19
2018-02-16_1503_left/000586	1795	940	1859	1007	1.22
2018-02-16_1503_left/003825	1275	918	1315	957	3.24
2018-02-16_1503_left/000606	2048	924	2132	1011	1.22
2018-02-16_1503_left/003832	1307	870	1348	911	1.17
2018-02-16_1503_left/003832	1307	913	1351	957	3.24
2018-02-16_1503_left/005814	1324	839	1366	885	3.24
2018-02-16_1503_left/001966	130	855	197	918	5.19
2018-02-16_1503_left/007892	1200	888	1257	944	5.19
2018-02-16_1503_left/003028	1488	863	1563	940	3.24
2018-02-16_1503_left/003028	1492	781	1561	857	1.17
2018-02-16_1503_left/001048	669	786	737	852	1.22
2018-02-16_1503_left/007300	1420	900	1482	968	3.24
2018-02-16_1503_left/005913	1548	800	1649	901	1.25
2018-02-16_1503_left/010377	1372	909	1424	965	3.24
2018-02-16_1503_left/000464	710	855	795	942	5.19
2018-02-16_1503_left/007083	1805	768	1878	861	3.27
2018-02-16_1503_left/002980	1344	925	1393	976	3.24
2018-02-16_1503_left/003050	1638	781	1743	892	3.24
2018-02-16_1503_left/003050	1646	675	1739	770	1.17
2018-02-16_1503_left/010758	1444	877	1498	935	1.12
2018-02-16_1503_left/010758	1448	939	1496	991	3.24
2018-02-16_1503_left/005888	1540	702	1612	783	3.24
2018-02-16_1503_left/005888	1392	882	1462	959	1.25
2018-02-16_1503_left/001925	135	850	200	914	5.19
2018-02-16_1503_left/007315	1540	878	1617	957	3.24
2018-02-16_1503_left/007315	1541	799	1616	873	1.17
