frame	xtl	ytl	xbr	ybr	class	temporary	data
2018-03-07_1406_left/005402	2160	795	2264	938	5.19.1		
2018-03-07_1406_left/004994	223	843	278	914	5.19.1		
2018-03-07_1406_left/005377	1380	856	1466	987	5.19.1		
2018-03-07_1406_left/005388	1682	840	1760	959	5.19.1		
2018-03-07_1406_left/003112	4	133	376	532	2.1		
2018-03-07_1406_left/005328	905	929	953	1002	5.19.1		
2018-03-07_1406_left/003482	1144	903	1216	999	5.19.1		
2018-03-07_1406_left/003050	1564	787	1621	847	2.4		
2018-03-07_1406_left/003055	1592	764	1667	828	2.4		
2018-03-07_1406_left/005341	898	928	965	1012	5.19.1		
2018-03-07_1406_left/005341	2246	968	2296	1030	5.19.2		
2018-03-07_1406_left/004999	101	831	162	910	5.19.2		
2018-03-07_1406_left/003067	1703	699	1788	776	2.4		
2018-03-07_1406_left/003063	1655	731	1741	804	2.4		
2018-03-07_1406_left/005406	2332	774	2431	922	5.19.2		
2018-03-07_1406_left/005365	1116	876	1187	968	5.19.1		
2018-03-07_1406_left/003065	1682	720	1758	790	2.4		
2018-03-07_1406_left/003090	2205	382	2369	535	2.4		
2018-03-07_1406_left/003511	129	765	217	860	2.4		
2018-03-07_1406_left/005226	641	916	695	966	5.19.1		
2018-03-07_1406_left/005397	1976	808	2074	945	5.19.1		
2018-03-07_1406_left/000066	1742	906	1809	973	2.4		
2018-03-07_1406_left/005384	1560	852	1640	966	5.19.1		
2018-03-07_1406_left/003056	1598	761	1673	826	2.4		
2018-03-07_1406_left/003072	1762	650	1860	744	2.4		
2018-03-07_1406_left/005395	1909	827	1989	934	5.19.2		
2018-03-07_1406_left/005395	1908	824	1984	934	5.19.1		
2018-03-07_1406_left/005347	905	909	966	1007	5.19.1		
2018-03-07_1406_left/005347	2305	969	2358	1029	5.19.2		
2018-03-07_1406_left/000300	1744	889	1798	938	2.4		
2018-03-07_1406_left/005329	904	924	956	1001	5.19.1		
2018-03-07_1406_left/003080	1895	581	2022	686	2.4		
2018-03-07_1406_left/005374	1311	859	1392	972	5.19.1		
2018-03-07_1406_left/005391	1774	820	1860	953	5.19.1		
2018-03-07_1406_left/003504	314	829	452	973	5.19.2		
2018-03-07_1406_left/003109	257	306	564	647	2.1		
2018-03-07_1406_left/003566	223	904	263	1002	5.19.2		
2018-03-07_1406_left/003487	971	863	1067	1016	5.19.2		
