frame	xtl	ytl	xbr	ybr	class	temporary	data
2018-02-16_1503_right/018685	197	831	242	888	5.19.2	false	
2018-02-16_1503_right/018680	373	851	414	897	5.19.2	false	
2018-02-16_1503_right/018675	542	858	580	903	5.19.2	false	
2018-02-16_1503_right/018670	662	859	702	902	5.19.2	false	
2018-02-16_1503_right/018665	764	859	802	905	5.19.2	false	
2018-02-16_1503_right/018660	844	863	879	905	5.19.2	false	
2018-02-16_1503_right/018655	895	869	931	911	5.19.2	false	
2018-02-16_1503_right/018650	924	872	959	913	5.19.2	false	
2018-02-16_1503_right/018645	937	881	971	922	5.19.2	false	
2018-02-16_1503_right/018640	941	886	972	923	5.19.2	false	
2018-02-16_1503_right/018635	0	915	37	980	5.19.2	false	
2018-02-16_1503_right/018635	941	888	972	926	5.19.2	false	
2018-02-16_1503_right/018630	937	891	974	930	5.19.1	false	
2018-02-16_1503_right/018630	12	922	72	981	5.19.2	false	
2018-02-16_1503_right/018625	941	901	972	937	5.19.2	false	
2018-02-16_1503_right/018625	51	931	107	986	5.19.2	false	
2018-02-16_1503_right/018620	940	905	970	941	5.19.1	false	
2018-02-16_1503_right/018620	83	936	135	989	5.19.2	false	
2018-02-16_1503_right/018615	936	905	968	941	5.19.2	false	
2018-02-16_1503_right/018615	120	938	168	988	5.19.2	false	
2018-02-16_1503_right/018610	934	916	966	952	5.19.2	false	
2018-02-16_1503_right/018610	149	947	193	997	5.19.2	false	
2018-02-16_1503_right/018605	931	920	962	956	5.19.2	false	
2018-02-16_1503_right/018605	174	952	217	1001	5.19.2	false	
2018-02-16_1503_right/018600	928	919	959	953	5.19.2	false	
2018-02-16_1503_right/018600	199	957	242	999	5.19.2	false	
2018-02-16_1503_right/018595	926	924	961	959	5.19.1	false	
2018-02-16_1503_right/018595	222	957	273	1006	5.19.2	false	
2018-02-16_1503_right/018590	930	924	961	955	5.19.2	false	
2018-02-16_1503_right/018590	254	957	299	1004	5.19.1	false	
2018-02-16_1503_right/018585	934	918	963	951	5.19.2	false	
2018-02-16_1503_right/018585	283	950	329	1000	5.19.2	false	
2018-02-16_1503_right/018580	939	920	968	950	5.19.1	false	
2018-02-16_1503_right/018580	310	956	348	994	5.19.1	false	
2018-02-16_1503_right/018575	943	919	969	949	5.19.2	false	
2018-02-16_1503_right/018575	333	953	374	997	5.19.2	false	
2018-02-16_1503_right/018570	947	919	976	950	5.19.2	false	
2018-02-16_1503_right/018570	359	951	398	992	6.10.1	false	
2018-02-16_1503_right/018565	384	951	418	991	5.19.2	false	
2018-02-16_1503_right/018565	949	918	978	950	5.19.2	false	
2018-02-16_1503_right/018560	407	953	446	997	5.19.1	false	
2018-02-16_1503_right/018555	432	953	462	990	5.19.2	false	
2018-02-16_1503_right/018550	963	930	988	957	5.19.2	false	
2018-02-16_1503_right/018550	457	966	487	1000	5.19.2	false	
2018-02-16_1503_right/018545	968	928	991	955	5.19.2	false	
2018-02-16_1503_right/018545	474	964	506	997	5.19.2	false	
2018-02-16_1503_right/018540	498	970	525	1003	5.19.2	false	
2018-02-16_1503_right/018535	519	973	543	1003	5.19.2	false	
2018-02-16_1503_right/018525	557	970	581	1002	5.19.2	false	
2018-02-16_1503_right/018520	573	977	596	1007	5.19.1	false	
2018-02-16_1503_right/018510	603	968	627	997	5.19.2	false	
2018-02-16_1503_right/017745	2183	563	2337	737	6.4	false	
2018-02-16_1503_right/017740	2061	623	2202	768	6.4	false	
2018-02-16_1503_right/017735	1970	666	2095	797	6.4	false	
2018-02-16_1503_right/017730	1885	724	1990	831	6.4	false	
2018-02-16_1503_right/017725	1829	743	1925	849	6.4	false	
2018-02-16_1503_right/017720	1775	770	1863	860	6.4	false	
2018-02-16_1503_right/017715	1741	790	1820	872	6.4	false	
2018-02-16_1503_right/017710	1719	809	1778	882	6.4	false	
2018-02-16_1503_right/017705	1684	810	1743	881	6.4	false	
2018-02-16_1503_right/017700	1666	817	1713	882	6.4	false	
2018-02-16_1503_right/017695	1633	833	1690	894	6.4	false	
2018-02-16_1503_right/017690	1612	853	1667	912	6.4	false	
2018-02-16_1503_right/017685	1598	868	1646	922	6.4	false	
2018-02-16_1503_right/017680	1592	877	1628	924	NA	false	
2018-02-16_1503_right/017675	1576	881	1620	930	6.4	false	
2018-02-16_1503_right/017670	1567	880	1609	930	6.4	false	
2018-02-16_1503_right/017665	1568	889	1601	935	6.4	false	
2018-02-16_1503_right/017660	1559	891	1590	935	6.4	false	
2018-02-16_1503_right/017650	1544	903	1580	945	6.4	false	
2018-02-16_1503_right/015045	1757	1182	1794	1224	3.24	false	
2018-02-16_1503_right/014510	6	874	31	937	3.27	false	
2018-02-16_1503_right/014510	1	800	36	867	6.4	false	
2018-02-16_1503_right/014505	46	880	77	934	2.1	false	
2018-02-16_1503_right/014505	37	499	136	849	8.22.3	false	
2018-02-16_1503_right/014500	107	899	164	953	4.1.1	false	
2018-02-16_1503_right/014500	192	445	273	554	3.27	false	
2018-02-16_1503_right/014500	168	577	251	856	8.22.3	false	
2018-02-16_1503_right/014500	86	818	163	894	2.1	false	
2018-02-16_1503_right/014495	282	635	356	896	8.22.3	false	
2018-02-16_1503_right/014495	171	923	227	971	4.1.1	false	
2018-02-16_1503_right/014495	151	844	224	918	2.1	false	
2018-02-16_1503_right/014495	279	525	376	627	4.2.3	false	
2018-02-16_1503_right/014490	366	664	433	899	8.22.3	false	
2018-02-16_1503_right/014490	224	925	275	972	5.15.2	false	
2018-02-16_1503_right/014490	355	562	453	658	4.2.3	false	
2018-02-16_1503_right/014490	204	850	276	919	2.1	false	
2018-02-16_1503_right/014485	441	688	504	905	8.22.3	false	
2018-02-16_1503_right/014485	275	922	320	969	5.15.2	false	
2018-02-16_1503_right/014485	255	854	323	917	2.1	false	
2018-02-16_1503_right/014485	432	592	519	679	4.2.3	false	
2018-02-16_1503_right/014480	505	704	564	910	8.22.3	false	
