frame	xtl	ytl	xbr	ybr	class
2018-03-16_1424_left/000112	8	889	49	947	3.24
2018-03-16_1424_left/000113	20	887	75	942	3.24
2018-03-16_1424_left/000114	45	894	98	951	3.24
2018-03-16_1424_left/000115	64	896	113	951	3.24
2018-03-16_1424_left/000116	88	902	137	953	3.24
2018-03-16_1424_left/000117	107	904	158	964	3.24
2018-03-16_1424_left/000118	128	913	181	973	3.24
2018-03-16_1424_left/000119	157	920	202	980	3.24
2018-03-16_1424_left/000120	177	921	224	979	3.24
2018-03-16_1424_left/000121	196	921	241	978	3.24
2018-03-16_1424_left/000124	272	921	315	974	3.24
2018-03-16_1424_left/000125	291	915	342	975	3.24
2018-03-16_1424_left/000126	316	918	367	976	3.24
2018-03-16_1424_left/000128	368	908	411	973	3.24
2018-03-16_1424_left/000130	413	909	462	964	3.24
2018-03-16_1424_left/000133	490	909	541	964	3.24
2018-03-16_1424_left/000134	512	909	567	964	3.24
2018-03-16_1424_left/000144	769	887	824	963	3.24
2018-03-16_1424_left/000146	824	889	875	953	3.24
2018-03-16_1424_left/000147	847	876	909	952	3.24
2018-03-16_1424_left/000148	874	870	931	944	3.24
2018-03-16_1424_left/000149	905	864	964	936	3.24
2018-03-16_1424_left/000150	934	861	991	933	3.24
2018-03-16_1424_left/000151	967	856	1020	932	3.24
2018-03-16_1424_left/000153	1023	849	1085	926	3.24
2018-03-16_1424_left/000154	1050	844	1116	928	3.24
2018-03-16_1424_left/000155	1085	840	1142	919	3.24
2018-03-16_1424_left/000156	1112	830	1171	914	3.24
2018-03-16_1424_left/000157	1147	828	1204	914	3.24
2018-03-16_1424_left/000158	1178	825	1237	916	3.24
2018-03-16_1424_left/000159	1211	825	1270	916	3.24
2018-03-16_1424_left/000160	1246	823	1305	911	3.24
2018-03-16_1424_left/000161	1279	825	1338	909	3.24
2018-03-16_1424_left/000162	1312	821	1378	912	3.24
2018-03-16_1424_left/000163	1350	823	1416	907	3.24
2018-03-16_1424_left/000164	1383	809	1453	898	3.24
2018-03-16_1424_left/000165	1418	809	1484	897	3.24
2018-03-16_1424_left/000166	1461	807	1527	896	3.24
2018-03-16_1424_left/000167	1496	800	1564	893	3.24
2018-03-16_1424_left/000168	1534	802	1600	891	3.24
2018-03-16_1424_left/000169	1573	795	1639	890	3.24
2018-03-16_1424_left/000170	1608	795	1678	893	3.24
2018-03-16_1424_left/000171	1645	790	1719	890	3.24
2018-03-16_1424_left/000172	1695	792	1763	885	3.24
2018-03-16_1424_left/000173	1734	783	1800	886	3.24
2018-03-16_1424_left/000174	1776	783	1848	885	3.24
2018-03-16_1424_left/000175	1813	773	1903	876	3.24
2018-03-16_1424_left/000176	1862	769	1944	872	3.24
2018-03-16_1424_left/000177	1910	762	1998	870	3.24
2018-03-16_1424_left/000178	1955	754	2043	868	3.24
2018-03-16_1424_left/000179	2013	752	2099	862	3.24
2018-03-16_1424_left/000180	2061	742	2145	852	3.24
2018-03-16_1424_left/000181	2108	731	2205	850	3.24
2018-03-16_1424_left/000182	2154	719	2280	845	3.24
2018-03-16_1424_left/000184	2274	681	2410	829	3.24
2018-03-16_1424_left/000185	2338	672	2455	829	3.24
2018-03-16_1424_left/000228	901	968	921	987	5.20
2018-03-16_1424_left/000229	903	972	921	989	5.20
2018-03-16_1424_left/000230	905	968	923	985	5.20
2018-03-16_1424_left/000236	918	977	936	996	5.20
2018-03-16_1424_left/000239	926	987	944	1009	5.20
2018-03-16_1424_left/000240	926	989	944	1009	5.20
2018-03-16_1424_left/000243	930	973	948	993	5.20
2018-03-16_1424_left/000245	930	972	952	994	5.20
2018-03-16_1424_left/000246	1271	994	1281	1006	5.20
2018-03-16_1424_left/000247	934	970	956	990	5.20
2018-03-16_1424_left/000248	932	963	954	983	5.20
2018-03-16_1424_left/000249	934	963	958	983	5.20
2018-03-16_1424_left/000250	934	963	956	983	5.20
2018-03-16_1424_left/000251	936	958	958	980	5.20
2018-03-16_1424_left/000252	936	960	958	982	5.20
2018-03-16_1424_left/000253	936	958	958	980	5.20
2018-03-16_1424_left/000254	940	960	960	982	5.20
2018-03-16_1424_left/000256	936	953	958	975	5.20
2018-03-16_1424_left/000258	936	951	958	971	5.20
2018-03-16_1424_left/000259	934	953	958	973	5.20
2018-03-16_1424_left/000259	1298	982	1306	995	5.20
2018-03-16_1424_left/000260	936	951	960	973	5.20
2018-03-16_1424_left/000261	932	947	956	969	5.20
2018-03-16_1424_left/000262	932	953	954	973	5.20
2018-03-16_1424_left/000263	928	946	954	968	5.20
2018-03-16_1424_left/000263	1306	979	1314	989	5.20
2018-03-16_1424_left/000264	932	951	954	973	5.20
2018-03-16_1424_left/000264	1304	977	1312	989	5.20
2018-03-16_1424_left/000265	930	947	954	971	5.20
2018-03-16_1424_left/000265	1308	980	1318	992	5.20
2018-03-16_1424_left/000266	926	946	952	968	5.20
2018-03-16_1424_left/000267	930	947	954	969	5.20
2018-03-16_1424_left/000268	926	944	954	966	5.20
2018-03-16_1424_left/000268	1308	979	1316	991	5.20
2018-03-16_1424_left/000269	928	951	952	975	5.20
2018-03-16_1424_left/000270	926	951	952	973	5.20
2018-03-16_1424_left/000274	922	960	946	984	5.20
2018-03-16_1424_left/000284	1341	973	1351	986	5.20
2018-03-16_1424_left/000292	1356	979	1366	994	5.20
2018-03-16_1424_left/000303	1000	1030	1012	1042	5.20
2018-03-16_1424_left/000303	1385	977	1395	992	5.20
2018-03-16_1424_left/000303	870	927	907	959	5.20
2018-03-16_1424_left/000310	1403	977	1413	992	5.20
2018-03-16_1424_left/000311	845	915	886	953	5.20
2018-03-16_1424_left/000315	831	909	876	948	5.20
2018-03-16_1424_left/000316	824	909	871	950	5.20
2018-03-16_1424_left/000317	822	908	867	947	5.20
2018-03-16_1424_left/000318	818	902	861	943	5.20
2018-03-16_1424_left/000319	814	901	857	944	5.20
2018-03-16_1424_left/000320	1426	972	1438	989	5.20
2018-03-16_1424_left/000321	1430	966	1442	983	5.20
2018-03-16_1424_left/000322	798	901	847	944	5.20
2018-03-16_1424_left/000323	791	901	840	942	5.20
2018-03-16_1424_left/000323	1439	975	1451	992	5.20
2018-03-16_1424_left/000336	1465	966	1477	983	5.20
2018-03-16_1424_left/000337	1467	966	1481	985	5.20
2018-03-16_1424_left/000342	1480	963	1496	983	3.27
2018-03-16_1424_left/000362	1532	944	1548	969	5.20
2018-03-16_1424_left/000368	1550	937	1568	962	5.20
2018-03-16_1424_left/000369	1552	930	1570	955	5.20
2018-03-16_1424_left/000370	1554	932	1574	961	5.20
2018-03-16_1424_left/000376	1579	911	1597	942	5.20
2018-03-16_1424_left/000387	1623	845	1651	900	2.4
2018-03-16_1424_left/000388	1623	844	1656	897	2.4
2018-03-16_1424_left/000389	1629	838	1657	886	2.4
2018-03-16_1424_left/000390	1639	837	1670	881	2.4
2018-03-16_1424_left/000393	1651	826	1688	881	2.4
2018-03-16_1424_left/000394	1660	823	1695	880	2.4
2018-03-16_1424_left/000395	1662	823	1699	876	2.4
2018-03-16_1424_left/000396	1672	819	1705	872	2.4
2018-03-16_1424_left/000399	1689	819	1728	876	2.4
2018-03-16_1424_left/000400	1693	818	1736	878	2.4
2018-03-16_1424_left/000401	1707	814	1738	878	2.4
2018-03-16_1424_left/000402	1716	814	1751	876	2.4
2018-03-16_1424_left/000403	1718	802	1749	860	2.4
