frame	xtl	ytl	xbr	ybr	class
2018-02-16_1515_left/000026	1171	1155	1232	1211	2.1
2018-02-16_1515_left/000133	432	1069	556	1225	2.1
2018-02-16_1515_left/000137	403	1059	508	1216	2.1
2018-02-16_1515_left/000139	492	1048	584	1205	2.1
2018-02-16_1515_left/000152	325	1013	411	1149	2.1
2018-02-16_1515_left/000153	291	1021	393	1156	2.1
2018-02-16_1515_left/000154	268	1014	367	1160	2.1
2018-02-16_1515_left/000155	247	1016	341	1161	2.1
2018-02-16_1515_left/000157	189	1025	283	1172	2.1
2018-02-16_1515_left/000158	160	1019	257	1174	2.1
2018-02-16_1515_left/000174	80	1056	174	1191	2.1
2018-02-16_1515_left/000175	61	1058	147	1196	2.1
2018-02-16_1515_left/000849	1054	954	1068	968	5.19
2018-02-16_1515_left/000868	1067	950	1085	967	5.19
2018-02-16_1515_left/000869	1069	947	1085	964	5.19
2018-02-16_1515_left/000871	1068	940	1084	956	5.19
2018-02-16_1515_left/000879	1058	946	1073	962	5.19
2018-02-16_1515_left/000880	1053	944	1069	962	5.19
2018-02-16_1515_left/000890	1049	957	1066	976	5.19
2018-02-16_1515_left/000895	1045	963	1064	984	5.19
2018-02-16_1515_left/000896	1043	961	1060	979	5.19
2018-02-16_1515_left/000905	1035	977	1054	996	5.19
2018-02-16_1515_left/000906	1036	978	1056	1000	5.19
2018-02-16_1515_left/000908	1032	982	1051	1003	5.19
2018-02-16_1515_left/000974	902	1000	924	1033	5.19
2018-02-16_1515_left/000975	902	998	921	1031	5.19
2018-02-16_1515_left/000976	887	997	915	1031	5.19
2018-02-16_1515_left/000977	885	999	909	1033	5.19
2018-02-16_1515_left/000978	878	998	901	1032	5.19
2018-02-16_1515_left/000979	870	996	896	1028	5.19
2018-02-16_1515_left/000980	862	995	891	1027	5.19
2018-02-16_1515_left/000981	852	987	880	1021	5.19
2018-02-16_1515_left/000982	846	987	875	1022	5.19
2018-02-16_1515_left/000983	832	987	862	1020	5.19
2018-02-16_1515_left/000984	822	979	855	1013	5.19
2018-02-16_1515_left/000985	815	984	848	1016	5.19
2018-02-16_1515_left/000986	796	977	828	1011	5.19
2018-02-16_1515_left/000987	788	982	823	1018	5.19
2018-02-16_1515_left/000988	774	971	810	1004	5.19
2018-02-16_1515_left/000989	772	976	806	1011	5.19
2018-02-16_1515_left/000990	759	969	793	1006	5.19
2018-02-16_1515_left/000991	750	967	786	1005	5.19
2018-02-16_1515_left/000992	745	969	779	1007	5.19
2018-02-16_1515_left/000993	736	965	772	1001	5.19
2018-02-16_1515_left/000994	733	969	768	1006	5.19
2018-02-16_1515_left/000995	725	965	761	1006	5.19
2018-02-16_1515_left/000996	719	963	754	1004	5.19
2018-02-16_1515_left/000997	718	972	754	1009	5.19
2018-02-16_1515_left/000998	713	961	750	1001	5.19
2018-02-16_1515_left/000999	711	967	748	1003	5.19
2018-02-16_1515_left/001000	712	964	749	1002	5.19
2018-02-16_1515_left/001001	709	959	745	995	5.19
2018-02-16_1515_left/001002	709	962	748	1001	5.19
2018-02-16_1515_left/001003	708	955	746	993	5.19
2018-02-16_1515_left/001004	710	956	747	995	5.19
2018-02-16_1515_left/001005	710	956	747	995	5.19
2018-02-16_1515_left/001006	709	949	747	992	5.19
2018-02-16_1515_left/001007	708	949	747	990	5.19
2018-02-16_1515_left/001008	707	948	747	990	5.19
2018-02-16_1515_left/001009	706	948	744	991	5.19
2018-02-16_1515_left/001010	704	946	745	991	5.19
2018-02-16_1515_left/001011	701	947	743	991	5.19
2018-02-16_1515_left/001012	700	945	738	986	5.19
2018-02-16_1515_left/001013	698	945	739	992	5.19
2018-02-16_1515_left/001014	691	938	736	984	5.19
2018-02-16_1515_left/001015	684	938	730	986	5.19
2018-02-16_1515_left/001016	684	946	723	992	5.19
2018-02-16_1515_left/001017	677	937	721	983	5.19
2018-02-16_1515_left/001018	676	937	717	985	5.19
2018-02-16_1515_left/001019	667	936	711	984	5.19
2018-02-16_1515_left/001020	667	935	710	981	5.19
2018-02-16_1515_left/001021	660	935	704	984	5.19
2018-02-16_1515_left/001022	651	934	696	980	5.19
2018-02-16_1515_left/001023	646	935	693	984	5.19
2018-02-16_1515_left/001024	639	941	688	992	5.19
2018-02-16_1515_left/001025	632	935	680	985	5.19
2018-02-16_1515_left/001026	628	945	674	994	5.19
2018-02-16_1515_left/001026	993	1063	1020	1094	5.19
2018-02-16_1515_left/001027	615	934	667	986	5.19
2018-02-16_1515_left/001028	988	1062	1015	1092	5.19
2018-02-16_1515_left/001028	612	942	661	993	5.19
2018-02-16_1515_left/001029	607	939	656	991	5.19
2018-02-16_1515_left/001030	594	926	646	978	5.19
2018-02-16_1515_left/001031	595	943	645	994	5.19
2018-02-16_1515_left/001032	581	926	630	979	5.19
2018-02-16_1515_left/001033	574	934	627	988	5.19
2018-02-16_1515_left/001034	569	931	622	986	5.19
2018-02-16_1515_left/001035	555	923	608	977	5.19
2018-02-16_1515_left/001036	970	1062	997	1090	5.19
2018-02-16_1515_left/001036	549	932	605	989	5.19
2018-02-16_1515_left/001037	540	927	592	984	5.19
2018-02-16_1515_left/001038	963	1055	991	1086	5.19
2018-02-16_1515_left/001038	531	923	585	981	5.19
2018-02-16_1515_left/001039	962	1060	991	1090	5.19
2018-02-16_1515_left/001039	522	923	579	983	5.19
2018-02-16_1515_left/001040	955	1056	983	1086	5.19
2018-02-16_1515_left/001040	511	921	564	978	5.19
2018-02-16_1515_left/001041	960	1054	986	1084	5.19
2018-02-16_1515_left/001041	506	918	561	976	5.19
2018-02-16_1515_left/001042	957	1054	983	1085	5.19
2018-02-16_1515_left/001042	499	917	552	975	5.19
2018-02-16_1515_left/001043	488	903	546	968	5.19
2018-02-16_1515_left/001043	955	1045	983	1075	5.19
2018-02-16_1515_left/001044	472	900	531	967	5.19
2018-02-16_1515_left/001044	954	1046	980	1075	5.19
2018-02-16_1515_left/001045	465	904	523	968	5.19
2018-02-16_1515_left/001045	953	1048	983	1080	5.19
2018-02-16_1515_left/001046	453	894	516	963	5.19
2018-02-16_1515_left/001046	951	1044	981	1074	5.19
2018-02-16_1515_left/001047	440	894	502	961	5.19
2018-02-16_1515_left/001047	946	1045	977	1075	5.19
2018-02-16_1515_left/001048	434	894	495	960	5.19
2018-02-16_1515_left/001048	946	1044	977	1075	5.19
2018-02-16_1515_left/001049	419	885	483	956	5.19
2018-02-16_1515_left/001049	942	1041	972	1071	5.19
2018-02-16_1515_left/001050	403	886	468	957	5.19
2018-02-16_1515_left/001050	935	1045	966	1074	5.19
2018-02-16_1515_left/001051	393	884	459	956	5.19
2018-02-16_1515_left/001051	934	1044	965	1075	5.19
2018-02-16_1515_left/001052	378	881	442	952	5.19
2018-02-16_1515_left/001052	930	1045	959	1075	5.19
2018-02-16_1515_left/001053	363	872	433	949	5.19
2018-02-16_1515_left/001053	924	1041	954	1071	5.19
2018-02-16_1515_left/001054	349	869	416	945	5.19
2018-02-16_1515_left/001054	919	1039	951	1071	5.19
2018-02-16_1515_left/001055	333	864	398	940	5.19
2018-02-16_1515_left/001055	913	1036	945	1067	5.19
2018-02-16_1515_left/001056	318	868	389	943	5.19
2018-02-16_1515_left/001056	913	1041	944	1071	5.19
2018-02-16_1515_left/001057	905	1030	937	1063	5.19
2018-02-16_1515_left/001057	297	853	371	931	5.19
2018-02-16_1515_left/001058	903	1031	935	1063	5.19
2018-02-16_1515_left/001058	285	853	357	932	5.19
2018-02-16_1515_left/001059	897	1033	929	1064	5.19
2018-02-16_1515_left/001059	267	855	337	934	5.19
2018-02-16_1515_left/001060	895	1028	926	1059	5.19
2018-02-16_1515_left/001060	248	848	323	929	5.19
2018-02-16_1515_left/001061	230	853	307	937	5.19
2018-02-16_1515_left/001061	889	1035	922	1068	5.19
2018-02-16_1515_left/001062	884	1023	917	1054	5.19
2018-02-16_1515_left/001062	211	834	289	923	5.19
2018-02-16_1515_left/001063	202	844	276	930	5.19
2018-02-16_1515_left/001063	887	1033	917	1064	5.19
2018-02-16_1515_left/001064	881	1023	913	1054	5.19
2018-02-16_1515_left/001064	178	829	257	917	5.19
2018-02-16_1515_left/001065	883	1019	918	1051	5.19
2018-02-16_1515_left/001065	168	823	249	914	5.19
2018-02-16_1515_left/001066	879	1024	912	1056	5.19
2018-02-16_1515_left/001066	146	820	235	914	5.19
2018-02-16_1515_left/001067	879	1010	911	1043	5.19
2018-02-16_1515_left/001067	133	804	216	897	5.19
2018-02-16_1515_left/001068	126	814	211	908	5.19
2018-02-16_1515_left/001068	884	1022	915	1053	5.19
2018-02-16_1515_left/001069	884	1015	915	1048	5.19
2018-02-16_1515_left/001069	101	803	190	897	5.19
2018-02-16_1515_left/001070	886	1004	918	1039	5.19
2018-02-16_1515_left/001070	91	790	182	893	5.19
2018-02-16_1515_left/001071	887	1011	920	1044	5.19
2018-02-16_1515_left/001071	71	794	166	898	5.19
2018-02-16_1515_left/001072	59	770	155	881	5.19
2018-02-16_1515_left/001072	889	991	921	1025	5.19
2018-02-16_1515_left/001073	892	987	924	1020	5.19
2018-02-16_1515_left/001073	31	762	125	873	5.19
2018-02-16_1515_left/001074	892	984	924	1018	5.19
2018-02-16_1515_left/001074	15	756	111	869	5.19
2018-02-16_1515_left/001075	895	989	931	1023	5.19
2018-02-16_1515_left/001075	6	760	90	871	5.19
2018-02-16_1515_left/001076	894	975	928	1008	5.19
2018-02-16_1515_left/001077	895	984	931	1017	5.19
2018-02-16_1515_left/001078	902	987	937	1021	5.19
2018-02-16_1515_left/001079	898	977	934	1014	5.19
2018-02-16_1515_left/001080	904	985	938	1020	5.19
2018-02-16_1515_left/001081	901	980	936	1016	5.19
2018-02-16_1515_left/001082	906	986	941	1022	5.19
2018-02-16_1515_left/001083	914	985	950	1022	5.19
2018-02-16_1515_left/001084	912	979	948	1016	5.19
2018-02-16_1515_left/001085	918	986	952	1021	5.19
2018-02-16_1515_left/001086	921	986	956	1023	5.19
2018-02-16_1515_left/001087	924	982	959	1019	5.19
2018-02-16_1515_left/001088	932	981	969	1018	5.19
2018-02-16_1515_left/001089	938	976	975	1013	5.19
2018-02-16_1515_left/001090	948	980	985	1017	5.19
2018-02-16_1515_left/001091	957	980	995	1017	5.19
2018-02-16_1515_left/001092	962	975	1001	1013	5.19
2018-02-16_1515_left/001093	969	981	1005	1019	5.19
2018-02-16_1515_left/001094	977	981	1017	1018	5.19
2018-02-16_1515_left/001095	985	981	1021	1021	5.19
2018-02-16_1515_left/001096	994	976	1033	1016	5.19
2018-02-16_1515_left/001097	998	977	1037	1014	5.19
2018-02-16_1515_left/001098	1005	979	1042	1019	5.19
2018-02-16_1515_left/001099	1012	975	1050	1015	5.19
2018-02-16_1515_left/001100	1014	972	1054	1014	5.19
2018-02-16_1515_left/001101	1019	965	1059	1007	5.19
2018-02-16_1515_left/001102	1031	974	1071	1015	5.19
2018-02-16_1515_left/001103	1040	965	1081	1006	5.19
2018-02-16_1515_left/001104	1050	974	1092	1017	5.19
2018-02-16_1515_left/001105	1061	974	1102	1017	5.19
2018-02-16_1515_left/001106	1069	982	1111	1024	5.19
2018-02-16_1515_left/001107	1081	983	1122	1026	5.19
2018-02-16_1515_left/001108	1091	975	1133	1018	5.19
2018-02-16_1515_left/001109	1101	984	1144	1028	5.19
2018-02-16_1515_left/001110	1114	979	1155	1021	5.19
2018-02-16_1515_left/001111	1124	979	1166	1021	5.19
