frame	xtl	ytl	xbr	ybr	class
2018-02-16_1515_left/000990	747	965	788	1005	5.19
2018-02-16_1515_left/000991	743	968	782	1007	5.19
2018-02-16_1515_left/000992	734	962	773	1001	5.19
2018-02-16_1515_left/000993	729	964	768	1006	5.19
2018-02-16_1515_left/000994	722	962	763	1004	5.19
2018-02-16_1515_left/000995	716	960	757	1002	5.19
2018-02-16_1515_left/000996	717	968	756	1009	5.19
2018-02-16_1515_left/000997	710	958	752	1002	5.19
2018-02-16_1515_left/000998	709	962	749	1005	5.19
2018-02-16_1515_left/000999	710	960	751	1002	5.19
2018-02-16_1515_left/001000	705	956	747	998	5.19
2018-02-16_1515_left/001001	706	958	751	1003	5.19
2018-02-16_1515_left/001002	705	951	748	994	5.19
2018-02-16_1515_left/001003	707	952	749	998	5.19
2018-02-16_1515_left/001004	707	951	750	997	5.19
2018-02-16_1515_left/001005	705	948	748	996	5.19
2018-02-16_1515_left/001006	705	946	749	992	5.19
2018-02-16_1515_left/001007	703	946	749	992	5.19
2018-02-16_1515_left/001008	704	948	746	992	5.19
2018-02-16_1515_left/001009	703	944	747	992	5.19
2018-02-16_1515_left/001010	700	944	745	989	5.19
2018-02-16_1515_left/001011	698	941	741	988	5.19
2018-02-16_1515_left/001012	698	944	741	992	5.19
2018-02-16_1515_left/001013	690	936	739	984	5.19
2018-02-16_1515_left/001014	683	936	731	987	5.19
2018-02-16_1515_left/001015	679	943	726	993	5.19
2018-02-16_1515_left/001016	675	933	724	985	5.19
2018-02-16_1515_left/001017	673	934	720	988	5.19
2018-02-16_1515_left/001018	664	932	715	987	5.19
2018-02-16_1515_left/001019	660	928	711	984	5.19
2018-02-16_1515_left/001020	654	932	707	988	5.19
2018-02-16_1515_left/001021	649	928	699	985	5.19
2018-02-16_1515_left/001022	643	932	695	987	5.19
2018-02-16_1515_left/001023	635	937	691	995	5.19
2018-02-16_1515_left/001024	628	930	680	988	5.19
2018-02-16_1515_left/001025	625	939	679	998	5.19
2018-02-16_1515_left/001026	614	931	668	987	5.19
2018-02-16_1515_left/001027	609	935	666	995	5.19
2018-02-16_1515_left/001028	605	935	660	994	5.19
2018-02-16_1515_left/001029	593	919	647	980	5.19
2018-02-16_1515_left/001030	592	937	650	998	5.19
2018-02-16_1515_left/001031	577	920	634	981	5.19
2018-02-16_1515_left/001032	571	929	630	990	5.19
2018-02-16_1515_left/001033	567	925	623	988	5.19
2018-02-16_1515_left/001034	551	918	610	982	5.19
2018-02-16_1515_left/001035	547	927	606	991	5.19
2018-02-16_1515_left/001036	535	921	595	985	5.19
2018-02-16_1515_left/001037	527	918	588	984	5.19
2018-02-16_1515_left/001038	517	920	581	987	5.19
2018-02-16_1515_left/001039	504	915	568	986	5.19
2018-02-16_1515_left/001040	501	912	567	981	5.19
2018-02-16_1515_left/001041	491	910	557	980	5.19
2018-02-16_1515_left/001041	906	1003	940	1039	4.2
2018-02-16_1515_left/001042	485	900	549	969	5.19
2018-02-16_1515_left/001043	469	899	534	969	5.19
2018-02-16_1515_left/001044	461	900	528	970	5.19
2018-02-16_1515_left/001045	447	890	518	965	5.19
2018-02-16_1515_left/001046	437	890	508	966	5.19
2018-02-16_1515_left/001047	428	889	497	962	5.19
2018-02-16_1515_left/001048	413	883	487	956	5.19
