frame	xtl	ytl	xbr	ybr	class
2018-03-23_1352_right/000001	1429	903	1467	937	3.27
2018-03-23_1352_right/000002	1429	903	1467	936	3.27
2018-03-23_1352_right/000003	1428	902	1470	935	3.27
2018-03-23_1352_right/000004	1431	905	1467	935	3.27
2018-03-23_1352_right/000005	1432	905	1468	934	3.27
2018-03-23_1352_right/000006	1433	905	1468	935	3.27
2018-03-23_1352_right/000007	1431	904	1468	935	3.27
2018-03-23_1352_right/000008	1431	904	1470	935	3.27
2018-03-23_1352_right/000009	1432	904	1469	935	3.27
2018-03-23_1352_right/000010	1435	904	1471	934	3.27
2018-03-23_1352_right/000012	1434	904	1470	933	3.27
2018-03-23_1352_right/000013	1431	905	1470	935	3.27
2018-03-23_1352_right/000042	1457	906	1496	940	3.27
2018-03-23_1352_right/000045	1458	905	1498	939	3.27
2018-03-23_1352_right/000046	1459	906	1496	938	3.27
2018-03-23_1352_right/000047	1459	905	1497	937	3.27
2018-03-23_1352_right/000048	1457	904	1497	939	3.27
2018-03-23_1352_right/000049	1456	905	1496	939	3.27
2018-03-23_1352_right/000050	1459	904	1495	937	3.27
2018-03-23_1352_right/000051	1455	904	1497	938	3.27
2018-03-23_1352_right/000052	1457	905	1495	939	3.27
2018-03-23_1352_right/000053	1458	907	1496	940	3.27
2018-03-23_1352_right/000056	1458	911	1495	946	3.27
2018-03-23_1352_right/000061	1456	921	1490	952	3.27
2018-03-23_1352_right/000063	1453	918	1492	953	3.27
2018-03-23_1352_right/000064	1454	918	1491	956	3.27
2018-03-23_1352_right/000065	1453	922	1492	956	3.27
2018-03-23_1352_right/000067	1453	919	1491	953	3.27
2018-03-23_1352_right/000068	1454	918	1492	951	3.27
2018-03-23_1352_right/000069	1455	919	1491	950	3.27
2018-03-23_1352_right/000070	1454	911	1494	946	3.27
2018-03-23_1352_right/000071	1456	911	1495	947	3.27
2018-03-23_1352_right/000072	1452	908	1500	943	3.27
2018-03-23_1352_right/000073	1453	910	1494	946	3.27
2018-03-23_1352_right/000074	1454	908	1497	945	3.27
2018-03-23_1352_right/000075	1453	907	1500	945	3.27
2018-03-23_1352_right/000076	1454	909	1497	945	3.27
2018-03-23_1352_right/000077	1455	907	1498	941	3.27
2018-03-23_1352_right/000078	1454	909	1498	944	3.27
2018-03-23_1352_right/000079	1454	905	1498	943	3.27
2018-03-23_1352_right/000080	1454	906	1498	943	3.27
2018-03-23_1352_right/000081	1453	904	1499	941	3.27
2018-03-23_1352_right/000082	1454	904	1498	942	3.27
2018-03-23_1352_right/000083	1451	903	1495	942	3.27
2018-03-23_1352_right/000084	1450	904	1495	943	3.27
2018-03-23_1352_right/000085	1448	903	1495	943	3.27
2018-03-23_1352_right/000086	1446	899	1493	942	3.27
2018-03-23_1352_right/000087	1448	899	1493	941	3.27
2018-03-23_1352_right/000088	1447	900	1492	942	3.27
2018-03-23_1352_right/000089	1448	901	1491	943	3.27
2018-03-23_1352_right/000090	1448	901	1491	943	3.27
2018-03-23_1352_right/000091	1446	899	1489	942	3.27
2018-03-23_1352_right/000092	1446	903	1488	937	3.27
2018-03-23_1352_right/000093	1444	899	1486	942	3.27
2018-03-23_1352_right/000094	1447	903	1485	937	3.27
2018-03-23_1352_right/000095	1447	903	1482	936	3.27
2018-03-23_1352_right/000096	1444	901	1481	937	3.27
2018-03-23_1352_right/000097	1442	896	1483	940	3.27
2018-03-23_1352_right/000098	1444	902	1481	935	3.27
2018-03-23_1352_right/000099	1441	897	1482	940	3.27
2018-03-23_1352_right/000100	1444	902	1480	934	3.27
2018-03-23_1352_right/000101	1443	900	1479	934	3.27
2018-03-23_1352_right/000102	1444	900	1479	931	3.27
2018-03-23_1352_right/000103	1439	895	1480	939	3.27
2018-03-23_1352_right/000104	1439	895	1479	939	3.27
2018-03-23_1352_right/000105	1438	896	1478	939	3.27
2018-03-23_1352_right/000106	1438	895	1478	938	3.27
2018-03-23_1352_right/000107	1437	895	1478	938	3.27
2018-03-23_1352_right/000108	1436	894	1476	936	3.27
2018-03-23_1352_right/000109	1435	896	1475	938	3.27
2018-03-23_1352_right/000110	1436	895	1477	938	3.27
2018-03-23_1352_right/000111	1434	895	1475	938	3.27
2018-03-23_1352_right/000112	1434	896	1476	938	3.27
2018-03-23_1352_right/000113	1434	895	1476	938	3.27
2018-03-23_1352_right/000114	1438	901	1471	933	3.27
2018-03-23_1352_right/000115	1439	901	1472	932	3.27
2018-03-23_1352_right/000116	1432	896	1474	939	3.27
2018-03-23_1352_right/000117	1432	896	1474	940	3.27
2018-03-23_1352_right/000118	1430	895	1473	939	3.27
2018-03-23_1352_right/000119	1431	896	1474	939	3.27
2018-03-23_1352_right/000120	1431	895	1474	939	3.27
2018-03-23_1352_right/000121	1432	896	1473	938	3.27
2018-03-23_1352_right/000122	1431	896	1473	939	3.27
2018-03-23_1352_right/000123	1433	895	1474	937	3.27
2018-03-23_1352_right/000124	1432	895	1474	937	3.27
2018-03-23_1352_right/000125	1434	896	1475	938	3.27
2018-03-23_1352_right/000126	1432	895	1474	938	3.27
2018-03-23_1352_right/000127	1434	896	1475	939	3.27
2018-03-23_1352_right/000128	1432	896	1474	939	3.27
2018-03-23_1352_right/000129	1431	897	1474	942	3.27
2018-03-23_1352_right/000130	1433	897	1474	938	3.27
2018-03-23_1352_right/000131	408	711	459	828	5.19
2018-03-23_1352_right/000131	1432	897	1474	938	3.27
2018-03-23_1352_right/000132	1433	896	1475	939	3.27
2018-03-23_1352_right/000133	388	702	440	827	5.19
2018-03-23_1352_right/000133	1432	897	1474	938	3.27
2018-03-23_1352_right/000134	1433	896	1475	938	3.27
2018-03-23_1352_right/000135	1433	896	1475	937	3.27
2018-03-23_1352_right/000136	351	698	405	818	5.19
2018-03-23_1352_right/000136	1433	895	1475	938	3.27
2018-03-23_1352_right/000137	1434	895	1475	938	3.27
2018-03-23_1352_right/000138	1434	895	1475	939	3.27
2018-03-23_1352_right/000139	1434	894	1475	939	3.27
2018-03-23_1352_right/000140	1434	893	1476	938	3.27
2018-03-23_1352_right/000141	1434	894	1476	939	3.27
2018-03-23_1352_right/000142	1436	893	1477	940	3.27
2018-03-23_1352_right/000143	1436	895	1477	941	3.27
2018-03-23_1352_right/000144	1438	893	1479	939	3.27
2018-03-23_1352_right/000145	1438	896	1479	941	3.27
2018-03-23_1352_right/000146	1440	894	1481	939	3.27
2018-03-23_1352_right/000147	1441	895	1482	941	3.27
2018-03-23_1352_right/000148	1443	894	1485	939	3.27
2018-03-23_1352_right/000149	1442	894	1486	939	3.27
2018-03-23_1352_right/000150	1444	894	1489	942	3.27
2018-03-23_1352_right/000151	1445	891	1488	937	3.27
2018-03-23_1352_right/000152	1447	892	1490	938	3.27
2018-03-23_1352_right/000153	1447	891	1490	939	3.27
2018-03-23_1352_right/000154	1448	891	1490	938	3.27
2018-03-23_1352_right/000155	1448	891	1492	939	3.27
2018-03-23_1352_right/000156	1448	890	1490	937	3.27
2018-03-23_1352_right/000157	1449	892	1492	939	3.27
2018-03-23_1352_right/000158	1449	892	1493	940	3.27
2018-03-23_1352_right/000159	1449	891	1493	939	3.27
2018-03-23_1352_right/000160	1448	891	1494	938	3.27
2018-03-23_1352_right/000161	1450	891	1494	936	3.27
2018-03-23_1352_right/000162	1453	890	1498	934	3.27
2018-03-23_1352_right/000163	1451	889	1495	933	3.27
2018-03-23_1352_right/000164	1449	886	1501	926	3.27
2018-03-23_1352_right/000165	1451	887	1501	926	3.27
2018-03-23_1352_right/000165	2021	686	2067	837	5.19
2018-03-23_1352_right/000166	1452	887	1500	927	3.27
2018-03-23_1352_right/000167	1455	884	1504	928	3.27
2018-03-23_1352_right/000168	1456	883	1505	927	3.27
2018-03-23_1352_right/000169	1457	884	1505	928	3.27
2018-03-23_1352_right/000170	1458	884	1506	928	3.27
2018-03-23_1352_right/000171	1459	883	1507	928	3.27
2018-03-23_1352_right/000172	1457	926	1515	966	5.20
2018-03-23_1352_right/000172	1461	880	1509	928	3.27
2018-03-23_1352_right/000173	1460	925	1515	967	5.20
2018-03-23_1352_right/000173	1461	880	1512	929	3.27
2018-03-23_1352_right/000174	1460	926	1514	967	5.20
2018-03-23_1352_right/000174	1464	879	1512	928	3.27
2018-03-23_1352_right/000175	1463	928	1514	969	5.20
2018-03-23_1352_right/000175	1464	878	1513	926	3.27
2018-03-23_1352_right/000176	1462	925	1514	969	5.20
2018-03-23_1352_right/000176	1467	876	1515	923	3.27
2018-03-23_1352_right/000177	1462	925	1514	968	5.20
2018-03-23_1352_right/000177	1467	875	1516	924	3.27
2018-03-23_1352_right/000178	1465	927	1515	968	5.20
2018-03-23_1352_right/000178	1470	875	1518	924	3.27
