frame	xtl	ytl	xbr	ybr	class
2018-02-16_1515_left/000545	357	907	381	950	2.1
2018-02-16_1515_left/000546	349	906	375	949	2.1
2018-02-16_1515_left/000547	339	904	368	951	2.1
2018-02-16_1515_left/000548	332	905	359	949	2.1
2018-02-16_1515_left/000549	324	903	351	948	2.1
2018-02-16_1515_left/000550	313	900	345	947	2.1
2018-02-16_1515_left/000551	307	900	334	946	2.1
2018-02-16_1515_left/000552	297	902	328	945	2.1
2018-02-16_1515_left/000554	282	899	311	944	2.1
2018-02-16_1515_left/000555	275	901	304	945	2.1
2018-02-16_1515_left/000557	256	905	289	947	2.1
2018-02-16_1515_left/000558	248	903	280	946	2.1
2018-02-16_1515_left/000559	240	903	271	948	2.1
2018-02-16_1515_left/000560	232	905	265	949	2.1
2018-02-16_1515_left/000561	224	909	257	950	2.1
2018-02-16_1515_left/000562	216	908	248	952	2.1
2018-02-16_1515_left/000563	210	909	239	952	2.1
2018-02-16_1515_left/000564	199	907	231	954	2.1
2018-02-16_1515_left/000566	181	907	214	952	2.1
2018-02-16_1515_left/000567	173	905	204	950	2.1
2018-02-16_1515_left/000568	164	901	197	952	2.1
2018-02-16_1515_left/000569	154	902	188	948	2.1
2018-02-16_1515_left/000570	146	900	179	949	2.1
2018-02-16_1515_left/000572	126	896	163	950	2.1
2018-02-16_1515_left/000573	115	894	154	950	2.1
2018-02-16_1515_left/000575	96	890	136	948	2.1
2018-02-16_1515_left/000576	85	888	123	945	2.1
2018-02-16_1515_left/000577	76	888	113	946	2.1
2018-02-16_1515_left/000578	62	886	105	943	2.1
2018-02-16_1515_left/000579	51	883	96	945	2.1
2018-02-16_1515_left/000580	43	882	87	941	2.1
2018-02-16_1515_left/000581	31	879	78	945	2.1
2018-02-16_1515_left/000582	21	876	67	942	2.1
2018-02-16_1515_left/000583	13	877	58	937	2.1
2018-02-16_1515_left/000584	4	872	52	937	2.1
2018-02-16_1515_left/000585	1	873	41	942	2.1
2018-02-16_1515_left/000586	1	873	33	935	2.1
2018-02-16_1515_left/000587	1	872	23	934	2.1
2018-02-16_1515_left/000831	1011	936	1027	954	2.1
2018-02-16_1515_left/000832	1014	937	1030	955	2.1
2018-02-16_1515_left/000833	1017	939	1034	957	2.1
2018-02-16_1515_left/000834	1020	939	1038	958	2.1
2018-02-16_1515_left/000835	1024	939	1040	958	2.1
2018-02-16_1515_left/000836	1028	941	1045	959	2.1
2018-02-16_1515_left/000837	1030	942	1048	959	2.1
2018-02-16_1515_left/000838	1035	943	1051	961	2.1
