frame	xtl	ytl	xbr	ybr	class
2018-02-16_1515_left/000545	356	908	382	953	2.1
2018-02-16_1515_left/000546	349	907	374	949	2.1
2018-02-16_1515_left/000547	339	907	367	948	2.1
2018-02-16_1515_left/000548	333	904	358	950	2.1
2018-02-16_1515_left/000549	322	902	351	948	2.1
2018-02-16_1515_left/000550	315	900	345	946	2.1
2018-02-16_1515_left/000552	298	901	328	943	2.1
2018-02-16_1515_left/000553	289	898	320	941	2.1
2018-02-16_1515_left/000554	281	899	312	943	2.1
2018-02-16_1515_left/000555	272	902	303	947	2.1
2018-02-16_1515_left/000556	264	902	296	948	2.1
2018-02-16_1515_left/000557	258	901	287	948	2.1
2018-02-16_1515_left/000558	249	906	279	949	2.1
2018-02-16_1515_left/000559	240	905	272	948	2.1
2018-02-16_1515_left/000560	232	905	265	951	2.1
2018-02-16_1515_left/000561	225	906	257	951	2.1
2018-02-16_1515_left/000562	217	907	249	952	2.1
2018-02-16_1515_left/000563	209	909	240	953	2.1
2018-02-16_1515_left/000565	190	904	221	951	2.1
2018-02-16_1515_left/000566	180	907	214	950	2.1
2018-02-16_1515_left/000567	172	902	204	954	2.1
2018-02-16_1515_left/000568	164	903	197	952	2.1
2018-02-16_1515_left/000569	152	903	188	951	2.1
2018-02-16_1515_left/000570	143	898	180	951	2.1
2018-02-16_1515_left/000571	136	897	172	948	2.1
2018-02-16_1515_left/000572	126	895	164	951	2.1
2018-02-16_1515_left/000573	115	894	152	948	2.1
2018-02-16_1515_left/000574	106	892	143	948	2.1
2018-02-16_1515_left/000575	95	892	132	948	2.1
2018-02-16_1515_left/000576	84	887	126	947	2.1
2018-02-16_1515_left/000577	76	890	117	943	2.1
2018-02-16_1515_left/000579	55	885	97	943	2.1
2018-02-16_1515_left/000580	43	881	87	944	2.1
2018-02-16_1515_left/000581	34	879	76	940	2.1
2018-02-16_1515_left/000582	24	875	67	944	2.1
2018-02-16_1515_left/000583	10	875	59	940	2.1
2018-02-16_1515_left/000584	5	875	48	941	2.1
2018-02-16_1515_left/000585	0	878	43	942	2.1
2018-02-16_1515_left/000586	0	873	32	939	2.1
2018-02-16_1515_left/000587	0	872	23	935	2.1
2018-02-16_1515_left/000831	1009	935	1027	954	2.1
2018-02-16_1515_left/000832	1013	938	1030	954	2.1
2018-02-16_1515_left/000833	1017	937	1033	956	2.1
2018-02-16_1515_left/000834	1020	939	1036	957	2.1
2018-02-16_1515_left/000835	1023	940	1041	958	2.1
2018-02-16_1515_left/000836	1028	942	1043	959	2.1
2018-02-16_1515_left/000837	1030	942	1048	959	2.1
2018-02-16_1515_left/000838	1034	942	1051	960	2.1
2018-02-16_1515_left/000839	1037	943	1054	962	2.1
2018-02-16_1515_left/000840	1041	945	1058	963	2.1
2018-02-16_1515_left/000841	1044	946	1062	964	2.1
2018-02-16_1515_left/000842	1048	947	1065	966	2.1
2018-02-16_1515_left/000845	1051	950	1069	969	2.1
2018-02-16_1515_left/000846	1053	952	1071	969	2.1
2018-02-16_1515_left/000847	1054	952	1072	971	2.1
2018-02-16_1515_left/000848	1056	953	1073	971	2.1
2018-02-16_1515_left/000849	1058	954	1075	974	2.1
2018-02-16_1515_left/000850	1059	955	1077	975	2.1
2018-02-16_1515_left/000851	1061	957	1078	975	2.1
2018-02-16_1515_left/000852	1062	959	1079	976	2.1
2018-02-16_1515_left/000853	1062	957	1080	975	2.1
2018-02-16_1515_left/000854	1064	956	1080	973	2.1
2018-02-16_1515_left/000855	1064	954	1082	972	2.1
2018-02-16_1515_left/000856	1065	952	1082	971	2.1
2018-02-16_1515_left/000857	1065	951	1082	971	2.1
2018-02-16_1515_left/000858	1065	951	1083	969	2.1
2018-02-16_1515_left/000859	1066	949	1084	967	2.1
2018-02-16_1515_left/000860	1067	948	1086	967	2.1
2018-02-16_1515_left/000861	1068	947	1086	965	2.1
2018-02-16_1515_left/000862	1068	945	1087	964	2.1
2018-02-16_1515_left/000863	1066	947	1087	965	2.1
2018-02-16_1515_left/000864	1066	947	1086	965	2.1
2018-02-16_1515_left/000865	1065	948	1085	968	2.1
2018-02-16_1515_left/000866	1064	949	1084	968	2.1
2018-02-16_1515_left/000867	1063	951	1084	970	2.1
2018-02-16_1515_left/000868	1063	951	1085	970	2.1
2018-02-16_1515_left/000869	1060	953	1082	970	2.1
2018-02-16_1515_left/000870	1062	952	1083	972	2.1
2018-02-16_1515_left/000871	1061	953	1081	973	2.1
2018-02-16_1515_left/000872	1058	955	1082	974	2.1
2018-02-16_1515_left/000873	1058	954	1080	975	2.1
2018-02-16_1515_left/000874	1057	956	1079	976	2.1
2018-02-16_1515_left/000875	1056	958	1078	977	2.1
2018-02-16_1515_left/000876	1056	958	1079	979	2.1
2018-02-16_1515_left/000877	1055	959	1077	979	2.1
2018-02-16_1515_left/000878	1054	959	1077	980	2.1
2018-02-16_1515_left/000879	1054	959	1075	982	2.1
2018-02-16_1515_left/000880	1052	962	1075	983	2.1
2018-02-16_1515_left/000881	1052	962	1074	984	2.1
2018-02-16_1515_left/000882	1051	964	1074	984	2.1
2018-02-16_1515_left/000883	1049	965	1074	986	2.1
2018-02-16_1515_left/000884	1049	965	1073	987	2.1
2018-02-16_1515_left/000885	1049	965	1072	988	2.1
2018-02-16_1515_left/000886	1046	966	1072	989	2.1
2018-02-16_1515_left/000887	1047	967	1070	991	2.1
2018-02-16_1515_left/000888	1045	969	1071	992	2.1
2018-02-16_1515_left/000889	1045	970	1070	992	2.1
2018-02-16_1515_left/000890	1043	971	1069	994	2.1
2018-02-16_1515_left/000891	1042	970	1069	994	2.1
2018-02-16_1515_left/000892	1043	973	1067	995	2.1
2018-02-16_1515_left/000893	1040	972	1067	997	2.1
2018-02-16_1515_left/000894	1041	973	1067	998	2.1
2018-02-16_1515_left/000895	1041	973	1066	998	2.1
2018-02-16_1515_left/000896	1040	975	1065	999	2.1
2018-02-16_1515_left/000897	1039	976	1065	1002	2.1
2018-02-16_1515_left/000898	1038	978	1065	1001	2.1
2018-02-16_1515_left/000899	1036	978	1063	1002	2.1
2018-02-16_1515_left/000900	1036	980	1062	1003	2.1
2018-02-16_1515_left/000901	1035	979	1062	1004	2.1
2018-02-16_1515_left/000902	1033	980	1062	1007	2.1
2018-02-16_1515_left/000903	1032	982	1059	1007	2.1
2018-02-16_1515_left/000904	1033	981	1060	1007	2.1
2018-02-16_1515_left/000905	1031	982	1059	1010	2.1
2018-02-16_1515_left/000907	1028	985	1057	1011	2.1
2018-02-16_1515_left/000908	1028	984	1056	1012	2.1
2018-02-16_1515_left/000909	1028	987	1058	1014	2.1
2018-02-16_1515_left/000910	1028	987	1054	1015	2.1
2018-02-16_1515_left/000911	1027	988	1054	1014	2.1
2018-02-16_1515_left/000912	1027	988	1054	1016	2.1
2018-02-16_1515_left/000913	1025	989	1053	1017	2.1
2018-02-16_1515_left/000914	1023	990	1050	1019	2.1
2018-02-16_1515_left/000915	1021	990	1048	1018	2.1
2018-02-16_1515_left/000917	1017	992	1046	1019	2.1
2018-02-16_1515_left/000918	1017	992	1042	1021	2.1
2018-02-16_1515_left/000921	1011	995	1038	1023	2.1
2018-02-16_1515_left/000922	1011	996	1035	1022	2.1
2018-02-16_1515_left/000923	1009	996	1034	1024	2.1
2018-02-16_1515_left/000924	1008	998	1032	1026	2.1
2018-02-16_1515_left/000925	1006	997	1028	1025	2.1
2018-02-16_1515_left/000926	1003	1000	1027	1027	2.1
2018-02-16_1515_left/000928	1001	1001	1024	1029	2.1
2018-02-16_1515_left/000929	1000	1000	1021	1029	2.1
2018-02-16_1515_left/000930	998	1000	1020	1029	2.1
2018-02-16_1515_left/000931	997	1002	1018	1030	2.1
2018-02-16_1515_left/000932	995	1002	1016	1030	2.1
2018-02-16_1515_left/000933	995	1007	1015	1036	2.1
2018-02-16_1515_left/000934	994	1012	1014	1041	2.1
2018-02-16_1515_left/000935	992	1017	1012	1045	2.1
2018-02-16_1515_left/000936	991	1020	1009	1047	2.1
2018-02-16_1515_left/000938	990	1025	1006	1053	2.1
