frame	xtl	ytl	xbr	ybr	class
2018-03-23_1352_right/005852	2079	503	2294	696	2.4
2018-03-23_1352_right/005852	2110	714	2275	884	4.1
2018-03-23_1352_right/007769	658	867	711	920	4.2
2018-03-23_1352_right/007769	668	927	709	1066	8.22
2018-03-23_1352_right/001972	2264	625	2446	829	2.4
2018-03-23_1352_right/006399	805	863	854	912	2.1
2018-03-23_1352_right/006399	1052	902	1079	932	2.4
2018-03-23_1352_right/006399	813	921	850	955	4.1
2018-03-23_1352_right/006399	1057	936	1075	956	4.1
2018-03-23_1352_right/006399	895	677	995	780	4.2
2018-03-23_1352_right/006399	925	1043	1035	1156	4.2
2018-03-23_1352_right/006399	921	817	979	1015	8.22
2018-03-23_1352_right/001062	1139	912	1170	942	5.20
2018-03-23_1352_right/001787	1600	828	1674	896	2.4
2018-03-23_1352_right/001787	152	807	220	873	2.4
2018-03-23_1352_right/004836	1414	932	1454	971	3.1
2018-03-23_1352_right/000817	1798	770	1890	860	3.27
2018-03-23_1352_right/000817	820	856	877	914	5.19
2018-03-23_1352_right/000817	1545	851	1603	912	5.19
2018-03-23_1352_right/000817	1549	911	1602	966	5.20
2018-03-23_1352_right/002129	2332	600	2444	829	2.4
2018-03-23_1352_right/002151	2343	586	2443	819	2.4
2018-03-23_1352_right/008304	995	886	1030	921	3.27
2018-03-23_1352_right/008304	1532	840	1564	873	3.27
2018-03-23_1352_right/008304	2092	835	2117	874	5.19
2018-03-23_1352_right/006383	1058	858	1103	901	2.1
2018-03-23_1352_right/006383	1281	890	1306	918	2.4
2018-03-23_1352_right/006383	1064	908	1097	939	4.1
2018-03-23_1352_right/006383	1165	721	1243	803	4.2
2018-03-23_1352_right/006383	1191	1011	1274	1101	4.2
2018-03-23_1352_right/006383	1184	831	1231	991	8.22
2018-03-23_1352_right/001882	1966	669	2124	813	2.4
2018-03-23_1352_right/007184	1542	750	1580	783	2.4
2018-03-23_1352_right/007184	1546	788	1577	818	4.1
2018-03-23_1352_right/001970	2262	624	2446	828	2.4
2018-03-23_1352_right/000087	1452	901	1488	935	3.27
2018-03-23_1352_right/000087	1454	938	1485	969	5.20
2018-03-23_1352_right/007187	1552	736	1593	772	2.4
2018-03-23_1352_right/007187	1557	777	1588	806	4.1
2018-03-23_1352_right/003804	1570	895	1651	977	4.1
2018-03-23_1352_right/003804	565	1016	608	1069	4.2
2018-03-23_1352_right/001727	1440	854	1494	902	2.4
2018-03-23_1352_right/001727	384	839	431	888	2.4
2018-03-23_1352_right/001849	1836	741	1958	851	2.4
