frame	xtl	ytl	xbr	ybr	class
2018-02-16_1515_left/001777	1437	902	1464	933	2.4
2018-02-16_1515_left/001925	1665	919	1713	971	5.19
2018-02-16_1515_left/001925	1662	806	1715	863	2.4
2018-02-16_1515_left/001925	1598	897	1632	932	5.19
2018-02-16_1515_left/001925	440	903	462	931	5.19
2018-02-16_1515_left/001644	9	2033	16	2044	2.4
2018-02-16_1515_left/002782	1848	976	1882	1019	2.1
2018-02-16_1515_left/001834	1512	907	1538	935	5.19
2018-02-16_1515_left/002204	1205	936	1270	1008	5.19
2018-02-16_1515_left/002204	715	897	760	974	5.19
2018-02-16_1515_left/001104	1051	972	1094	1018	5.19
2018-02-16_1515_left/001104	946	900	1001	958	4.2
2018-02-16_1515_left/001928	1670	921	1721	972	5.19
2018-02-16_1515_left/001928	1670	806	1726	863	2.4
2018-02-16_1515_left/001928	1601	899	1635	935	5.19
2018-02-16_1515_left/001928	1675	869	1723	917	4.1
2018-02-16_1515_left/001928	1176	899	1202	928	5.19
2018-02-16_1515_left/003004	827	832	880	888	4.2
2018-02-16_1515_left/002002	1733	863	1789	922	5.19
2018-02-16_1515_left/002002	1089	883	1128	926	5.19
2018-02-16_1515_left/003424	583	756	682	866	2.1
2018-02-16_1515_left/002734	721	883	814	976	5.19
2018-02-16_1515_left/002734	721	784	805	878	4.2
2018-02-16_1515_left/001128	1226	865	1290	932	4.2
2018-02-16_1515_left/001128	1346	951	1390	1004	5.19
2018-02-16_1515_left/002852	2173	804	2270	894	2.4
2018-02-16_1515_left/002788	1888	967	1926	1015	2.1
2018-02-16_1515_left/001113	1037	901	1092	963	4.2
2018-02-16_1515_left/001113	1146	978	1192	1028	5.19
2018-02-16_1515_left/002094	2152	796	2274	913	5.19
2018-02-16_1515_left/002094	310	764	377	853	5.19
2018-02-16_1515_left/002094	852	862	924	933	5.19
2018-02-16_1515_left/002094	430	880	467	937	5.19
2018-02-16_1515_left/002094	1392	930	1433	973	5.19
2018-02-16_1515_left/002094	1110	920	1135	951	5.19
2018-02-16_1515_left/003069	1039	946	1059	967	2.4
2018-02-16_1515_left/003069	2414	2033	2422	2044	3.27
2018-02-16_1515_left/003421	514	763	613	873	2.1
2018-02-16_1515_left/003421	1967	911	2020	970	5.19
2018-02-16_1515_left/001924	1661	918	1711	971	5.19
2018-02-16_1515_left/001924	1660	806	1713	862	2.4
2018-02-16_1515_left/001924	443	901	466	931	5.19
2018-02-16_1515_left/001924	1597	896	1630	929	5.19
2018-02-16_1515_left/002161	1360	970	1414	1025	5.19
2018-02-16_1515_left/002161	541	821	650	929	5.19
2018-02-16_1515_left/002161	1360	908	1409	960	4.2
2018-02-16_1515_left/002161	0	858	45	939	5.19
2018-02-16_1515_left/002161	992	944	1024	1002	5.19
2018-02-16_1515_left/002756	1720	978	1753	1018	2.1
2018-02-16_1515_left/002436	1448	914	1491	962	2.1
2018-02-16_1515_left/002718	1799	867	1890	961	5.19
2018-02-16_1515_left/002718	825	904	910	985	5.19
2018-02-16_1515_left/002718	1508	1006	1525	1028	2.1
2018-02-16_1515_left/002718	1603	995	1630	1027	2.1
2018-02-16_1515_left/003413	1760	915	1806	979	5.19
2018-02-16_1515_left/003413	381	774	472	877	2.1
2018-02-16_1515_left/003488	1253	923	1327	1010	2.1
2018-02-16_1515_left/002691	1632	903	1700	972	5.19
2018-02-16_1515_left/002691	1568	989	1594	1022	2.1
2018-02-16_1515_left/002691	935	867	985	914	5.19
2018-02-16_1515_left/001922	1655	918	1709	970	5.19
2018-02-16_1515_left/001922	1657	807	1709	862	2.4
2018-02-16_1515_left/001922	1596	896	1628	930	5.19
2018-02-16_1515_left/001922	1181	896	1208	925	5.19
2018-02-16_1515_left/001926	1666	919	1717	971	5.19
2018-02-16_1515_left/001926	1664	801	1717	858	2.4
2018-02-16_1515_left/001926	1598	895	1633	929	5.19
2018-02-16_1515_left/001926	1426	886	1440	907	5.19
2018-02-16_1515_left/002509	1852	732	1971	863	2.1
2018-02-16_1515_left/001137	1543	926	1589	985	5.19
2018-02-16_1515_left/001137	1426	830	1490	909	4.2
2018-02-16_1515_left/002780	1836	970	1869	1015	2.1
2018-02-16_1515_left/002340	1427	879	1452	908	2.1
2018-02-16_1515_left/002831	1968	859	2031	925	2.4
2018-02-16_1515_left/002831	2172	966	2224	1019	2.1
2018-02-16_1515_left/002413	1436	925	1473	967	2.1
2018-02-16_1515_left/002989	1096	856	1144	906	4.2
2018-02-16_1515_left/002954	1824	905	1870	947	4.2
2018-02-16_1515_left/002325	1428	857	1453	884	2.1
2018-02-16_1515_left/003360	490	932	522	975	5.19
2018-02-16_1515_left/001908	1628	917	1675	965	5.19
2018-02-16_1515_left/001908	1587	893	1620	926	5.19
2018-02-16_1515_left/001908	1197	891	1220	915	5.19
2018-02-16_1515_left/002727	768	895	855	980	5.19
2018-02-16_1515_left/002727	770	802	847	883	4.2
2018-02-16_1515_left/002727	1619	993	1643	1029	2.1
2018-02-16_1515_left/001119	1108	895	1165	962	4.2
2018-02-16_1515_left/001119	1217	977	1265	1027	5.19
2018-02-16_1515_left/002396	1430	907	1464	945	2.1
2018-02-16_1515_left/002232	1072	950	1155	1035	5.19
2018-02-16_1515_left/002232	412	897	475	1002	5.19
2018-02-16_1515_left/002021	1786	873	1850	938	5.19
2018-02-16_1515_left/002021	1054	894	1098	941	5.19
2018-02-16_1515_left/002021	765	850	793	899	5.19
2018-02-16_1515_left/001000	710	960	751	990	5.19
2018-02-16_1515_left/003651	2180	956	2215	996	5.19
2018-02-16_1515_left/003651	190	823	248	881	4.2
2018-02-16_1515_left/001950	1756	900	1819	967	5.19
2018-02-16_1515_left/001950	1756	759	1825	823	2.4
2018-02-16_1515_left/001950	315	896	342	934	5.19
2018-02-16_1515_left/001950	1160	889	1189	918	5.19
2018-02-16_1515_left/001950	1631	885	1670	921	5.19
2018-02-16_1515_left/002205	1200	863	1263	928	4.2
2018-02-16_1515_left/002205	1201	938	1266	1008	5.19
2018-02-16_1515_left/002205	706	905	754	987	5.19
2018-02-16_1515_left/003375	849	939	884	987	5.19
2018-02-16_1515_left/002146	637	812	736	911	5.19
2018-02-16_1515_left/002146	1369	933	1418	985	5.19
2018-02-16_1515_left/002146	118	845	171	921	5.19
2018-02-16_1515_left/002146	1025	913	1054	953	5.19
2018-02-16_1515_left/002840	2045	843	2119	918	2.4
2018-02-16_1515_left/002840	2240	965	2296	1016	2.1
2018-02-16_1515_left/003403	1514	911	1559	968	5.19
2018-02-16_1515_left/002779	1827	981	1861	1022	2.1
2018-02-16_1515_left/001988	2054	857	2156	967	5.19
2018-02-16_1515_left/001988	1697	873	1747	921	5.19
2018-02-16_1515_left/001988	30	891	70	938	5.19
2018-02-16_1515_left/001988	880	853	901	888	5.19
2018-02-16_1515_left/001988	1110	885	1147	923	5.19
2018-02-16_1515_left/001988	1427	912	1454	939	5.19
2018-02-16_1515_left/002877	2113	964	2144	995	4.1
2018-02-16_1515_left/002034	1834	860	1906	932	5.19
2018-02-16_1515_left/002034	706	838	737	893	5.19
2018-02-16_1515_left/002034	1028	889	1074	938	5.19
2018-02-16_1515_left/002034	1421	929	1454	960	5.19
2018-02-16_1515_left/002034	706	901	736	945	3.1
2018-02-16_1515_left/002279	1662	902	1685	926	2.1
2018-02-16_1515_left/001124	1168	874	1231	945	4.2
2018-02-16_1515_left/002420	1430	929	1472	975	2.1
2018-02-16_1515_left/001482	1979	2035	1985	2045	3.27
2018-02-16_1515_left/003516	1976	895	2064	1008	2.1
2018-02-16_1515_left/003454	1187	697	1310	837	2.1
2018-02-16_1515_left/003454	518	946	571	1013	2.1
2018-02-16_1515_left/002382	1426	893	1458	929	2.1
2018-02-16_1515_left/002041	1864	844	1940	918	5.19
2018-02-16_1515_left/002041	1012	879	1060	931	5.19
2018-02-16_1515_left/002041	1421	920	1455	953	5.19
2018-02-16_1515_left/003502	1588	908	1675	1004	2.1
2018-02-16_1515_left/003502	2346	1006	2388	1047	5.19
2018-02-16_1515_left/001794	1455	939	1480	965	4.1
2018-02-16_1515_left/001794	1453	968	1484	992	5.19
2018-02-16_1515_left/002124	256	835	300	900	5.19
2018-02-16_1515_left/002124	734	807	818	895	5.19
2018-02-16_1515_left/002124	1372	897	1416	944	5.19
2018-02-16_1515_left/002124	257	761	297	822	5.19
2018-02-16_1515_left/002124	5	665	88	769	5.19
2018-02-16_1515_left/001016	679	944	727	978	5.19
2018-02-16_1515_left/001898	1617	919	1661	968	5.19
2018-02-16_1515_left/001898	1213	891	1236	916	5.19
2018-02-16_1515_left/001898	1590	896	1620	925	5.19
2018-02-16_1515_left/001545	512	2036	518	2044	2.1
2018-02-16_1515_left/002362	1423	904	1452	935	2.1
2018-02-16_1515_left/002460	1492	883	1547	948	2.1
2018-02-16_1515_left/002147	112	850	168	931	5.19
2018-02-16_1515_left/002147	1368	937	1419	990	5.19
2018-02-16_1515_left/002147	629	816	723	922	5.19
2018-02-16_1515_left/002147	1367	879	1413	928	5.19
2018-02-16_1515_left/003007	782	826	838	883	4.2
2018-02-16_1515_left/002353	1427	899	1454	929	2.1
2018-02-16_1515_left/001894	1612	832	1655	880	2.4
2018-02-16_1515_left/001894	1590	898	1617	929	5.19
2018-02-16_1515_left/001894	1614	927	1653	968	5.19
2018-02-16_1515_left/001894	1217	896	1242	922	5.19
2018-02-16_1515_left/001894	1617	884	1651	923	4.1
2018-02-16_1515_left/000999	710	962	749	992	5.19
2018-02-16_1515_left/002143	655	796	749	894	5.19
2018-02-16_1515_left/002143	140	827	193	903	5.19
2018-02-16_1515_left/002143	1368	913	1417	964	5.19
2018-02-16_1515_left/002156	1363	970	1415	1025	5.19
2018-02-16_1515_left/002156	36	864	99	949	5.19
2018-02-16_1515_left/002156	579	826	681	932	5.19
2018-02-16_1515_left/002156	1362	909	1409	961	4.2
2018-02-16_1515_left/002156	37	783	90	852	5.19
2018-02-16_1515_left/003471	870	942	936	1023	2.1
2018-02-16_1515_left/002386	1431	900	1461	937	2.1
2018-02-16_1515_left/001999	1721	863	1775	921	5.19
2018-02-16_1515_left/001999	1094	878	1133	922	5.19
2018-02-16_1515_left/001999	847	842	871	883	5.19
2018-02-16_1515_left/002804	1985	971	2025	1016	2.1
2018-02-16_1515_left/001099	913	900	968	961	4.2
2018-02-16_1515_left/001099	1013	975	1052	1018	5.19
2018-02-16_1515_left/002497	1697	798	1796	905	2.1
2018-02-16_1515_left/003417	1862	913	1911	971	5.19
2018-02-16_1515_left/003417	448	769	543	878	2.1
2018-02-16_1515_left/002479	1563	853	1633	934	2.1
2018-02-16_1515_left/002832	1978	858	2046	928	2.4
2018-02-16_1515_left/002832	2178	964	2238	1024	2.1
2018-02-16_1515_left/002048	1889	842	1970	921	5.19
2018-02-16_1515_left/002048	995	879	1047	938	5.19
2018-02-16_1515_left/002048	637	820	675	880	5.19
2018-02-16_1515_left/002048	1418	884	1447	914	5.19
2018-02-16_1515_left/000625	972	2029	981	2041	2.1
2018-02-16_1515_left/003439	840	723	948	844	2.1
2018-02-16_1515_left/002130	705	789	793	881	5.19
2018-02-16_1515_left/002130	218	819	263	889	5.19
2018-02-16_1515_left/002130	218	746	258	805	5.19
2018-02-16_1515_left/002130	1370	883	1413	931	5.19
2018-02-16_1515_left/002130	1366	828	1411	873	5.19
2018-02-16_1515_left/002873	2113	971	2142	999	4.2
2018-02-16_1515_left/002811	1823	885	1874	939	2.4
2018-02-16_1515_left/002811	2036	970	2083	1017	2.1
2018-02-16_1515_left/002811	1919	978	1939	1000	4.2
2018-02-16_1515_left/002036	1841	854	1915	926	5.19
2018-02-16_1515_left/002036	1025	887	1070	943	5.19
2018-02-16_1515_left/002036	1421	890	1451	918	5.19
2018-02-16_1515_left/002036	698	833	730	888	5.19
2018-02-16_1515_left/001788	1448	949	1479	976	5.19
2018-02-16_1515_left/001788	1450	922	1477	946	4.1
2018-02-16_1515_left/001788	1450	898	1478	928	2.4
2018-02-16_1515_left/001127	1216	873	1277	944	4.2
2018-02-16_1515_left/001052	870	990	907	1029	4.2
2018-02-16_1515_left/001052	928	1043	959	1077	5.19
2018-02-16_1515_left/003448	368	946	420	1008	2.1
2018-02-16_1515_left/003448	1030	704	1138	843	2.1
2018-02-16_1515_left/002492	1645	824	1738	925	2.1
2018-02-16_1515_left/001337	1	2027	6	2039	3.27
2018-02-16_1515_left/002281	1651	901	1672	927	2.1
2018-02-16_1515_left/002914	1556	2033	1564	2043	3.27
2018-02-16_1515_left/002251	889	888	983	990	5.19
2018-02-16_1515_left/002683	1597	920	1658	985	5.19
2018-02-16_1515_left/002683	956	886	1006	929	5.19
2018-02-16_1515_left/002683	1559	1000	1584	1029	2.1
2018-02-16_1515_left/002313	1457	853	1483	880	2.1
2018-02-16_1515_left/002803	1980	970	2021	1014	2.1
2018-02-16_1515_left/002959	1722	900	1765	942	4.2
2018-02-16_1515_left/001121	1127	892	1186	957	4.2
2018-02-16_1515_left/001121	1240	975	1286	1027	5.19
