frame	xtl	ytl	xbr	ybr	class
2018-03-16_1424_left/000184	151	975	170	999	4.2
2018-03-16_1424_left/000244	930	974	953	1003	4.2
2018-03-16_1424_left/000304	872	927	905	968	4.2
2018-03-16_1424_left/000544	975	860	991	878	5.19
2018-03-16_1424_left/000604	835	800	855	822	5.19
2018-03-16_1424_left/000604	1287	773	1311	799	5.19
2018-03-16_1424_left/000664	589	659	631	704	5.19
2018-03-16_1424_left/000664	1400	565	1450	619	5.19
2018-03-16_1424_left/000844	937	824	953	842	5.19
2018-03-16_1424_left/000844	1423	936	1443	958	5.19
2018-03-16_1424_left/000844	799	948	815	966	5.19
2018-03-16_1424_left/000904	1227	706	1256	738	5.19
2018-03-16_1424_left/000904	1473	910	1509	948	5.19
2018-03-16_1424_left/000904	711	744	735	771	5.19
2018-03-16_1424_left/000904	498	934	527	966	5.19
2018-03-16_1424_left/000964	233	499	293	563	5.19
2018-03-16_1424_left/000964	1845	797	1918	875	5.19
2018-03-16_1424_left/000964	1260	324	1333	402	5.19
2018-03-16_1424_left/001804	743	845	791	905	4.2
2018-03-16_1424_left/002764	1193	814	1209	832	5.19
2018-03-16_1424_left/000269	927	951	950	980	4.2
2018-03-16_1424_left/000329	755	881	803	941	4.2
2018-03-16_1424_left/000569	915	836	931	854	5.19
2018-03-16_1424_left/000629	778	758	807	790	5.19
2018-03-16_1424_left/000629	564	938	593	969	5.19
2018-03-16_1424_left/000629	1335	720	1363	752	5.19
2018-03-16_1424_left/000689	283	492	343	556	5.19
2018-03-16_1424_left/000689	1513	275	1599	368	5.19
2018-03-16_1424_left/000689	2142	812	2229	905	5.19
2018-03-16_1424_left/000809	1251	846	1267	864	5.19
2018-03-16_1424_left/000869	1443	922	1467	949	5.19
2018-03-16_1424_left/000869	1265	773	1285	795	5.19
2018-03-16_1424_left/000869	871	792	891	814	5.19
2018-03-16_1424_left/000869	708	936	728	958	5.19
2018-03-16_1424_left/000929	1559	873	1601	918	5.19
2018-03-16_1424_left/000929	578	665	612	703	5.19
2018-03-16_1424_left/000929	1231	605	1273	650	5.19
2018-03-16_1424_left/000929	304	910	338	948	5.19
2018-03-16_1424_left/001769	903	896	930	931	4.2
2018-03-16_1424_left/001829	504	771	572	857	4.2
2018-03-16_1424_left/002249	2113	776	2224	888	3.24
2018-03-16_1424_left/000255	939	957	962	986	4.2
2018-03-16_1424_left/000315	833	908	873	958	4.2
2018-03-16_1424_left/000555	951	856	967	874	5.19
2018-03-16_1424_left/000615	815	773	839	799	5.19
2018-03-16_1424_left/000615	1303	741	1332	772	5.19
2018-03-16_1424_left/000675	1437	470	1497	535	5.19
2018-03-16_1424_left/000675	485	600	526	645	5.19
2018-03-16_1424_left/000675	122	905	172	959	5.19
2018-03-16_1424_left/000855	1267	795	1287	817	5.19
2018-03-16_1424_left/000855	909	812	925	830	5.19
2018-03-16_1424_left/000855	1430	932	1450	954	5.19
2018-03-16_1424_left/000855	761	944	781	966	5.19
2018-03-16_1424_left/000915	1502	898	1538	935	5.19
2018-03-16_1424_left/000915	1225	670	1259	707	5.19
2018-03-16_1424_left/000915	657	717	686	748	5.19
2018-03-16_1424_left/000915	422	931	451	963	5.19
2018-03-16_1424_left/000975	31	392	103	470	5.19
2018-03-16_1424_left/000975	1271	108	1375	219	5.19
2018-03-16_1424_left/000975	2039	739	2143	851	5.19
2018-03-16_1424_left/001815	665	822	713	881	4.2
2018-03-16_1424_left/002235	1811	848	1888	926	3.24
2018-03-16_1424_left/000228	902	968	921	992	4.2
2018-03-16_1424_left/000288	903	938	930	972	4.2
2018-03-16_1424_left/000348	491	791	574	894	4.2
2018-03-16_1424_left/000588	864	821	884	843	5.19
2018-03-16_1424_left/000588	1269	800	1290	822	5.19
2018-03-16_1424_left/000648	702	724	731	755	5.19
2018-03-16_1424_left/000648	1365	654	1407	699	5.19
2018-03-16_1424_left/000828	1401	944	1417	962	5.19
2018-03-16_1424_left/000828	1263	830	1279	848	5.19
2018-03-16_1424_left/000888	1452	925	1476	952	5.19
2018-03-16_1424_left/000888	1241	747	1265	774	5.19
2018-03-16_1424_left/000888	602	940	626	967	5.19
2018-03-16_1424_left/000888	789	773	813	799	5.19
2018-03-16_1424_left/000948	1673	836	1734	900	5.19
