frame	xtl	ytl	xbr	ybr	class
2018-03-16_1424_left/000799	1365	962	1380	976	5.19
2018-03-16_1424_left/000799	983	871	998	886	5.19
2018-03-16_1424_left/000799	874	970	888	983	5.19
2018-03-16_1424_left/000799	1248	862	1263	879	5.19
2018-03-16_1424_left/000799	1838	839	1862	864	3.24
2018-03-16_1424_left/000672	1422	507	1480	564	5.19
2018-03-16_1424_left/000672	514	625	559	669	5.19
2018-03-16_1424_left/000672	167	921	213	967	5.19
2018-03-16_1424_left/000672	1862	878	1898	933	5.19
2018-03-16_1424_left/001461	1440	979	1454	1002	2.4
2018-03-16_1424_left/000458	1042	917	1054	929	5.19
2018-03-16_1424_left/000581	879	823	899	842	5.19
2018-03-16_1424_left/000581	1434	943	1450	963	5.19
2018-03-16_1424_left/000581	1264	802	1290	825	5.19
2018-03-16_1424_left/000842	1421	938	1440	956	5.19
2018-03-16_1424_left/000842	805	950	823	966	5.19
2018-03-16_1424_left/000842	940	828	959	845	5.19
2018-03-16_1424_left/000842	1271	812	1291	832	5.19
2018-03-16_1424_left/000842	1980	791	2008	824	3.24
2018-03-16_1424_left/000842	1394	970	1411	985	3.24
2018-03-16_1424_left/000262	1304	962	1320	979	2.4
2018-03-16_1424_left/000262	1307	982	1318	997	4.1
2018-03-16_1424_left/000860	1433	928	1456	950	5.19
2018-03-16_1424_left/000860	1262	788	1285	810	5.19
2018-03-16_1424_left/000860	743	948	763	965	5.19
2018-03-16_1424_left/000860	893	809	913	829	5.19
2018-03-16_1424_left/000860	2033	769	2065	802	3.24
2018-03-16_1424_left/000860	761	929	775	943	2.1
2018-03-16_1424_left/000860	1028	987	1039	997	2.1
2018-03-16_1424_left/001376	1462	1011	1476	1029	2.4
2018-03-16_1424_left/000859	1431	928	1455	949	5.19
2018-03-16_1424_left/000859	746	945	766	963	5.19
2018-03-16_1424_left/000859	1263	787	1285	810	5.19
2018-03-16_1424_left/000859	895	808	916	828	5.19
2018-03-16_1424_left/000859	1030	985	1041	997	2.1
2018-03-16_1424_left/000859	2030	771	2063	803	3.24
2018-03-16_1424_left/000467	1039	904	1052	915	5.19
2018-03-16_1424_left/000011	2438	860	2446	900	5.19
2018-03-16_1424_left/000666	572	654	614	695	5.19
2018-03-16_1424_left/000666	1403	556	1457	609	5.19
2018-03-16_1424_left/000666	1802	890	1828	937	5.19
2018-03-16_1424_left/000666	1631	897	1645	914	4.2
2018-03-16_1424_left/001300	1450	984	1463	1000	2.4
2018-03-16_1424_left/000861	1433	929	1457	950	5.19
2018-03-16_1424_left/000861	1261	788	1284	811	5.19
2018-03-16_1424_left/000861	889	809	911	830	5.19
