frame	xtl	ytl	xbr	ybr	class
2018-02-16_1515_left/002387	1431	902	1465	943	2.1
2018-02-16_1515_left/002746	629	853	728	948	5.19
2018-02-16_1515_left/002208	1191	945	1250	1008	5.19
2018-02-16_1515_left/003645	2011	955	2037	976	5.19
2018-02-16_1515_left/002281	302	774	440	936	5.19
2018-02-16_1515_left/002143	1371	915	1408	956	5.19
2018-02-16_1515_left/002143	140	828	186	890	5.19
2018-02-16_1515_left/003606	1557	948	1589	980	5.19
2018-02-16_1515_left/002745	639	858	733	949	5.19
2018-02-16_1515_left/001824	1480	895	1514	930	2.4
2018-02-16_1515_left/002091	1395	937	1426	965	5.19
2018-02-16_1515_left/002091	2137	806	2231	899	5.19
2018-02-16_1515_left/002708	869	913	936	975	5.19
2018-02-16_1515_left/002708	1730	886	1801	956	5.19
2018-02-16_1515_left/002681	1593	922	1652	978	5.19
2018-02-16_1515_left/002681	963	942	1012	987	5.19
2018-02-16_1515_left/002158	565	825	653	923	5.19
2018-02-16_1515_left/002158	1365	969	1408	1014	5.19
2018-02-16_1515_left/002158	18	862	72	933	5.19
2018-02-16_1515_left/001930	1177	905	1199	928	5.19
2018-02-16_1515_left/001930	1608	903	1636	930	5.19
2018-02-16_1515_left/002250	909	897	988	983	5.19
2018-02-16_1515_left/002068	1993	824	2073	899	5.19
2018-02-16_1515_left/002068	507	792	546	855	5.19
2018-02-16_1515_left/002068	935	868	987	918	5.19
2018-02-16_1515_left/002068	1407	924	1437	952	5.19
2018-02-16_1515_left/002825	1926	870	1992	931	2.4
2018-02-16_1515_left/002843	2081	834	2162	916	2.4
2018-02-16_1515_left/002032	1423	931	1449	958	5.19
2018-02-16_1515_left/002032	1830	866	1889	921	5.19
2018-02-16_1515_left/001910	1195	894	1216	913	5.19
2018-02-16_1515_left/001910	1591	897	1616	921	5.19
2018-02-16_1515_left/002689	1625	907	1683	968	5.19
2018-02-16_1515_left/002689	941	929	989	977	5.19
2018-02-16_1515_left/002171	1331	968	1376	1016	5.19
2018-02-16_1515_left/002171	418	797	523	907	5.19
2018-02-16_1515_left/002132	1370	878	1407	918	5.19
2018-02-16_1515_left/002132	697	778	768	858	5.19
2018-02-16_1515_left/002132	205	811	248	869	5.19
2018-02-16_1515_left/003575	621	963	652	989	5.19
2018-02-16_1515_left/002246	950	912	1031	997	5.19
2018-02-16_1515_left/002246	96	838	179	953	5.19
2018-02-16_1515_left/002694	930	923	981	976	5.19
2018-02-16_1515_left/003426	603	747	722	869	2.1
2018-02-16_1515_left/001846	1541	942	1572	973	5.19
2018-02-16_1515_left/002066	520	801	559	856	5.19
2018-02-16_1515_left/002195	1246	936	1292	991	5.19
2018-02-16_1515_left/002195	1239	867	1299	925	3.24
2018-02-16_1515_left/002695	923	920	976	974	5.19
2018-02-16_1515_left/001851	1542	875	1582	915	2.4
2018-02-16_1515_left/001851	1544	950	1577	980	5.19
2018-02-16_1515_left/001907	1592	895	1617	919	5.19
2018-02-16_1515_left/001964	1837	892	1910	965	5.19
2018-02-16_1515_left/001964	1658	880	1693	912	5.19
2018-02-16_1515_left/002277	419	793	554	934	5.19
2018-02-16_1515_left/002162	530	818	625	918	5.19
2018-02-16_1515_left/002162	1361	970	1401	1014	5.19
2018-02-16_1515_left/002162	1	859	30	930	5.19
2018-02-16_1515_left/002162	987	942	1018	986	5.19
2018-02-16_1515_left/002162	1361	911	1408	958	3.24
2018-02-16_1515_left/001833	1510	942	1542	974	5.19
2018-02-16_1515_left/002202	1218	931	1268	988	5.19
2018-02-16_1515_left/003472	1674	809	1805	948	4.1
2018-02-16_1515_left/002137	1373	887	1409	927	5.19
2018-02-16_1515_left/002137	178	806	223	866	5.19
2018-02-16_1515_left/002175	1315	964	1360	1014	5.19
2018-02-16_1515_left/002175	357	781	464	902	5.19
2018-02-16_1515_left/002175	1313	903	1365	951	3.24
2018-02-16_1515_left/002140	1372	902	1411	942	5.19
2018-02-16_1515_left/002247	939	911	1019	994	5.19
2018-02-16_1515_left/001894	1590	900	1616	926	5.19
2018-02-16_1515_left/001894	1612	834	1664	881	2.4
2018-02-16_1515_left/002679	1588	936	1643	991	5.19
2018-02-16_1515_left/002679	969	952	1016	995	5.19
2018-02-16_1515_left/002476	1550	864	1626	945	2.1
2018-02-16_1515_left/001887	1604	929	1643	969	5.19
2018-02-16_1515_left/001887	1602	840	1650	882	2.4
2018-02-16_1515_left/002244	974	916	1050	1004	5.19
2018-02-16_1515_left/002733	1995	834	2104	945	5.19
2018-02-16_1515_left/002011	1758	879	1804	928	5.19
2018-02-16_1515_left/001976	1929	686	2025	782	2.4
2018-02-16_1515_left/001976	132	898	167	936	5.19
2018-02-16_1515_left/003584	856	958	883	980	5.19
2018-02-16_1515_left/002170	1336	969	1378	1015	5.19
2018-02-16_1515_left/002170	432	800	538	908	5.19
2018-02-16_1515_left/002170	1329	904	1383	960	3.24
2018-02-16_1515_left/002272	548	828	668	959	5.19
2018-02-16_1515_left/002773	1592	928	1639	973	2.4
2018-02-16_1515_left/002595	1062	950	1086	974	3.27
2018-02-16_1515_left/003646	2035	956	2066	982	5.19
2018-02-16_1515_left/003610	1086	949	1107	972	5.19
2018-02-16_1515_left/002646	1485	952	1529	996	5.19
2018-02-16_1515_left/002095	2165	795	2267	893	5.19
2018-02-16_1515_left/002095	1393	931	1426	966	5.19
2018-02-16_1515_left/002095	302	762	357	840	5.19
2018-02-16_1515_left/002095	847	860	912	920	5.19
2018-02-16_1515_left/003613	1170	951	1191	973	5.19
2018-02-16_1515_left/002027	1423	932	1447	959	5.19
2018-02-16_1515_left/002354	1425	898	1457	931	2.1
2018-02-16_1515_left/003473	1706	813	1835	943	4.1
2018-02-16_1515_left/003632	1646	953	1667	972	5.19
2018-02-16_1515_left/001881	1580	846	1627	895	2.4
2018-02-16_1515_left/002722	805	906	875	973	5.19
2018-02-16_1515_left/003640	1867	954	1893	983	5.19
