frame	xtl	ytl	xbr	ybr	class
2018-03-16_1424_left/000091	970	870	1005	909	3.24
2018-03-16_1424_left/000092	987	869	1019	907	3.24
2018-03-16_1424_left/000094	1019	863	1053	902	3.24
2018-03-16_1424_left/000112	1414	890	1451	934	2.1
2018-03-16_1424_left/000114	1473	892	1508	934	2.1
2018-03-16_1424_left/000116	88	913	136	969	3.24
2018-03-16_1424_left/000116	1527	896	1563	942	2.1
2018-03-16_1424_left/000120	1649	915	1692	965	2.1
2018-03-16_1424_left/000121	1684	916	1725	966	2.1
2018-03-16_1424_left/000122	1722	911	1763	957	2.1
2018-03-16_1424_left/000123	1747	916	1787	964	2.1
2018-03-16_1424_left/000124	1792	903	1832	958	2.1
2018-03-16_1424_left/000125	1819	900	1867	955	2.1
2018-03-16_1424_left/000126	1856	906	1902	957	2.1
2018-03-16_1424_left/000127	1906	897	1942	948	2.1
2018-03-16_1424_left/000128	1941	899	1981	954	2.1
2018-03-16_1424_left/000129	1975	893	2016	941	2.1
2018-03-16_1424_left/000130	2018	895	2062	948	2.1
2018-03-16_1424_left/000131	2064	891	2105	946	2.1
2018-03-16_1424_left/000132	2098	891	2142	941	2.1
2018-03-16_1424_left/000133	2138	891	2185	944	2.1
2018-03-16_1424_left/000134	2188	886	2237	940	2.1
2018-03-16_1424_left/000135	2236	881	2281	949	2.1
2018-03-16_1424_left/000136	2284	878	2328	943	2.1
2018-03-16_1424_left/000137	2330	877	2377	939	2.1
2018-03-16_1424_left/000138	2380	874	2425	941	2.1
2018-03-16_1424_left/000245	925	974	949	998	2.1
2018-03-16_1424_left/000247	925	973	950	996	2.1
2018-03-16_1424_left/000252	930	968	954	994	2.1
2018-03-16_1424_left/000253	935	957	957	985	2.1
2018-03-16_1424_left/000254	932	957	959	987	2.1
2018-03-16_1424_left/000255	933	955	959	984	2.1
2018-03-16_1424_left/000261	929	946	954	974	2.1
2018-03-16_1424_left/000273	918	960	944	990	2.1
2018-03-16_1424_left/000276	911	956	938	990	2.1
2018-03-16_1424_left/000298	879	939	912	975	2.1
2018-03-16_1424_left/000306	861	922	900	961	2.1
2018-03-16_1424_left/000310	850	915	890	955	2.1
2018-03-16_1424_left/000311	849	913	884	950	2.1
2018-03-16_1424_left/000313	846	914	883	951	2.1
2018-03-16_1424_left/000314	840	909	882	949	2.1
2018-03-16_1424_left/000315	837	909	880	949	2.1
2018-03-16_1424_left/000316	831	908	875	949	2.1
2018-03-16_1424_left/000317	828	910	871	952	2.1
2018-03-16_1424_left/000318	823	905	867	949	2.1
2018-03-16_1424_left/000319	824	899	867	946	2.1
2018-03-16_1424_left/000323	805	903	858	948	2.1
2018-03-16_1424_left/000654	645	689	698	740	5.19
