frame	xtl	ytl	xbr	ybr	class
2018-03-23_1352_right/000000	1434	936	1460	964	5.19
2018-03-23_1352_right/000002	1434	938	1462	966	5.19
2018-03-23_1352_right/000003	1434	936	1462	964	5.19
2018-03-23_1352_right/000006	1436	938	1462	966	5.19
2018-03-23_1352_right/000007	1436	938	1462	966	5.19
2018-03-23_1352_right/000008	1436	938	1462	964	5.19
2018-03-23_1352_right/000009	1436	938	1462	966	5.19
2018-03-23_1352_right/000011	1436	938	1464	966	5.19
2018-03-23_1352_right/000013	1438	940	1462	966	5.19
2018-03-23_1352_right/000014	1438	938	1466	966	5.19
2018-03-23_1352_right/000016	1438	938	1466	966	5.19
2018-03-23_1352_right/000018	1440	938	1468	966	5.19
2018-03-23_1352_right/000020	1442	938	1470	966	5.19
2018-03-23_1352_right/000021	1442	938	1470	966	5.19
2018-03-23_1352_right/000022	1444	938	1472	966	5.19
2018-03-23_1352_right/000031	1456	940	1480	968	5.19
2018-03-23_1352_right/000034	1632	894	1650	914	5.19
2018-03-23_1352_right/000039	1460	942	1486	968	5.19
2018-03-23_1352_right/000043	1462	942	1488	968	5.19
2018-03-23_1352_right/000045	1462	940	1486	968	5.19
2018-03-23_1352_right/000047	1464	940	1490	968	5.19
2018-03-23_1352_right/000048	1460	940	1490	968	5.19
2018-03-23_1352_right/000050	1460	940	1490	968	5.19
2018-03-23_1352_right/000051	1460	940	1488	970	5.19
2018-03-23_1352_right/000052	1460	942	1488	970	5.19
2018-03-23_1352_right/000058	1458	946	1488	976	5.19
2018-03-23_1352_right/000060	1458	948	1488	978	5.19
2018-03-23_1352_right/000061	1458	948	1488	978	5.19
2018-03-23_1352_right/000067	1458	950	1486	980	5.19
2018-03-23_1352_right/000081	1458	942	1488	972	5.19
2018-03-23_1352_right/000084	1456	940	1488	970	5.19
2018-03-23_1352_right/000086	1454	938	1486	968	5.19
2018-03-23_1352_right/000087	2006	688	2028	714	5.19
2018-03-23_1352_right/000087	1454	938	1486	966	5.19
2018-03-23_1352_right/000091	1452	936	1484	968	5.19
2018-03-23_1352_right/000094	274	906	296	928	5.19
2018-03-23_1352_right/000094	1450	938	1482	968	5.19
2018-03-23_1352_right/000096	1448	936	1480	968	5.19
2018-03-23_1352_right/000097	270	906	292	924	5.19
2018-03-23_1352_right/000097	1450	936	1482	966	5.19
2018-03-23_1352_right/000097	1310	948	1330	968	5.19
2018-03-23_1352_right/000098	1448	934	1480	966	5.19
2018-03-23_1352_right/000099	1448	932	1480	966	5.19
2018-03-23_1352_right/000100	1446	934	1480	968	5.19
2018-03-23_1352_right/000101	1446	932	1478	966	5.19
2018-03-23_1352_right/000102	1446	934	1478	966	5.19
2018-03-23_1352_right/000103	1444	932	1478	966	5.19
2018-03-23_1352_right/000103	1000	970	1018	988	5.19
2018-03-23_1352_right/000104	1444	934	1476	966	5.19
2018-03-23_1352_right/000105	254	902	274	926	5.19
2018-03-23_1352_right/000105	1442	934	1476	966	5.19
2018-03-23_1352_right/000106	1442	934	1476	966	5.19
2018-03-23_1352_right/000106	1122	956	1144	982	5.19
2018-03-23_1352_right/000107	1442	934	1474	966	5.19
2018-03-23_1352_right/000109	1440	934	1472	968	5.19
2018-03-23_1352_right/000110	1440	934	1472	966	5.19
2018-03-23_1352_right/000111	1438	934	1472	968	5.19
2018-03-23_1352_right/000111	1292	946	1312	968	5.19
2018-03-23_1352_right/000112	1438	934	1472	968	5.19
2018-03-23_1352_right/000113	1436	934	1470	968	5.19
2018-03-23_1352_right/000114	982	974	998	990	5.19
2018-03-23_1352_right/000116	228	908	254	930	5.19
2018-03-23_1352_right/000116	1434	936	1470	970	5.19
2018-03-23_1352_right/000117	1434	936	1470	972	5.19
2018-03-23_1352_right/000118	1440	912	1456	928	5.19
2018-03-23_1352_right/000118	1434	936	1468	972	5.19
2018-03-23_1352_right/000119	1434	936	1468	972	5.19
2018-03-23_1352_right/000120	1434	936	1468	970	5.19
2018-03-23_1352_right/000121	220	906	248	932	5.19
2018-03-23_1352_right/000121	1434	936	1468	970	5.19
2018-03-23_1352_right/000122	1434	936	1470	972	5.19
2018-03-23_1352_right/000123	1440	904	1464	928	5.19
2018-03-23_1352_right/000123	1434	936	1470	970	5.19
2018-03-23_1352_right/000124	1434	936	1470	970	5.19
2018-03-23_1352_right/000125	1434	936	1470	972	5.19
2018-03-23_1352_right/000127	214	908	236	930	5.19
2018-03-23_1352_right/000127	1434	936	1470	972	5.19
2018-03-23_1352_right/000127	968	972	988	994	5.19
2018-03-23_1352_right/000128	214	908	240	932	5.19
2018-03-23_1352_right/000128	1434	938	1470	974	5.19
2018-03-23_1352_right/000129	1440	906	1464	930	5.19
2018-03-23_1352_right/000129	1434	938	1470	974	5.19
2018-03-23_1352_right/000131	1434	938	1470	974	5.19
2018-03-23_1352_right/000132	1434	936	1470	972	5.19
2018-03-23_1352_right/000133	1448	912	1466	930	5.19
2018-03-23_1352_right/000134	1434	938	1470	974	5.19
2018-03-23_1352_right/000135	206	908	232	934	5.19
2018-03-23_1352_right/000136	1440	902	1466	928	5.19
2018-03-23_1352_right/000136	206	910	232	932	5.19
2018-03-23_1352_right/000136	1434	936	1470	972	5.19
2018-03-23_1352_right/000138	202	910	228	936	5.19
2018-03-23_1352_right/000138	1436	938	1472	974	5.19
2018-03-23_1352_right/000139	1442	900	1468	926	5.19
2018-03-23_1352_right/000139	1436	936	1474	972	5.19
2018-03-23_1352_right/000140	1436	936	1474	972	5.19
2018-03-23_1352_right/000141	202	912	222	932	5.19
2018-03-23_1352_right/000142	1444	902	1470	928	5.19
2018-03-23_1352_right/000142	1438	936	1476	974	5.19
2018-03-23_1352_right/000143	1444	904	1470	930	5.19
2018-03-23_1352_right/000143	202	914	224	936	5.19
2018-03-23_1352_right/000143	1438	938	1476	976	5.19
2018-03-23_1352_right/000144	1446	902	1474	928	5.19
2018-03-23_1352_right/000144	202	914	226	938	5.19
2018-03-23_1352_right/000144	1442	936	1478	974	5.19
2018-03-23_1352_right/000145	1442	940	1478	978	5.19
2018-03-23_1352_right/000146	204	920	228	940	5.19
2018-03-23_1352_right/000146	1444	938	1480	976	5.19
2018-03-23_1352_right/000147	1444	938	1482	978	5.19
2018-03-23_1352_right/000147	1274	960	1296	980	5.19
2018-03-23_1352_right/000148	1450	904	1478	930	5.19
2018-03-23_1352_right/000148	1444	938	1484	976	5.19
2018-03-23_1352_right/000149	1446	938	1484	976	5.19
2018-03-23_1352_right/000150	1452	904	1480	930	5.19
2018-03-23_1352_right/000150	1446	938	1486	978	5.19
2018-03-23_1352_right/000151	1454	900	1482	926	5.19
2018-03-23_1352_right/000151	1448	936	1486	974	5.19
2018-03-23_1352_right/000152	1454	900	1482	926	5.19
2018-03-23_1352_right/000152	202	912	222	936	5.19
2018-03-23_1352_right/000152	1448	936	1488	974	5.19
2018-03-23_1352_right/000154	1456	900	1484	926	5.19
2018-03-23_1352_right/000154	1450	934	1488	974	5.19
2018-03-23_1352_right/000155	1456	900	1484	928	5.19
2018-03-23_1352_right/000155	200	918	220	940	5.19
2018-03-23_1352_right/000155	1450	936	1488	974	5.19
2018-03-23_1352_right/000156	1456	898	1484	926	5.19
2018-03-23_1352_right/000156	1450	934	1490	974	5.19
2018-03-23_1352_right/000157	1456	900	1484	928	5.19
2018-03-23_1352_right/000157	198	922	216	942	5.19
2018-03-23_1352_right/000157	1450	936	1490	976	5.19
2018-03-23_1352_right/000158	1456	900	1484	928	5.19
2018-03-23_1352_right/000158	198	924	220	944	5.19
2018-03-23_1352_right/000158	1450	936	1490	976	5.19
2018-03-23_1352_right/000159	1456	900	1486	928	5.19
2018-03-23_1352_right/000159	196	924	214	944	5.19
2018-03-23_1352_right/000159	1452	936	1492	976	5.19
2018-03-23_1352_right/000160	1458	900	1486	928	5.19
2018-03-23_1352_right/000160	1452	936	1492	976	5.19
2018-03-23_1352_right/000161	1458	898	1486	926	5.19
2018-03-23_1352_right/000161	1452	934	1492	974	5.19
2018-03-23_1352_right/000162	1460	896	1488	926	5.19
2018-03-23_1352_right/000162	1454	934	1494	976	5.19
2018-03-23_1352_right/000163	1454	932	1494	972	5.19
2018-03-23_1352_right/000163	1082	966	1110	998	5.19
2018-03-23_1352_right/000164	1454	930	1496	972	5.19
2018-03-23_1352_right/000165	1462	894	1490	922	5.19
2018-03-23_1352_right/000165	1456	930	1496	972	5.19
2018-03-23_1352_right/000166	1462	894	1490	922	5.19
2018-03-23_1352_right/000166	1456	930	1496	972	5.19
2018-03-23_1352_right/000167	1464	890	1492	920	5.19
2018-03-23_1352_right/000167	1458	930	1498	970	5.19
2018-03-23_1352_right/000168	1464	890	1494	920	5.19
2018-03-23_1352_right/000168	1458	930	1500	970	5.19
2018-03-23_1352_right/000169	1464	890	1494	920	5.19
2018-03-23_1352_right/000169	1458	930	1500	970	5.19
2018-03-23_1352_right/000170	1466	892	1496	922	5.19
2018-03-23_1352_right/000170	1460	930	1502	972	5.19
2018-03-23_1352_right/000171	1462	928	1504	970	5.19
2018-03-23_1352_right/000172	1470	896	1498	920	5.19
2018-03-23_1352_right/000172	1462	926	1504	970	5.19
2018-03-23_1352_right/000173	1470	888	1500	918	5.19
2018-03-23_1352_right/000173	1464	926	1506	970	5.19
2018-03-23_1352_right/000174	1472	888	1502	918	5.19
2018-03-23_1352_right/000174	1466	926	1508	970	5.19
2018-03-23_1352_right/000175	1466	926	1510	968	5.19
2018-03-23_1352_right/000176	1474	884	1506	914	5.19
2018-03-23_1352_right/000176	1468	922	1512	966	5.19
2018-03-23_1352_right/000177	1476	884	1506	914	5.19
2018-03-23_1352_right/000177	1470	922	1512	966	5.19
2018-03-23_1352_right/000178	1476	884	1508	914	5.19
2018-03-23_1352_right/000178	1470	922	1514	966	5.19
2018-03-23_1352_right/000179	1478	882	1508	914	5.19
2018-03-23_1352_right/000179	1472	924	1514	966	5.19
2018-03-23_1352_right/000180	1480	880	1510	912	5.19
2018-03-23_1352_right/000180	1472	920	1516	964	5.19
2018-03-23_1352_right/000181	1480	882	1512	914	5.19
2018-03-23_1352_right/000181	1474	922	1518	966	5.19
2018-03-23_1352_right/000182	1490	888	1512	912	5.19
2018-03-23_1352_right/000182	1474	920	1518	964	5.19
2018-03-23_1352_right/000183	1482	880	1514	912	5.19
2018-03-23_1352_right/000183	1476	920	1520	964	5.19
2018-03-23_1352_right/000184	1482	878	1514	910	5.19
2018-03-23_1352_right/000184	1476	918	1522	962	5.19
2018-03-23_1352_right/000185	1484	878	1516	910	5.19
2018-03-23_1352_right/000185	1478	920	1522	964	5.19
2018-03-23_1352_right/000186	1478	920	1524	964	5.19
2018-03-23_1352_right/000187	1480	918	1524	964	5.19
2018-03-23_1352_right/000188	1480	918	1526	964	5.19
2018-03-23_1352_right/000188	1074	960	1104	990	5.19
2018-03-23_1352_right/000189	1482	914	1528	960	5.19
2018-03-23_1352_right/000189	1270	944	1296	966	5.19
2018-03-23_1352_right/000190	1482	916	1528	962	5.19
2018-03-23_1352_right/000191	1484	912	1530	958	5.19
2018-03-23_1352_right/000192	1484	914	1530	958	5.19
2018-03-23_1352_right/000193	1504	870	1526	894	5.19
2018-03-23_1352_right/000193	1492	878	1518	902	5.19
2018-03-23_1352_right/000193	1486	912	1534	958	5.19
2018-03-23_1352_right/000194	1494	868	1528	902	5.19
2018-03-23_1352_right/000194	1488	914	1534	958	5.19
2018-03-23_1352_right/000196	1490	912	1536	958	5.19
2018-03-23_1352_right/000197	1506	878	1530	904	5.19
2018-03-23_1352_right/000197	1490	914	1536	960	5.19
2018-03-23_1352_right/000198	1490	914	1538	960	5.19
2018-03-23_1352_right/000199	1492	914	1540	960	5.19
2018-03-23_1352_right/000201	1512	882	1536	904	5.19
2018-03-23_1352_right/000201	1494	914	1542	960	5.19
2018-03-23_1352_right/000202	1512	882	1538	906	5.19
2018-03-23_1352_right/000203	1504	870	1530	896	5.19
2018-03-23_1352_right/000203	1496	914	1546	962	5.19
2018-03-23_1352_right/000204	1516	872	1540	896	5.19
2018-03-23_1352_right/000204	1498	916	1546	964	5.19
2018-03-23_1352_right/000205	1500	916	1548	966	5.19
2018-03-23_1352_right/000207	1500	918	1550	968	5.19
2018-03-23_1352_right/000208	1502	920	1552	970	5.19
2018-03-23_1352_right/000209	1510	884	1536	910	5.19
2018-03-23_1352_right/000209	1502	922	1552	970	5.19
2018-03-23_1352_right/000211	1506	866	1556	916	3.27
2018-03-23_1352_right/000213	1524	872	1552	898	5.19
2018-03-23_1352_right/000214	1526	880	1552	906	5.19
2018-03-23_1352_right/000215	1528	868	1554	894	5.19
2018-03-23_1352_right/000215	1508	916	1560	966	5.19
2018-03-23_1352_right/000217	1528	878	1556	906	5.19
2018-03-23_1352_right/000217	1258	950	1286	974	5.19
2018-03-23_1352_right/000219	1514	858	1566	912	3.27
2018-03-23_1352_right/000220	1256	950	1284	976	5.19
2018-03-23_1352_right/000221	1524	862	1552	892	5.19
2018-03-23_1352_right/000222	1520	854	1570	906	3.27
2018-03-23_1352_right/000224	1520	850	1572	902	3.27
2018-03-23_1352_right/000225	1528	864	1558	894	5.19
2018-03-23_1352_right/000227	1524	844	1578	898	3.27
2018-03-23_1352_right/000228	1526	844	1578	900	3.27
