frame	xtl	ytl	xbr	ybr	class
2018-02-16_1515_left/000061	1299	1124	1467	1224	3.27
2018-02-16_1515_left/000063	1499	1131	1637	1220	3.27
2018-02-16_1515_left/000072	1345	1117	1495	1214	3.27
2018-02-16_1515_left/000908	1033	978	1061	1007	5.19
2018-02-16_1515_left/000917	1020	998	1046	1024	5.19
2018-02-16_1515_left/000978	872	996	912	1037	5.19
2018-02-16_1515_left/000980	852	992	898	1034	5.19
2018-02-16_1515_left/000982	841	986	883	1023	5.19
2018-02-16_1515_left/000983	821	988	873	1026	5.19
2018-02-16_1515_left/000984	824	978	862	1009	5.19
2018-02-16_1515_left/000985	817	981	859	1019	5.19
2018-02-16_1515_left/000986	789	980	838	1013	5.19
2018-02-16_1515_left/000987	791	978	834	1021	5.19
2018-02-16_1515_left/000988	1006	1064	1032	1092	5.19
2018-02-16_1515_left/000988	770	968	820	1011	5.19
2018-02-16_1515_left/000988	989	1026	1009	1042	4.2
2018-02-16_1515_left/000990	765	970	800	1005	5.19
2018-02-16_1515_left/000991	991	1063	1016	1092	5.19
2018-02-16_1515_left/000991	757	976	789	1007	5.19
2018-02-16_1515_left/000992	736	965	788	1012	5.19
2018-02-16_1515_left/000993	735	959	786	1007	5.19
2018-02-16_1515_left/000994	726	971	768	1010	5.19
2018-02-16_1515_left/000995	724	959	771	1008	5.19
2018-02-16_1515_left/000996	973	1063	998	1091	5.19
2018-02-16_1515_left/000996	722	960	771	1004	5.19
2018-02-16_1515_left/000997	978	1071	1002	1097	5.19
2018-02-16_1515_left/000997	721	967	768	1012	5.19
2018-02-16_1515_left/000998	709	968	753	1008	5.19
2018-02-16_1515_left/000998	972	1061	1001	1090	5.19
2018-02-16_1515_left/000999	972	1066	1000	1093	5.19
2018-02-16_1515_left/000999	719	967	751	1005	5.19
2018-02-16_1515_left/001000	977	1065	1005	1090	5.19
2018-02-16_1515_left/001000	705	965	764	1008	5.19
2018-02-16_1515_left/001001	975	1058	1005	1087	5.19
2018-02-16_1515_left/001001	707	957	754	999	5.19
2018-02-16_1515_left/001002	700	960	763	1007	5.19
2018-02-16_1515_left/001003	981	1055	1006	1083	5.19
2018-02-16_1515_left/001003	707	943	754	996	5.19
2018-02-16_1515_left/001004	705	957	755	996	5.19
2018-02-16_1515_left/001004	985	1055	1010	1084	5.19
2018-02-16_1515_left/001005	988	1057	1022	1083	5.19
2018-02-16_1515_left/001005	708	952	759	998	5.19
2018-02-16_1515_left/001006	990	1057	1019	1083	5.19
2018-02-16_1515_left/001006	706	941	756	999	5.19
2018-02-16_1515_left/001007	705	950	753	994	5.19
2018-02-16_1515_left/001008	708	943	754	993	5.19
2018-02-16_1515_left/001009	709	939	753	996	5.19
2018-02-16_1515_left/001010	700	937	756	989	5.19
2018-02-16_1515_left/001011	1001	1055	1031	1084	5.19
2018-02-16_1515_left/001011	704	947	757	989	5.19
2018-02-16_1515_left/001012	693	946	744	1000	5.19
2018-02-16_1515_left/001013	694	944	746	993	5.19
2018-02-16_1515_left/001014	1001	1047	1035	1076	5.19
2018-02-16_1515_left/001014	694	938	743	984	5.19
2018-02-16_1515_left/001015	680	936	740	987	5.19
2018-02-16_1515_left/001015	1003	1051	1032	1081	5.19
2018-02-16_1515_left/001016	683	948	733	991	5.19
2018-02-16_1515_left/001016	1001	1055	1037	1087	5.19
2018-02-16_1515_left/001017	684	931	736	988	5.19
2018-02-16_1515_left/001018	1001	1053	1035	1082	5.19
2018-02-16_1515_left/001018	670	931	724	987	5.19
2018-02-16_1515_left/001019	997	1052	1026	1082	5.19
2018-02-16_1515_left/001019	661	931	714	987	5.19
2018-02-16_1515_left/001020	1003	1051	1031	1079	5.19
2018-02-16_1515_left/001020	658	927	718	984	5.19
2018-02-16_1515_left/001021	1000	1049	1027	1078	5.19
2018-02-16_1515_left/001021	658	933	713	986	5.19
2018-02-16_1515_left/001022	997	1051	1026	1078	5.19
2018-02-16_1515_left/001022	649	928	704	985	5.19
2018-02-16_1515_left/001023	651	937	687	977	5.19
2018-02-16_1515_left/001024	644	940	702	988	5.19
2018-02-16_1515_left/001025	633	933	674	979	5.19
2018-02-16_1515_left/001026	625	949	686	996	5.19
2018-02-16_1515_left/001027	618	933	675	992	5.19
2018-02-16_1515_left/001028	990	1061	1022	1094	5.19
2018-02-16_1515_left/001028	613	947	669	993	5.19
2018-02-16_1515_left/001029	986	1060	1021	1090	5.19
2018-02-16_1515_left/001029	598	941	661	995	5.19
2018-02-16_1515_left/001030	589	928	656	979	5.19
2018-02-16_1515_left/001031	987	1068	1018	1101	5.19
2018-02-16_1515_left/001031	594	948	655	993	5.19
2018-02-16_1515_left/001032	584	921	637	980	5.19
2018-02-16_1515_left/001033	573	935	636	992	5.19
2018-02-16_1515_left/001034	566	934	631	990	5.19
2018-02-16_1515_left/001035	553	921	613	983	5.19
2018-02-16_1515_left/001035	968	1054	1001	1085	5.19
2018-02-16_1515_left/001036	966	1063	1002	1093	5.19
2018-02-16_1515_left/001036	555	932	614	989	5.19
2018-02-16_1515_left/001037	538	925	596	988	5.19
2018-02-16_1515_left/001038	534	924	593	983	5.19
2018-02-16_1515_left/001039	529	925	595	991	5.19
2018-02-16_1515_left/001040	511	915	581	984	5.19
2018-02-16_1515_left/001041	961	1060	994	1084	5.19
2018-02-16_1515_left/001041	510	909	572	986	5.19
2018-02-16_1515_left/001042	491	917	568	982	5.19
2018-02-16_1515_left/001043	495	900	561	973	5.19
2018-02-16_1515_left/001043	945	1044	987	1078	5.19
2018-02-16_1515_left/001044	471	894	543	973	5.19
2018-02-16_1515_left/001044	948	1048	987	1076	5.19
2018-02-16_1515_left/001045	948	1052	991	1082	5.19
2018-02-16_1515_left/001045	468	912	532	977	5.19
2018-02-16_1515_left/001046	944	1046	986	1073	5.19
2018-02-16_1515_left/001046	454	904	526	969	5.19
2018-02-16_1515_left/001047	945	1049	978	1074	5.19
2018-02-16_1515_left/001047	440	899	504	952	5.19
2018-02-16_1515_left/001048	946	1049	977	1073	5.19
2018-02-16_1515_left/001048	441	884	502	965	5.19
2018-02-16_1515_left/001049	937	1031	981	1068	5.19
2018-02-16_1515_left/001049	423	896	500	959	5.19
2018-02-16_1515_left/001050	931	1048	972	1077	5.19
2018-02-16_1515_left/001050	412	881	479	958	5.19
2018-02-16_1515_left/001051	933	1045	975	1079	5.19
2018-02-16_1515_left/001052	927	1049	959	1076	5.19
2018-02-16_1515_left/001052	376	883	447	956	5.19
2018-02-16_1515_left/001053	921	1046	961	1073	5.19
2018-02-16_1515_left/001053	367	883	435	951	5.19
2018-02-16_1515_left/001055	332	871	410	939	5.19
2018-02-16_1515_left/001056	910	1045	945	1070	5.19
2018-02-16_1515_left/001056	323	878	406	950	5.19
2018-02-16_1515_left/001057	908	1036	943	1062	5.19
2018-02-16_1515_left/001057	296	848	377	934	5.19
2018-02-16_1515_left/001058	907	1034	943	1061	5.19
2018-02-16_1515_left/001058	296	857	364	937	5.19
2018-02-16_1515_left/001059	897	1036	931	1066	5.19
2018-02-16_1515_left/001059	272	864	336	931	5.19
2018-02-16_1515_left/001060	885	1029	930	1060	5.19
2018-02-16_1515_left/001060	248	856	334	935	5.19
2018-02-16_1515_left/001061	886	1035	924	1068	5.19
2018-02-16_1515_left/001062	882	1030	926	1059	5.19
2018-02-16_1515_left/001063	886	1030	923	1067	5.19
