frame	xtl	ytl	xbr	ybr	class
2018-02-16_1515_left/000859	1193	1954	1211	1971	2.1
2018-02-16_1515_left/001040	834	994	848	1008	2.4
2018-02-16_1515_left/001040	511	924	573	966	5.20
2018-02-16_1515_left/001040	1915	250	1931	269	3.27
2018-02-16_1515_left/001770	96	785	155	834	3.27
2018-02-16_1515_left/003120	1486	677	1654	844	2.1
2018-02-16_1515_left/003401	548	1031	561	1043	3.1
2018-02-16_1515_left/003401	538	868	605	1052	8.22
2018-02-16_1515_left/003401	534	785	608	860	4.2
2018-02-16_1515_left/003401	158	783	265	886	2.1
2018-02-16_1515_left/002148	1375	947	1414	990	5.19
2018-02-16_1515_left/002148	1025	928	1051	977	5.19
2018-02-16_1515_left/002148	107	859	162	926	5.19
2018-02-16_1515_left/002148	628	822	718	913	5.19
2018-02-16_1515_left/002970	2171	954	2188	967	2.1
2018-02-16_1515_left/002137	1376	890	1412	926	5.19
2018-02-16_1515_left/002137	183	810	228	871	5.19
2018-02-16_1515_left/002137	684	778	765	861	5.19
2018-02-16_1515_left/000461	376	460	386	468	3.1
2018-02-16_1515_left/002040	682	891	715	942	3.1
2018-02-16_1515_left/002040	1022	885	1042	910	5.19
2018-02-16_1515_left/002040	2048	875	2072	899	3.27
2018-02-16_1515_left/002040	1863	849	1927	909	5.19
2018-02-16_1515_left/002040	682	830	714	880	5.19
2018-02-16_1515_left/000956	733	930	750	944	2.1
2018-02-16_1515_left/003579	132	967	157	994	5.19
2018-02-16_1515_left/002524	2252	760	2313	791	3.27
2018-02-16_1515_left/003476	1838	597	1973	768	2.1
2018-02-16_1515_left/002133	1375	881	1411	917	5.19
2018-02-16_1515_left/002133	2139	879	2165	906	3.1
2018-02-16_1515_left/002133	205	810	249	870	5.19
2018-02-16_1515_left/002133	698	777	777	858	5.19
2018-02-16_1515_left/003369	725	941	756	981	5.19
2018-02-16_1515_left/002015	1772	880	1823	923	5.19
2018-02-16_1515_left/002015	789	858	813	895	5.19
2018-02-16_1515_left/002062	1419	897	1434	908	5.19
2018-02-16_1515_left/002062	550	874	590	928	3.1
2018-02-16_1515_left/002062	960	864	1010	898	5.19
2018-02-16_1515_left/002062	1963	818	2042	894	5.19
2018-02-16_1515_left/002062	551	795	591	856	5.19
2018-02-16_1515_left/000370	192	414	210	437	2.1
2018-02-16_1515_left/001048	2422	970	2433	978	5.19
2018-02-16_1515_left/001048	431	893	504	968	5.19
2018-02-16_1515_left/001048	1172	35	1190	58	3.1
2018-02-16_1515_left/001145	1518	241	1535	258	3.1
2018-02-16_1515_left/002927	433	482	445	494	3.1
2018-02-16_1515_left/000546	513	93	545	118	2.4
2018-02-16_1515_left/002965	736	965	753	983	3.1
2018-02-16_1515_left/002965	747	896	1171	1026	3.1
2018-02-16_1515_left/003443	259	938	332	1010	2.1
2018-02-16_1515_left/003443	1386	812	1471	1090	8.22
2018-02-16_1515_left/003443	987	811	1015	837	2.4
2018-02-16_1515_left/003443	933	714	1045	838	2.1
2018-02-16_1515_left/003443	1379	695	1485	808	4.2
2018-02-16_1515_left/003448	364	945	434	1013	2.1
2018-02-16_1515_left/003448	1516	804	1608	1097	8.22
2018-02-16_1515_left/003448	1042	704	1137	781	2.1
2018-02-16_1515_left/003448	1508	678	1624	797	4.2
2018-02-16_1515_left/000054	1303	167	1315	178	2.4
2018-02-16_1515_left/002337	1093	220	1104	229	5.19
2018-02-16_1515_left/001627	1325	0	1345	12	2.4
2018-02-16_1515_left/002653	1022	900	1051	926	3.27
2018-02-16_1515_left/003427	122	1964	143	1978	2.1
2018-02-16_1515_left/003427	1045	1026	1118	1069	2.1
2018-02-16_1515_left/003427	2162	907	2218	969	5.19
2018-02-16_1515_left/003427	1043	838	1116	949	2.1
2018-02-16_1515_left/003427	636	753	750	870	2.1
2018-02-16_1515_left/002787	1879	977	1927	1021	2.1
2018-02-16_1515_left/001068	242	1474	259	1487	2.1
2018-02-16_1515_left/001068	120	812	220	914	5.19
2018-02-16_1515_left/002708	1732	887	1802	930	5.20
2018-02-16_1515_left/000204	1367	1965	1382	1986	5.19
2018-02-16_1515_left/003037	2064	924	2079	936	3.27
2018-02-16_1515_left/003037	481	876	543	1014	3.1
2018-02-16_1515_left/003271	2209	902	2226	917	3.1
2018-02-16_1515_left/000103	204	907	216	918	3.27
2018-02-16_1515_left/002876	2132	976	2144	986	5.19
2018-02-16_1515_left/002191	1260	943	1314	1000	5.19
2018-02-16_1515_left/002191	813	910	850	974	5.19
2018-02-16_1515_left/002191	70	700	212	856	5.19
2018-02-16_1515_left/001781	1443	895	1473	926	2.4
2018-02-16_1515_left/000947	343	383	358	395	3.27
2018-02-16_1515_left/001058	912	1036	941	1058	5.19
2018-02-16_1515_left/001058	280	853	367	940	5.19
2018-02-16_1515_left/003091	796	758	899	875	2.1
2018-02-16_1515_left/003327	223	929	249	960	2.4
2018-02-16_1515_left/002009	820	910	832	918	3.1
2018-02-16_1515_left/002009	1756	880	1809	927	5.19
2018-02-16_1515_left/002928	1036	1943	1046	1951	3.1
2018-02-16_1515_left/002170	2113	979	2129	996	2.4
2018-02-16_1515_left/002170	1340	971	1383	1020	5.19
2018-02-16_1515_left/002170	1355	945	1383	957	5.19
2018-02-16_1515_left/002170	439	799	550	913	5.19
2018-02-16_1515_left/002047	648	921	681	947	3.1
2018-02-16_1515_left/002047	654	898	667	906	3.1
2018-02-16_1515_left/002047	1894	849	1960	883	5.20
2018-02-16_1515_left/002047	648	830	679	875	5.19
2018-02-16_1515_left/002986	291	471	302	482	3.1
2018-02-16_1515_left/000928	381	437	397	455	2.4
2018-02-16_1515_left/002171	1333	969	1385	1020	5.19
2018-02-16_1515_left/002171	941	943	975	999	5.19
2018-02-16_1515_left/002171	425	796	536	913	5.19
2018-02-16_1515_left/001995	1107	891	1140	922	5.19
2018-02-16_1515_left/001995	1719	876	1765	918	5.19
2018-02-16_1515_left/001995	2158	845	2276	966	5.19
2018-02-16_1515_left/001995	2159	718	2282	840	4.1
2018-02-16_1515_left/002082	494	893	523	939	5.19
2018-02-16_1515_left/002082	407	866	464	946	3.1
2018-02-16_1515_left/002082	2073	819	2156	909	5.19
2018-02-16_1515_left/002082	2182	260	2201	287	2.4
2018-02-16_1515_left/003649	2126	958	2154	991	5.19
2018-02-16_1515_left/003649	156	896	212	1017	3.1
2018-02-16_1515_left/003649	151	828	219	890	4.2
2018-02-16_1515_left/001839	1532	956	1544	966	5.19
2018-02-16_1515_left/001067	131	804	228	904	5.19
2018-02-16_1515_left/002035	708	899	737	948	3.1
2018-02-16_1515_left/002035	708	841	736	890	5.19
2018-02-16_1515_left/002274	2184	963	2195	973	2.4
2018-02-16_1515_left/002124	1380	900	1414	934	5.19
2018-02-16_1515_left/002124	1376	849	1416	890	5.20
2018-02-16_1515_left/002124	738	808	811	884	5.19
2018-02-16_1515_left/002124	0	790	96	900	3.1
2018-02-16_1515_left/002124	0	669	91	774	5.19
2018-02-16_1515_left/003040	490	877	555	1018	3.1
2018-02-16_1515_left/003085	651	760	759	881	2.1
2018-02-16_1515_left/002061	560	909	593	923	3.1
2018-02-16_1515_left/002061	1000	896	1010	904	4.2
2018-02-16_1515_left/002061	964	860	1014	894	5.19
2018-02-16_1515_left/002061	1960	815	2037	890	5.19
2018-02-16_1515_left/002061	557	791	597	852	5.19
2018-02-16_1515_left/001779	1560	955	1577	972	2.4
2018-02-16_1515_left/001779	736	410	759	434	2.1
2018-02-16_1515_left/002067	116	1940	140	1963	3.24
2018-02-16_1515_left/002067	517	875	562	937	3.1
