frame	xtl	ytl	xbr	ybr	class
2018-03-23_1352_right/003249	1498	746	1579	833	5.20
2018-03-23_1352_right/003576	1949	811	1983	863	2.4
2018-03-23_1352_right/003576	1045	897	1088	940	3.1
2018-03-23_1352_right/004356	267	833	336	956	3.1
2018-03-23_1352_right/007200	1596	706	1648	752	2.4
2018-03-23_1352_right/000917	2165	724	2337	874	5.20
2018-03-23_1352_right/000917	2144	533	2343	681	5.19
2018-03-23_1352_right/003496	2143	892	2179	974	5.19
2018-03-23_1352_right/003496	2142	926	2176	992	5.19
2018-03-23_1352_right/000807	1524	899	1587	967	5.20
2018-03-23_1352_right/000807	844	853	894	914	5.19
2018-03-23_1352_right/000807	1529	845	1582	921	5.20
2018-03-23_1352_right/000807	1760	766	1830	871	3.27
2018-03-23_1352_right/008128	1767	715	1819	772	2.1
2018-03-23_1352_right/008368	1001	862	1030	894	2.4
2018-03-23_1352_right/004722	239	809	363	919	3.27
2018-03-23_1352_right/002348	200	876	235	930	5.20
2018-03-23_1352_right/002052	2250	637	2447	825	2.4
2018-03-23_1352_right/007248	1975	535	2079	618	2.4
2018-03-23_1352_right/007248	1983	623	2073	699	4.1
2018-03-23_1352_right/001561	2027	865	2064	903	2.4
2018-03-23_1352_right/003316	2265	242	2424	525	5.20
2018-03-23_1352_right/007864	1749	861	1778	899	5.20
2018-03-23_1352_right/002120	2311	579	2444	852	2.4
2018-03-23_1352_right/001242	1466	702	1602	818	5.20
2018-03-23_1352_right/001799	39	808	134	871	2.4
2018-03-23_1352_right/001799	1615	807	1701	879	2.4
2018-03-23_1352_right/007174	1522	782	1554	814	2.4
2018-03-23_1352_right/001219	1380	776	1469	865	5.20
2018-03-23_1352_right/003538	2370	874	2425	958	5.19
2018-03-23_1352_right/003538	2363	928	2423	1017	5.20
2018-03-23_1352_right/003538	2011	885	2047	978	5.19
2018-03-23_1352_right/002006	2250	630	2445	819	2.4
2018-03-23_1352_right/002364	8	874	53	930	5.20
2018-03-23_1352_right/002364	701	873	730	927	5.20
2018-03-23_1352_right/001173	1298	867	1349	920	5.20
2018-03-23_1352_right/001142	1238	866	1279	913	5.20
2018-03-23_1352_right/001441	2279	676	2344	778	4.1
2018-03-23_1352_right/002378	940	864	977	923	5.20
2018-03-23_1352_right/002378	228	871	278	931	5.20
2018-03-23_1352_right/005479	548	963	622	1034	3.24
2018-03-23_1352_right/003680	689	614	808	748	5.19
2018-03-23_1352_right/003680	703	744	806	868	5.20
2018-03-23_1352_right/001274	1866	376	2083	574	5.20
2018-03-23_1352_right/004644	657	885	708	933	5.19
2018-03-23_1352_right/002162	2339	562	2456	819	2.4
2018-03-23_1352_right/000667	731	808	833	914	5.19
2018-03-23_1352_right/000667	736	910	822	1007	5.20
2018-03-23_1352_right/001810	1644	805	1735	897	2.4
2018-03-23_1352_right/001190	1327	841	1381	900	5.20
2018-03-23_1352_right/002170	2345	545	2455	825	2.4
2018-03-23_1352_right/002014	2248	631	2447	819	2.4
2018-03-23_1352_right/004205	1650	854	1704	916	4.2
2018-03-23_1352_right/005992	1633	837	1679	913	5.19
2018-03-23_1352_right/000608	878	876	929	953	5.20
2018-03-23_1352_right/000608	877	931	931	994	5.20
2018-03-23_1352_right/000330	2071	781	2234	902	5.20
2018-03-23_1352_right/000330	2072	622	2222	764	3.27
2018-03-23_1352_right/003201	1369	859	1424	917	5.20
2018-03-23_1352_right/006392	1030	692	1125	772	4.2
2018-03-23_1352_right/006392	1063	1012	1161	1122	4.2
2018-03-23_1352_right/006392	1060	787	1101	1003	8.22
2018-03-23_1352_right/004353	381	839	450	960	3.1
2018-03-23_1352_right/001854	1845	696	2006	827	2.4
2018-03-23_1352_right/000650	811	842	896	923	5.19
2018-03-23_1352_right/000650	818	924	893	1003	5.20
2018-03-23_1352_right/001815	1654	796	1753	891	2.4
2018-03-23_1352_right/006438	18	867	48	909	2.4
2018-03-23_1352_right/001959	2230	605	2434	802	2.4
2018-03-23_1352_right/003744	2104	908	2163	970	4.1
2018-03-23_1352_right/008531	999	861	1030	895	2.4
2018-03-23_1352_right/003227	1421	813	1479	884	5.20
2018-03-23_1352_right/006042	1443	852	1492	905	3.24
2018-03-23_1352_right/005758	2295	775	2359	837	2.4
2018-03-23_1352_right/006400	904	1043	1016	1156	4.2
2018-03-23_1352_right/006400	876	678	980	763	4.2
2018-03-23_1352_right/006400	909	780	947	1041	8.22
2018-03-23_1352_right/005798	2087	734	2178	812	2.4
2018-03-23_1352_right/005798	2099	818	2168	899	4.1
2018-03-23_1352_right/000691	539	746	656	883	5.19
2018-03-23_1352_right/000691	519	890	674	1006	5.20
2018-03-23_1352_right/000691	1834	741	1920	842	5.19
2018-03-23_1352_right/000754	1613	823	1652	883	3.27
2018-03-23_1352_right/000313	1870	701	2011	808	3.27
2018-03-23_1352_right/000313	1871	816	2007	927	5.20
2018-03-23_1352_right/007398	228	792	265	869	3.1
2018-03-23_1352_right/004245	1758	770	1844	866	4.1
2018-03-23_1352_right/002115	2312	578	2446	855	2.4
2018-03-23_1352_right/002001	2249	630	2445	818	2.4
2018-03-23_1352_right/004924	1870	888	1963	975	3.1
2018-03-23_1352_right/008331	1000	864	1030	896	2.4
2018-03-23_1352_right/006094	1664	681	1814	803	3.24
2018-03-23_1352_right/004363	0	812	15	937	3.24
2018-03-23_1352_right/004363	954	918	1046	984	3.24
2018-03-23_1352_right/000598	894	886	948	961	5.20
2018-03-23_1352_right/000598	894	929	943	990	5.20
2018-03-23_1352_right/002157	2334	568	2456	818	2.4
2018-03-23_1352_right/000564	929	923	963	1005	5.20
2018-03-23_1352_right/007391	437	809	476	868	3.1
2018-03-23_1352_right/000854	1665	875	1731	949	5.20
2018-03-23_1352_right/000854	1659	792	1735	869	5.19
2018-03-23_1352_right/000854	714	800	787	874	5.19
2018-03-23_1352_right/000854	2163	630	2298	767	3.27
2018-03-23_1352_right/001766	1561	862	1626	923	2.4
2018-03-23_1352_right/003193	1340	870	1381	928	5.20
2018-03-23_1352_right/002094	2305	582	2443	807	2.4
2018-03-23_1352_right/007266	545	972	612	1046	2.1
2018-03-23_1352_right/007266	2272	509	2404	609	4.1
2018-03-23_1352_right/007266	2255	379	2417	503	2.4
2018-03-23_1352_right/001431	2138	703	2200	824	4.1
2018-03-23_1352_right/007194	1582	718	1625	762	2.4
2018-03-23_1352_right/002477	1645	554	1766	717	5.20
2018-03-23_1352_right/008145	1897	652	1952	730	3.24
2018-03-23_1352_right/004656	631	859	681	920	5.19
2018-03-23_1352_right/001269	1763	428	1948	685	5.20
2018-03-23_1352_right/001492	568	854	619	905	3.1
2018-03-23_1352_right/003801	1563	893	1651	984	4.1
2018-03-23_1352_right/002129	2311	576	2447	855	2.4
2018-03-23_1352_right/008126	1760	727	1801	784	3.24
2018-03-23_1352_right/003548	1989	882	2023	951	5.19
2018-03-23_1352_right/003548	1996	862	2026	933	5.19
2018-03-23_1352_right/003548	2382	929	2447	1012	5.20
2018-03-23_1352_right/003548	2385	863	2447	932	5.19
2018-03-23_1352_right/005799	2101	814	2171	891	4.1
2018-03-23_1352_right/005799	2086	732	2180	806	2.4
2018-03-23_1352_right/000846	1628	882	1690	954	5.20
2018-03-23_1352_right/000846	1625	796	1695	882	5.19
2018-03-23_1352_right/000846	744	810	815	884	5.19
2018-03-23_1352_right/000846	2033	667	2166	790	3.27
2018-03-23_1352_right/004827	1400	927	1436	978	3.24
2018-03-23_1352_right/003231	1436	802	1494	867	5.20
2018-03-23_1352_right/003270	1592	693	1711	816	5.20
2018-03-23_1352_right/004336	851	881	899	968	3.1
2018-03-23_1352_right/004336	1534	943	1595	1007	3.24
2018-03-23_1352_right/003289	1737	608	1904	737	5.20
2018-03-23_1352_right/006372	1268	767	1339	839	4.2
2018-03-23_1352_right/006372	1282	859	1317	999	8.22
2018-03-23_1352_right/005838	2026	769	2157	896	4.1
2018-03-23_1352_right/005838	1986	615	2170	777	2.4
2018-03-23_1352_right/001930	2083	617	2371	822	2.4
2018-03-23_1352_right/001918	2104	632	2311	809	2.4
2018-03-23_1352_right/003299	1849	515	2069	680	5.20
2018-03-23_1352_right/000824	1560	843	1621	924	5.20
2018-03-23_1352_right/000824	1560	891	1617	966	5.20
2018-03-23_1352_right/000824	1834	750	1937	855	3.27
2018-03-23_1352_right/000824	812	845	867	910	5.19
2018-03-23_1352_right/000825	1563	842	1622	925	5.20
2018-03-23_1352_right/000825	809	843	866	910	5.19
2018-03-23_1352_right/000825	1564	889	1619	969	5.20
2018-03-23_1352_right/000825	1842	754	1944	850	3.27
2018-03-23_1352_right/006024	1387	832	1425	876	5.20
2018-03-23_1352_right/007272	2393	464	2446	568	4.1
2018-03-23_1352_right/007272	2377	312	2444	447	2.4
2018-03-23_1352_right/000241	1561	813	1618	888	3.24
2018-03-23_1352_right/000241	1563	885	1618	954	5.20
2018-03-23_1352_right/005429	500	965	575	1025	3.24
2018-03-23_1352_right/008306	1001	863	1031	895	2.4
2018-03-23_1352_right/006104	1805	579	2020	751	3.24
2018-03-23_1352_right/005840	2026	766	2158	896	4.1
2018-03-23_1352_right/005840	1990	597	2175	776	2.4
2018-03-23_1352_right/001496	568	854	619	903	3.1
2018-03-23_1352_right/006346	1296	818	1350	874	4.2
2018-03-23_1352_right/006346	1304	890	1336	993	8.22
2018-03-23_1352_right/000834	1586	828	1649	893	5.19
2018-03-23_1352_right/000834	1582	895	1649	964	5.20
2018-03-23_1352_right/000834	789	833	856	895	5.19
2018-03-23_1352_right/000834	1916	728	2024	822	3.27
2018-03-23_1352_right/003823	1635	874	1735	972	4.1
2018-03-23_1352_right/003765	1734	895	1797	961	4.1
2018-03-23_1352_right/001848	1825	754	1965	877	2.4
2018-03-23_1352_right/007239	1880	655	1953	722	4.1
2018-03-23_1352_right/007239	1861	579	1966	646	2.4
2018-03-23_1352_right/005845	2053	742	2188	886	4.1
2018-03-23_1352_right/005845	1995	551	2223	769	2.4
2018-03-23_1352_right/004705	429	854	524	940	3.27
2018-03-23_1352_right/002448	265	764	352	854	5.20
2018-03-23_1352_right/002448	1451	719	1515	829	5.20
2018-03-23_1352_right/007211	1656	695	1702	737	2.4
2018-03-23_1352_right/008529	926	679	981	765	2.1
2018-03-23_1352_right/002504	2242	-104	2416	526	5.20
2018-03-23_1352_right/000876	1771	739	1881	853	5.19
