frame	xtl	ytl	xbr	ybr	class
2018-02-16_1515_left/002504	1768	766	1891	874	2.1
2018-02-16_1515_left/003432	715	736	829	835	2.1
2018-02-16_1515_left/003432	2304	885	2367	950	5.19
2018-02-16_1515_left/002735	2027	808	2148	924	5.19
2018-02-16_1515_left/002735	711	878	802	960	5.19
2018-02-16_1515_left/002147	107	845	162	910	5.19
2018-02-16_1515_left/002147	631	810	715	898	5.19
2018-02-16_1515_left/002675	1561	939	1628	993	5.19
2018-02-16_1515_left/001050	392	875	478	951	5.19
2018-02-16_1515_left/002100	256	743	317	821	5.19
2018-02-16_1515_left/002100	2198	774	2305	878	5.19
2018-02-16_1515_left/002100	832	847	900	911	5.19
2018-02-16_1515_left/002770	218	723	409	889	5.19
2018-02-16_1515_left/002112	142	701	216	790	5.19
2018-02-16_1515_left/002112	2294	737	2427	852	5.19
2018-02-16_1515_left/002112	785	821	855	892	5.19
2018-02-16_1515_left/002254	855	878	944	970	5.19
2018-02-16_1515_left/002180	278	755	398	874	5.19
2018-02-16_1515_left/001990	2077	846	2182	951	5.19
2018-02-16_1515_left/003430	677	745	798	842	2.1
2018-02-16_1515_left/003430	2239	893	2300	955	5.19
2018-02-16_1515_left/002209	673	904	725	975	5.19
2018-02-16_1515_left/002209	1185	941	1252	1000	5.19
2018-02-16_1515_left/002195	0	671	123	824	5.19
2018-02-16_1515_left/002195	1243	930	1302	985	5.19
2018-02-16_1515_left/001973	1894	688	1999	777	2.4
2018-02-16_1515_left/001973	1893	873	1985	955	5.19
2018-02-16_1515_left/002692	1633	896	1698	958	5.19
2018-02-16_1515_left/002104	223	726	284	810	5.19
2018-02-16_1515_left/002104	2228	762	2343	870	5.19
2018-02-16_1515_left/002104	816	836	886	904	5.19
2018-02-16_1515_left/002104	371	860	419	914	5.19
2018-02-16_1515_left/002188	127	711	265	855	5.19
2018-02-16_1515_left/002765	349	753	517	902	5.19
2018-02-16_1515_left/002107	192	716	258	801	5.19
2018-02-16_1515_left/002107	2254	752	2373	861	5.19
2018-02-16_1515_left/002107	805	829	877	900	5.19
2018-02-16_1515_left/002274	503	806	630	941	5.19
2018-02-16_1515_left/002109	171	711	240	798	5.19
2018-02-16_1515_left/002109	2266	740	2393	857	5.19
2018-02-16_1515_left/002109	798	827	870	897	5.19
2018-02-16_1515_left/003460	1316	680	1466	816	2.1
2018-02-16_1515_left/003460	627	946	706	1013	2.1
2018-02-16_1515_left/003404	216	780	329	871	2.1
2018-02-16_1515_left/003111	1284	718	1396	829	2.1
2018-02-16_1515_left/002263	704	709	828	818	5.19
2018-02-16_1515_left/002263	715	842	822	950	5.19
2018-02-16_1515_left/002687	1612	906	1674	966	5.19
2018-02-16_1515_left/002712	1753	867	1833	945	5.19
2018-02-16_1515_left/002712	851	898	925	966	5.19
2018-02-16_1515_left/001992	2107	840	2211	945	5.19
2018-02-16_1515_left/003454	1169	699	1319	825	2.1
2018-02-16_1515_left/003423	560	760	673	860	2.1
2018-02-16_1515_left/003423	2037	903	2095	966	5.19
2018-02-16_1515_left/002500	1724	787	1836	888	2.1
2018-02-16_1515_left/001057	296	851	375	927	5.19
2018-02-16_1515_left/001993	1698	864	1762	912	5.19
2018-02-16_1515_left/001993	2117	842	2230	951	5.19
2018-02-16_1515_left/003410	325	778	433	867	2.1
2018-02-16_1515_left/003410	1676	909	1729	966	5.19
2018-02-16_1515_left/002487	1602	844	1705	927	2.1
2018-02-16_1515_left/003422	540	761	655	863	2.1
2018-02-16_1515_left/003422	2005	900	2065	964	5.19
2018-02-16_1515_left/002214	638	905	693	978	5.19
2018-02-16_1515_left/002748	2384	718	2446	886	5.19
2018-02-16_1515_left/002748	607	839	722	940	5.19
2018-02-16_1515_left/002122	25	668	108	767	5.19
2018-02-16_1515_left/002122	2405	693	2446	822	5.19
2018-02-16_1515_left/002122	265	835	314	889	5.19
