class	frame	xtl	ytl	xbr	ybr
5.19	2018-02-16_1515_left/000906	1033	977	1060	1001
5.19	2018-02-16_1515_left/000986	792	976	833	1015
5.19	2018-02-16_1515_left/000989	766	975	811	1015
5.19	2018-02-16_1515_left/000993	733	966	779	1001
5.19	2018-02-16_1515_left/001000	706	958	751	1002
5.19	2018-02-16_1515_left/001001	701	958	746	1003
5.19	2018-02-16_1515_left/001006	700	953	743	992
5.19	2018-02-16_1515_left/001011	698	947	744	993
5.19	2018-02-16_1515_left/001012	696	939	740	987
5.19	2018-02-16_1515_left/001014	682	938	735	987
5.19	2018-02-16_1515_left/001017	670	935	728	990
5.19	2018-02-16_1515_left/001024	636	940	691	993
3.27	2018-02-16_1515_left/001024	952	1021	983	1045
3.27	2018-02-16_1515_left/001026	940	1016	978	1051
5.19	2018-02-16_1515_left/001030	593	925	647	980
3.27	2018-02-16_1515_left/001030	931	1006	966	1036
5.19	2018-02-16_1515_left/001032	578	929	636	977
5.19	2018-02-16_1515_left/001033	573	937	629	985
5.19	2018-02-16_1515_left/001034	568	934	626	987
5.19	2018-02-16_1515_left/001036	543	934	608	990
5.19	2018-02-16_1515_left/001037	535	925	600	983
5.19	2018-02-16_1515_left/001038	527	922	592	978
5.19	2018-02-16_1515_left/001040	492	915	548	969
5.19	2018-02-16_1515_left/001041	506	919	564	975
3.27	2018-02-16_1515_left/001041	905	1010	945	1038
5.19	2018-02-16_1515_left/001042	497	914	559	976
5.19	2018-02-16_1515_left/001043	480	906	552	965
5.19	2018-02-16_1515_left/001045	461	905	526	967
5.19	2018-02-16_1515_left/001046	443	894	519	959
5.19	2018-02-16_1515_left/001047	435	893	505	962
5.19	2018-02-16_1515_left/001048	425	897	498	957
5.19	2018-02-16_1515_left/001049	416	886	485	953
5.19	2018-02-16_1515_left/001065	885	1023	911	1049
5.19	2018-02-16_1515_left/001072	888	991	929	1024
5.19	2018-02-16_1515_left/001087	923	982	959	1017
5.19	2018-02-16_1515_left/001089	936	975	980	1014
5.19	2018-02-16_1515_left/001090	952	986	979	1015
5.19	2018-02-16_1515_left/001091	950	977	996	1016
5.19	2018-02-16_1515_left/001092	963	977	1008	1013
5.19	2018-02-16_1515_left/001097	997	977	1042	1015
5.19	2018-02-16_1515_left/001098	1004	984	1040	1018
5.19	2018-02-16_1515_left/001099	1005	967	1051	1014
5.19	2018-02-16_1515_left/001109	1098	980	1142	1024
5.19	2018-02-16_1515_left/001112	1129	968	1182	1025
5.19	2018-02-16_1515_left/001113	1143	980	1195	1022
5.19	2018-02-16_1515_left/001115	1167	986	1220	1030
5.19	2018-02-16_1515_left/001116	1181	983	1227	1024
5.19	2018-02-16_1515_left/001119	1211	977	1266	1026
5.19	2018-02-16_1515_left/001120	1227	978	1278	1025
5.19	2018-02-16_1515_left/001123	1260	965	1321	1018
5.19	2018-02-16_1515_left/001138	1578	915	1635	967
5.19	2018-02-16_1515_left/001140	1628	911	1705	973
5.19	2018-02-16_1515_left/001143	1744	915	1806	971
3.27	2018-02-16_1515_left/001534	1665	1007	1690	1030
3.27	2018-02-16_1515_left/001552	1570	984	1599	1015
3.27	2018-02-16_1515_left/001558	1544	988	1574	1019
3.27	2018-02-16_1515_left/001562	1512	980	1545	1010
3.27	2018-02-16_1515_left/001564	1510	979	1546	1011
3.27	2018-02-16_1515_left/001565	1503	971	1538	1004
3.27	2018-02-16_1515_left/001574	1447	984	1478	1014
3.27	2018-02-16_1515_left/001601	1285	970	1317	1002
5.19	2018-02-16_1515_left/001856	1550	945	1582	976
5.19	2018-02-16_1515_left/001875	1569	936	1613	968
5.19	2018-02-16_1515_left/001883	1590	933	1630	970
5.19	2018-02-16_1515_left/001885	1596	925	1645	964
5.19	2018-02-16_1515_left/001887	1603	931	1640	966
5.19	2018-02-16_1515_left/001889	1605	929	1646	966
5.19	2018-02-16_1515_left/001890	1614	920	1654	961
5.19	2018-02-16_1515_left/001891	1619	930	1646	957
5.19	2018-02-16_1515_left/001893	1611	930	1650	965
5.19	2018-02-16_1515_left/001897	1610	928	1662	965
3.27	2018-02-16_1515_left/001898	1617	914	1670	962
5.19	2018-02-16_1515_left/001899	1619	924	1663	962
5.19	2018-02-16_1515_left/001901	1620	922	1666	960
5.19	2018-02-16_1515_left/001905	1630	925	1673	959
5.19	2018-02-16_1515_left/001907	1625	920	1669	959
4.1	2018-02-16_1515_left/001907	1628	872	1676	910
5.19	2018-02-16_1515_left/001908	1627	926	1671	959
5.19	2018-02-16_1515_left/001909	1630	913	1679	959
5.19	2018-02-16_1515_left/001913	1633	925	1673	961
5.19	2018-02-16_1515_left/001915	1640	924	1680	962
5.19	2018-02-16_1515_left/001916	1632	925	1688	964
5.19	2018-02-16_1515_left/001918	1648	929	1690	964
5.19	2018-02-16_1515_left/001920	1651	926	1694	965
5.19	2018-02-16_1515_left/001924	1663	915	1713	968
5.19	2018-02-16_1515_left/001925	1666	926	1713	966
5.19	2018-02-16_1515_left/001930	1686	928	1737	972
5.19	2018-02-16_1515_left/001934	1690	924	1744	969
