frame	xtl	ytl	xbr	ybr	class
2018-03-16_1424_left/000113	17.5	887.0	78.5	952.5	3.24
2018-03-16_1424_left/000113	17.5	887.0	78.5	952.5	3.24
2018-03-16_1424_left/000114	43.5	895.0	102.5	957.5	3.24
2018-03-16_1424_left/000114	43.5	895.0	102.5	957.5	3.24
2018-03-16_1424_left/000115	60.5	896.0	122.0	959.0	3.24
2018-03-16_1424_left/000115	60.5	896.0	122.0	959.0	3.24
2018-03-16_1424_left/000116	83.0	902.0	143.5	966.5	3.24
2018-03-16_1424_left/000116	83.0	902.0	143.5	966.5	3.24
2018-03-16_1424_left/000117	103.5	903.0	167.0	970.0	3.24
2018-03-16_1424_left/000117	105.0	904.0	166.0	968.0	3.24
2018-03-16_1424_left/000117	1566.0	710.0	1632.0	784.0	2.4
2018-03-16_1424_left/000117	103.5	903.0	167.0	970.0	3.24
2018-03-16_1424_left/000117	105.0	904.0	166.0	968.0	3.24
2018-03-16_1424_left/000117	1566.0	710.0	1632.0	784.0	2.4
2018-03-16_1424_left/000118	125.0	912.0	187.5	977.5	3.24
2018-03-16_1424_left/000118	126.0	914.0	186.0	976.0	3.24
2018-03-16_1424_left/000118	1596.0	720.0	1668.0	793.0	2.4
2018-03-16_1424_left/000118	125.0	912.0	187.5	977.5	3.24
2018-03-16_1424_left/000118	126.0	914.0	186.0	976.0	3.24
2018-03-16_1424_left/000118	1596.0	720.0	1668.0	793.0	2.4
2018-03-16_1424_left/000119	153.0	919.5	215.5	986.0	3.24
2018-03-16_1424_left/000119	152.0	921.0	212.0	987.0	3.24
2018-03-16_1424_left/000119	1632.0	721.0	1705.0	792.0	2.4
2018-03-16_1424_left/000119	153.0	919.5	215.5	986.0	3.24
2018-03-16_1424_left/000119	152.0	921.0	212.0	987.0	3.24
2018-03-16_1424_left/000119	1632.0	721.0	1705.0	792.0	2.4
2018-03-16_1424_left/000120	172.0	919.0	234.5	985.5	3.24
2018-03-16_1424_left/000120	172.0	919.0	234.5	985.5	3.24
2018-03-16_1424_left/000121	193.0	922.0	256.0	987.0	3.24
2018-03-16_1424_left/000121	193.0	924.0	253.0	987.0	3.24
2018-03-16_1424_left/000121	1690.0	716.0	1765.0	788.0	2.4
2018-03-16_1424_left/000121	193.0	922.0	256.0	987.0	3.24
2018-03-16_1424_left/000121	193.0	924.0	253.0	987.0	3.24
2018-03-16_1424_left/000121	1690.0	716.0	1765.0	788.0	2.4
2018-03-16_1424_left/000122	220.5	924.5	280.0	987.5	3.24
2018-03-16_1424_left/000122	220.5	924.5	280.0	987.5	3.24
2018-03-16_1424_left/000125	287.5	914.0	351.5	981.0	3.24
2018-03-16_1424_left/000125	287.5	914.0	351.5	981.0	3.24
2018-03-16_1424_left/000126	309.0	916.0	373.5	985.0	3.24
2018-03-16_1424_left/000126	309.0	916.0	373.5	985.0	3.24
2018-03-16_1424_left/000128	362.5	909.5	427.0	980.0	3.24
2018-03-16_1424_left/000128	362.5	909.5	427.0	980.0	3.24
2018-03-16_1424_left/000129	385.5	906.5	452.0	973.0	3.24
2018-03-16_1424_left/000129	385.5	906.5	452.0	973.0	3.24
2018-03-16_1424_left/000135	2222.0	882.0	2271.0	938.0	3.27
2018-03-16_1424_left/000135	538.0	905.0	606.0	976.0	3.24
2018-03-16_1424_left/000135	2222.0	882.0	2271.0	938.0	3.27
2018-03-16_1424_left/000135	538.0	905.0	606.0	976.0	3.24
2018-03-16_1424_left/000136	560.0	909.0	627.0	980.0	3.24
2018-03-16_1424_left/000136	2288.0	629.0	2395.0	721.0	2.4
2018-03-16_1424_left/000136	560.0	909.0	627.0	980.0	3.24
2018-03-16_1424_left/000136	2288.0	629.0	2395.0	721.0	2.4
2018-03-16_1424_left/000147	846.0	880.0	917.0	956.0	3.24
2018-03-16_1424_left/000147	846.0	880.0	917.0	956.0	3.24
2018-03-16_1424_left/000151	958.5	857.5	1032.0	935.0	3.24
2018-03-16_1424_left/000151	958.5	857.5	1032.0	935.0	3.24
2018-03-16_1424_left/000152	990.0	851.5	1062.0	933.5	3.24
2018-03-16_1424_left/000152	990.0	851.5	1062.0	933.5	3.24
2018-03-16_1424_left/000153	1019.5	849.0	1093.5	931.5	3.24
