frame	xtl	ytl	xbr	ybr	class	score
2018-03-16_1424_left/000121	1696.549404144287	726.2220458984375	1759.9218320846558	794.8538818359375	2.4	0.9529224634170532
2018-03-16_1424_left/000343	594.2988839149475	925.7383422851562	652.8333020210266	1115.833251953125	8.22	0.9922107458114624
2018-03-16_1424_left/000343	578.3560094833374	823.7676391601562	662.9709877967834	907.7385864257812	4.2	0.9794950485229492
2018-03-16_1424_left/000986	1783.431492805481	913.6709594726562	1857.997281074524	991.7891235351562	3.24	0.9966819882392883
2018-03-16_1424_left/000986	2376.9509868621826	629.0620727539062	2444.1692218780518	777.2062377929688	5.19	0.9869957566261292
2018-03-16_1424_left/000997	1941.1555452346802	912.6701049804688	2027.0622110366821	1001.7437133789062	3.24	0.998767614364624
2018-03-16_1424_left/000693	196.01769840717316	440.90045166015625	263.3966739177704	510.82476806640625	5.19	0.9997968077659607
2018-03-16_1424_left/000693	1540.8954076766968	189.90682983398438	1631.4374113082886	288.0151672363281	5.19	0.9997897744178772
2018-03-16_1424_left/000693	2246.3146533966064	789.437744140625	2345.841053009033	885.64501953125	5.19	0.9996211528778076
2018-03-16_1424_left/001595	1724.626407623291	859.67236328125	1759.7104053497314	907.0672607421875	2.4	0.9382875561714172
2018-03-16_1424_left/000918	636.7282462120056	708.5691528320312	668.0047388076782	739.8330688476562	5.19	0.995244562625885
2018-03-16_1424_left/000918	1509.4284267425537	898.9033203125	1548.6300659179688	938.89892578125	5.19	0.9948791265487671
2018-03-16_1424_left/000918	396.54758477211	931.8786010742188	428.0221166610718	961.8302612304688	5.19	0.9897716641426086
2018-03-16_1424_left/000918	2297.990761756897	694.2532958984375	2347.0019302368164	744.8419189453125	3.24	0.9864323735237122
2018-03-16_1424_left/000918	1226.564260482788	660.052001953125	1262.4860858917236	698.3035888671875	5.19	0.9856407642364502
2018-03-16_1424_left/001598	1739.1029376983643	851.35546875	1776.6098070144653	903.29638671875	2.4	0.9986391663551331
2018-03-16_1424_left/001611	1838.8026809692383	822.28857421875	1879.6461238861084	881.8983154296875	2.4	0.9954734444618225
2018-03-16_1424_left/000296	883.7753520011902	934.4900512695312	921.0008296966553	973.2371215820312	4.2	0.9638104438781738
2018-03-16_1424_left/001621	1952.1539669036865	796.3989868164062	1987.0799417495728	866.1580200195312	2.4	0.9963573813438416
2018-03-16_1424_left/001602	1766.7209014892578	844.9402465820312	1803.4767608642578	895.9108276367188	2.4	0.9977235198020935
2018-03-16_1424_left/000848	785.8523812294006	942.0269165039062	802.9730587005615	959.4832153320312	5.19	0.9913177490234375
2018-03-16_1424_left/000848	1422.7673950195312	933.2942504882812	1444.683111190796	954.8862915039062	5.19	0.9912051558494568
2018-03-16_1424_left/000848	1272.0837507247925	802.9834594726562	1294.1237840652466	825.9790649414062	5.19	0.9781525731086731
2018-03-16_1424_left/000848	929.5030589103699	811.485107421875	947.2405071258545	831.144775390625	5.19	0.9710876941680908
2018-03-16_1424_left/000848	1994.267575263977	785.7576904296875	2029.7189798355103	830.421875	3.24	0.9179964065551758
2018-03-16_1424_left/002239	1869.5611124038696	829.8623046875	1959.2172832489014	917.8548583984375	3.24	0.9028764367103577
2018-03-16_1424_left/000833	1266.3496942520142	832.80615234375	1283.5247240066528	852.6937255859375	5.19	0.9903973340988159
2018-03-16_1424_left/000833	951.7740712165833	849.0165405273438	967.8972201347351	867.7376098632812	5.19	0.9746276140213013
2018-03-16_1424_left/000833	821.2535190582275	966.5348510742188	838.6179428100586	983.6161499023438	5.19	0.9481655359268188
2018-03-16_1424_left/002191	81.04164397716522	881.9805908203125	121.57442164421082	921.1439208984375	3.24	0.9682665467262268
2018-03-16_1424_left/000983	2264.0822324752808	669.9305419921875	2404.836699485779	806.833740234375	5.19	0.999804675579071
2018-03-16_1424_left/000983	1752.4571113586426	929.359375	1822.4412574768066	998.3876953125	3.24	0.9995326995849609
2018-03-16_1424_left/002420	1158.3475484848022	810.75341796875	1173.4849877357483	827.5042724609375	5.19	0.9827606678009033
2018-03-16_1424_left/000596	847.7624044418335	817.7584838867188	868.8058576583862	839.5947875976562	5.19	0.9802731275558472
2018-03-16_1424_left/001782	850.2689566612244	883.2025146484375	885.2787580490112	917.50537109375	4.2	0.9291621446609497
2018-03-16_1424_left/000656	647.9539260864258	695.5443115234375	685.5592861175537	732.538818359375	5.19	0.9921613335609436
2018-03-16_1424_left/000656	1384.3889923095703	623.0506591796875	1425.6682748794556	666.246337890625	5.19	0.9905183911323547
2018-03-16_1424_left/000656	1730.7210130691528	909.9404907226562	1764.5408277511597	950.3944702148438	5.19	0.9897482991218567
2018-03-16_1424_left/001575	1614.1590757369995	881.1348266601562	1653.0662641525269	924.7523803710938	2.4	0.9988865256309509
2018-03-16_1424_left/001795	792.4329471588135	912.2506713867188	821.0901703834534	996.0977172851562	8.22	0.9672811031341553
2018-03-16_1424_left/001795	783.7944359779358	866.4171752929688	829.8212628364563	909.5156860351562	4.2	0.9216183423995972
2018-03-16_1424_left/001784	838.266951084137	881.2892456054688	874.9928255081177	919.2352905273438	4.2	0.9924345016479492
2018-03-16_1424_left/001784	846.0601201057434	921.7783813476562	871.5048680305481	999.9910278320312	8.22	0.985057532787323
2018-03-16_1424_left/001822	585.8460824489594	800.5602416992188	653.254988193512	865.1443481445312	4.2	0.9962236881256104
2018-03-16_1424_left/001822	600.4184768199921	869.060546875	643.3460927009583	991.7484130859375	8.22	0.9817346930503845
2018-03-16_1424_left/000979	1269.6565017700195	5.324668884277344	1390.742883682251	125.21752166748047	5.19	0.9997851252555847
2018-03-16_1424_left/000979	2135.7575855255127	702.9845581054688	2255.9558000564575	825.4080200195312	5.19	0.999687910079956
2018-03-16_1424_left/000979	1715.835199356079	929.363037109375	1780.2390804290771	993.03466796875	3.24	0.9996422529220581
2018-03-16_1424_left/000979	2.5896047428250313	337.1567077636719	17.509096808731556	415.7477111816406	5.19	0.9081314206123352
2018-03-16_1424_left/000119	146.8848118185997	919.697509765625	208.18653631210327	990.3671875	3.24	0.9474925398826599
2018-03-16_1424_left/001835	400.09985303878784	731.0086059570312	481.9705882072449	813.9739379882812	4.2	0.9994420409202576
2018-03-16_1424_left/001835	412.0751566886902	831.745849609375	470.96658539772034	1056.0196533203125	8.22	0.9991746544837952
2018-03-16_1424_left/000828	1262.1405658721924	828.4312744140625	1279.6703081130981	847.5081787109375	5.19	0.990731418132782
2018-03-16_1424_left/000828	957.0626578330994	841.2498168945312	974.1559038162231	860.2002563476562	5.19	0.973280131816864
2018-03-16_1424_left/000828	1400.5852432250977	942.6792602539062	1418.3515090942383	959.4750366210938	5.19	0.9693236351013184
