frame	xtl	ytl	xbr	ybr	class
2018-02-16_1515_left/000482	692	957	724	1008	4.1
2018-02-16_1515_left/000517	519	942	554	995	3.27
2018-02-16_1515_left/000520	507	942	541	994	3.27
2018-02-16_1515_left/000522	492	946	528	1009	3.27
2018-02-16_1515_left/000535	419	912	454	966	3.27
2018-02-16_1515_left/000543	366	904	404	961	3.27
2018-02-16_1515_left/000548	337	903	373	960	5.19
2018-02-16_1515_left/000555	273	891	312	952	5.19
2018-02-16_1515_left/000562	212	897	258	965	5.19
2018-02-16_1515_left/000567	170	899	212	962	5.19
2018-02-16_1515_left/000568	161	897	203	965	5.19
2018-02-16_1515_left/000569	155	898	197	964	5.19
2018-02-16_1515_left/000570	142	888	185	953	5.19
2018-02-16_1515_left/000573	111	888	158	956	5.19
2018-02-16_1515_left/000575	92	883	141	954	5.19
2018-02-16_1515_left/000576	81	877	131	944	5.19
2018-02-16_1515_left/000577	76	884	125	956	5.19
2018-02-16_1515_left/000580	33	871	87	948	5.19
2018-02-16_1515_left/000586	-9	864	31	949	5.19
2018-02-16_1515_left/000781	38	822	137	957	3.27
2018-02-16_1515_left/000782	51	802	146	923	3.27
2018-02-16_1515_left/000782	69	919	158	1022	3.27
2018-02-16_1515_left/000785	107	794	211	934	3.27
2018-02-16_1515_left/000788	164	792	261	923	3.27
2018-02-16_1515_left/000789	167	804	266	947	3.27
2018-02-16_1515_left/000797	276	793	381	930	3.27
2018-02-16_1515_left/000799	292	786	403	947	3.27
2018-02-16_1515_left/000800	305	765	411	922	3.27
2018-02-16_1515_left/000806	352	760	466	914	3.27
2018-02-16_1515_left/000812	396	832	496	964	3.27
2018-02-16_1515_left/000816	410	706	525	849	3.27
2018-02-16_1515_left/000816	418	848	519	977	3.27
2018-02-16_1515_left/000819	414	692	537	856	3.27
2018-02-16_1515_left/000820	429	703	544	856	3.27
2018-02-16_1515_left/000821	443	829	537	951	3.27
2018-02-16_1515_left/000834	392	828	527	957	3.27
2018-02-16_1515_left/000841	298	600	476	829	3.27
2018-02-16_1515_left/000844	256	576	446	822	3.27
2018-02-16_1515_left/000845	233	571	418	830	3.27
2018-02-16_1515_left/000849	167	517	362	785	3.27
2018-02-16_1515_left/000850	153	786	295	985	3.27
2018-02-16_1515_left/000852	96	514	304	790	3.27
2018-02-16_1515_left/000852	81	756	272	993	2.4
2018-02-16_1515_left/000853	63	490	285	799	3.27
2018-02-16_1515_left/000854	43	486	264	810	3.27
2018-02-16_1515_left/000857	13	448	188	762	3.27
2018-02-16_1515_left/000930	867	948	903	1002	3.27
2018-02-16_1515_left/000940	834	962	871	1017	3.27
2018-02-16_1515_left/000959	762	935	800	991	3.27
2018-02-16_1515_left/000963	745	928	785	987	3.27
2018-02-16_1515_left/000965	746	923	787	987	3.27
2018-02-16_1515_left/000967	719	930	761	992	3.27
2018-02-16_1515_left/000972	690	932	735	999	3.27
2018-02-16_1515_left/000973	896	980	932	1037	5.19
2018-02-16_1515_left/000976	661	936	698	996	3.27
2018-02-16_1515_left/000977	875	980	914	1037	5.19
2018-02-16_1515_left/000978	876	988	909	1038	5.19
2018-02-16_1515_left/000980	860	976	896	1032	5.19
2018-02-16_1515_left/000981	621	920	666	990	3.27
2018-02-16_1515_left/000983	832	966	869	1021	5.19
2018-02-16_1515_left/000984	591	919	633	984	3.27
2018-02-16_1515_left/000984	821	967	861	1023	5.19
2018-02-16_1515_left/000985	575	908	621	971	3.27
2018-02-16_1515_left/000985	815	967	852	1024	5.19
2018-02-16_1515_left/000986	795	963	834	1021	5.19
2018-02-16_1515_left/000989	763	959	804	1023	5.19
2018-02-16_1515_left/000990	503	894	553	966	3.27
2018-02-16_1515_left/000990	754	949	795	1009	5.19
2018-02-16_1515_left/000991	749	943	790	1005	5.19
2018-02-16_1515_left/000992	486	898	530	962	3.27
2018-02-16_1515_left/000992	744	948	783	1006	5.19
2018-02-16_1515_left/000993	738	947	779	1004	5.19
2018-02-16_1515_left/000994	470	895	516	961	3.27
2018-02-16_1515_left/000994	736	952	777	1012	5.19
2018-02-16_1515_left/000995	449	899	503	962	3.27
2018-02-16_1515_left/000995	721	944	763	1005	5.19
2018-02-16_1515_left/000996	715	943	763	999	5.19
2018-02-16_1515_left/000997	713	953	752	1009	5.19
2018-02-16_1515_left/000998	711	941	752	997	5.19
2018-02-16_1515_left/000999	415	891	474	969	3.27
2018-02-16_1515_left/000999	704	947	745	1009	5.19
2018-02-16_1515_left/001000	704	947	745	1008	5.19
2018-02-16_1515_left/001001	407	881	461	957	3.27
2018-02-16_1515_left/001001	702	940	745	1001	5.19
2018-02-16_1515_left/001002	409	885	457	958	3.27
2018-02-16_1515_left/001002	702	943	743	1002	5.19
2018-02-16_1515_left/001003	389	886	439	961	3.27
2018-02-16_1515_left/001003	706	939	745	995	5.19
2018-02-16_1515_left/001004	396	886	449	964	3.27
2018-02-16_1515_left/001004	700	943	743	1007	5.19
2018-02-16_1515_left/001005	703	943	746	1004	5.19
2018-02-16_1515_left/001006	379	879	431	958	3.27
2018-02-16_1515_left/001006	700	936	740	993	5.19
2018-02-16_1515_left/001007	377	865	426	937	3.27
2018-02-16_1515_left/001008	369	861	427	948	3.27
2018-02-16_1515_left/001008	707	939	745	993	5.19
2018-02-16_1515_left/001009	701	931	744	992	5.19
2018-02-16_1515_left/001010	355	864	415	953	4.1
2018-02-16_1515_left/001010	701	934	741	985	5.19
2018-02-16_1515_left/001011	355	858	409	934	3.27
2018-02-16_1515_left/001011	699	936	736	990	5.19
2018-02-16_1515_left/001012	698	927	739	985	5.19
2018-02-16_1515_left/001013	696	932	738	990	5.19
2018-02-16_1515_left/001014	690	923	730	982	5.19
2018-02-16_1515_left/001015	680	922	722	983	5.19
2018-02-16_1515_left/001016	307	851	368	941	3.27
2018-02-16_1515_left/001016	671	936	720	996	5.19
2018-02-16_1515_left/001017	669	924	717	990	5.19
2018-02-16_1515_left/001018	671	924	716	988	5.19
2018-02-16_1515_left/001019	267	837	336	927	3.27
2018-02-16_1515_left/001019	666	923	711	986	5.19
2018-02-16_1515_left/001020	661	915	711	985	5.19
2018-02-16_1515_left/001021	239	835	311	926	3.27
2018-02-16_1515_left/001021	652	925	700	994	5.19
2018-02-16_1515_left/001022	230	827	300	930	3.27
2018-02-16_1515_left/001022	650	914	700	986	5.19
2018-02-16_1515_left/001023	644	918	700	984	5.19
2018-02-16_1515_left/001024	639	930	689	998	5.19
2018-02-16_1515_left/001025	632	918	680	986	5.19
