frame	xtl	ytl	xbr	ybr	class
2018-03-23_1352_right/001838	1770	817	1876	911	2.4
2018-03-23_1352_right/004593	757	895	803	942	3.27
2018-03-23_1352_right/001231	1424	742	1523	846	5.20
2018-03-23_1352_right/004188	1623	856	1675	914	4.1
2018-03-23_1352_right/003827	1658	868	1760	969	4.1
2018-03-23_1352_right/001125	1190	874	1233	917	5.20
2018-03-23_1352_right/002068	2298	638	2446	847	2.4
2018-03-23_1352_right/000241	1562	823	1623	885	3.27
2018-03-23_1352_right/000241	1563	890	1621	948	5.20
2018-03-23_1352_right/004296	516	886	565	936	3.24
2018-03-23_1352_right/004296	516	832	566	883	5.20
2018-03-23_1352_right/003587	904	891	949	943	3.1
2018-03-23_1352_right/003313	2141	305	2408	563	5.20
2018-03-23_1352_right/001905	2072	654	2251	817	2.4
2018-03-23_1352_right/007684	1182	961	1197	1021	8.22
2018-03-23_1352_right/004640	658	875	716	933	3.27
2018-03-23_1352_right/000775	1659	793	1729	862	3.27
2018-03-23_1352_right/000775	1486	847	1532	892	5.19
2018-03-23_1352_right/000775	871	851	917	898	5.19
2018-03-23_1352_right/000775	1487	898	1535	945	5.20
2018-03-23_1352_right/001156	1273	865	1325	915	5.20
2018-03-23_1352_right/001227	1410	752	1502	847	5.20
2018-03-23_1352_right/003164	1340	892	1386	942	5.19
2018-03-23_1352_right/004899	1611	935	1680	1004	3.1
2018-03-23_1352_right/003481	2051	901	2088	939	5.19
2018-03-23_1352_right/003652	2252	554	2439	734	5.19
2018-03-23_1352_right/003652	1029	694	1114	788	5.19
2018-03-23_1352_right/003652	1031	797	1114	885	5.20
2018-03-23_1352_right/003652	2244	742	2433	928	5.20
2018-03-23_1352_right/004218	1659	818	1727	893	4.1
2018-03-23_1352_right/000925	2323	432	2446	641	5.19
2018-03-23_1352_right/000925	2334	655	2445	864	5.20
2018-03-23_1352_right/004147	1503	866	1546	909	4.1
2018-03-23_1352_right/007777	544	843	603	903	4.2
2018-03-23_1352_right/007777	555	910	600	1071	8.22
2018-03-23_1352_right/007738	328	903	360	941	3.1
2018-03-23_1352_right/007738	965	916	993	1013	8.22
2018-03-23_1352_right/007782	456	827	522	894	4.2
2018-03-23_1352_right/007782	469	891	517	1052	8.22
2018-03-23_1352_right/003635	2247	647	2396	790	5.19
2018-03-23_1352_right/003635	2244	798	2392	945	5.20
2018-03-23_1352_right/007730	1019	969	1043	1056	8.22
2018-03-23_1352_right/004162	1563	870	1607	915	4.1
2018-03-23_1352_right/007212	1663	690	1712	739	2.4
2018-03-23_1352_right/007212	1671	744	1708	782	4.1
2018-03-23_1352_right/000331	2091	615	2233	753	3.27
2018-03-23_1352_right/000331	2086	764	2234	907	5.20
2018-03-23_1352_right/000290	1725	757	1813	845	3.27
2018-03-23_1352_right/000290	1726	852	1811	936	5.20
2018-03-23_1352_right/008167	2097	596	2170	666	3.24
2018-03-23_1352_right/000545	329	709	387	853	5.19
2018-03-23_1352_right/002016	2266	628	2446	838	2.4
2018-03-23_1352_right/001743	359	859	408	911	2.4
2018-03-23_1352_right/001743	1496	867	1554	923	2.4
2018-03-23_1352_right/001966	2260	616	2446	821	2.4
2018-03-23_1352_right/001163	1292	865	1346	920	5.20
2018-03-23_1352_right/003615	392	852	452	916	3.1
2018-03-23_1352_right/003615	2327	748	2438	860	5.19
2018-03-23_1352_right/003615	2324	870	2438	986	5.20
2018-03-23_1352_right/001752	1520	850	1581	907	2.4
