frame	xtl	ytl	xbr	ybr	class
2018-02-16_1515_left/001014	689	940	736	988	5.19
2018-02-16_1515_left/002212	1182	872	1250	941	4.2
2018-02-16_1515_left/002212	1185	956	1242	1013	5.19
2018-02-16_1515_left/003404	216	786	315	885	2.1
2018-02-16_1515_left/003404	236	890	304	958	4.1
2018-02-16_1515_left/003404	597	786	666	855	4.2
2018-02-16_1515_left/003404	1537	916	1584	964	5.19
2018-02-16_1515_left/002263	736	861	835	960	5.19
2018-02-16_1515_left/003392	339	804	408	872	4.2
2018-02-16_1515_left/002106	2251	766	2370	885	5.19
2018-02-16_1515_left/002106	812	841	870	899	5.19
2018-02-16_1515_left/002106	1390	918	1423	951	5.19
2018-02-16_1515_left/002106	201	738	283	820	5.19
2018-02-16_1515_left/002106	1380	922	1419	962	5.20
2018-02-16_1515_left/002106	799	841	882	923	5.20
2018-02-16_1515_left/001830	1504	951	1531	979	5.19
2018-02-16_1515_left/001830	1504	951	1531	979	5.20
2018-02-16_1515_left/002022	1787	870	1844	927	5.19
2018-02-16_1515_left/002022	1421	930	1448	958	5.19
2018-02-16_1515_left/002022	1058	901	1091	934	5.19
2018-02-16_1515_left/002022	1787	870	1844	927	5.20
2018-02-16_1515_left/003407	260	766	379	885	2.1
2018-02-16_1515_left/003407	283	882	366	965	4.1
2018-02-16_1515_left/003407	648	786	717	855	4.2
2018-02-16_1515_left/002468	1529	884	1586	942	2.1
2018-02-16_1515_left/002164	513	811	613	910	5.19
2018-02-16_1515_left/002164	1360	972	1400	1012	5.19
2018-02-16_1515_left/003674	511	804	580	872	4.2
2018-02-16_1515_left/001925	1668	868	1716	916	4.1
2018-02-16_1515_left/001925	1668	928	1716	976	5.19
2018-02-16_1515_left/001925	1600	896	1628	923	5.19
2018-02-16_1515_left/003499	1504	910	1603	1009	2.1
2018-02-16_1515_left/003499	2261	1001	2294	1034	5.19
2018-02-16_1515_left/003499	2256	1002	2295	1042	5.20
2018-02-16_1515_left/002852	2182	903	2264	985	4.1
2018-02-16_1515_left/001747	1420	988	1443	1011	5.20
2018-02-16_1515_left/003468	1531	632	1702	804	2.1
2018-02-16_1515_left/003468	812	956	870	1013	2.1
2018-02-16_1515_left/003468	1538	825	1657	944	4.1
2018-02-16_1515_left/003468	2215	547	2387	718	4.2
2018-02-16_1515_left/002078	1398	943	1431	976	5.19
2018-02-16_1515_left/002078	2059	838	2127	907	5.19
2018-02-16_1515_left/002078	913	884	970	942	5.19
2018-02-16_1515_left/002078	1398	943	1431	976	5.20
2018-02-16_1515_left/003485	2145	554	2351	759	2.1
2018-02-16_1515_left/003485	2167	776	2309	919	4.1
2018-02-16_1515_left/002221	1147	872	1216	941	4.2
2018-02-16_1515_left/002221	1142	956	1199	1013	5.19
2018-02-16_1515_left/002750	613	836	712	935	5.19
2018-02-16_1515_left/002769	1768	992	1808	1032	2.1
2018-02-16_1515_left/002769	245	708	451	913	5.19
2018-02-16_1515_left/002693	1644	899	1701	956	5.19
