frame	xtl	ytl	xbr	ybr	class
2018-03-23_1352_right/000000	1430	904	1466	936	3.27
2018-03-23_1352_right/000001	1430	905	1464	933	3.27
2018-03-23_1352_right/000002	1430	904	1466	940	3.27
2018-03-23_1352_right/000003	1430	904	1466	939	3.27
2018-03-23_1352_right/000004	1431	904	1467	938	3.27
2018-03-23_1352_right/000005	1432	905	1468	939	3.27
2018-03-23_1352_right/000006	1431	905	1466	938	3.27
2018-03-23_1352_right/000007	1431	906	1465	938	3.27
2018-03-23_1352_right/000008	1431	906	1471	938	3.27
2018-03-23_1352_right/000009	1432	909	1466	937	3.27
2018-03-23_1352_right/000012	1436	905	1470	939	3.27
2018-03-23_1352_right/000013	1434	905	1470	939	3.27
2018-03-23_1352_right/000014	1434	904	1470	940	3.27
2018-03-23_1352_right/000058	1456	912	1492	948	3.27
2018-03-23_1352_right/000059	1455	912	1491	948	3.27
2018-03-23_1352_right/000060	1454	911	1490	947	3.27
2018-03-23_1352_right/000061	1454	912	1490	948	3.27
2018-03-23_1352_right/000062	1453	912	1490	947	3.27
2018-03-23_1352_right/000063	1453	913	1491	948	3.27
2018-03-23_1352_right/000064	1453	913	1492	948	3.27
2018-03-23_1352_right/000065	1452	913	1492	947	3.27
2018-03-23_1352_right/000066	1452	914	1493	948	3.27
2018-03-23_1352_right/000067	1452	915	1494	949	3.27
2018-03-23_1352_right/000072	1455	910	1495	944	3.27
2018-03-23_1352_right/000073	1454	909	1494	943	3.27
2018-03-23_1352_right/000074	1453	909	1494	943	3.27
2018-03-23_1352_right/000075	1453	909	1495	943	3.27
2018-03-23_1352_right/000076	1454	907	1495	942	3.27
2018-03-23_1352_right/000077	1456	906	1496	942	3.27
2018-03-23_1352_right/000078	1455	906	1495	941	3.27
2018-03-23_1352_right/000079	1455	906	1495	940	3.27
2018-03-23_1352_right/000080	1454	906	1494	939	3.27
2018-03-23_1352_right/000081	1454	906	1494	938	3.27
2018-03-23_1352_right/000082	1454	906	1494	942	3.27
2018-03-23_1352_right/000084	1454	904	1490	940	3.27
2018-03-23_1352_right/000085	1452	902	1492	938	3.27
2018-03-23_1352_right/000086	1453	901	1493	935	3.27
2018-03-23_1352_right/000087	1451	900	1493	936	3.27
2018-03-23_1352_right/000088	1450	898	1490	938	3.27
2018-03-23_1352_right/000089	1451	898	1489	936	3.27
2018-03-23_1352_right/000090	1453	898	1489	934	3.27
2018-03-23_1352_right/000091	1450	898	1490	934	3.27
2018-03-23_1352_right/000092	1446	901	1488	937	3.27
2018-03-23_1352_right/000093	1446	900	1488	936	3.27
2018-03-23_1352_right/000094	1445	898	1487	934	3.27
2018-03-23_1352_right/000096	1444	896	1484	936	3.27
2018-03-23_1352_right/000097	1444	897	1484	933	3.27
2018-03-23_1352_right/000098	1446	899	1488	931	3.27
2018-03-23_1352_right/000099	1443	893	1485	933	3.27
2018-03-23_1352_right/000100	1443	895	1483	935	3.27
2018-03-23_1352_right/000101	1442	895	1483	932	3.27
2018-03-23_1352_right/000102	1441	896	1483	930	3.27
2018-03-23_1352_right/000103	1442	892	1482	932	3.27
2018-03-23_1352_right/000104	1439	893	1481	933	3.27
2018-03-23_1352_right/000105	1438	894	1478	934	3.27
2018-03-23_1352_right/000106	1439	892	1481	934	3.27
2018-03-23_1352_right/000107	1439	895	1481	935	3.27
2018-03-23_1352_right/000108	1437	890	1477	932	3.27
2018-03-23_1352_right/000109	1437	895	1479	931	3.27
2018-03-23_1352_right/000110	1437	892	1473	932	3.27
2018-03-23_1352_right/000111	1435	892	1475	934	3.27
