frame	xtl	ytl	xbr	ybr	class
2018-03-16_1424_left/001988	2127	1046	2187	1141	4.2
2018-03-16_1424_left/000683	1451	358	1556	462	5.19
2018-03-16_1424_left/000683	357	528	435	604	5.19
2018-03-16_1424_left/000683	2010	820	2097	916	5.19
2018-03-16_1424_left/000124	259	917	321	987	3.24
2018-03-16_1424_left/000124	1777	824	1816	866	3.27
2018-03-16_1424_left/000124	50	1098	82	1132	2.4
2018-03-16_1424_left/001764	915	893	949	929	4.2
2018-03-16_1424_left/002210	1647	900	1700	948	3.24
2018-03-16_1424_left/000937	1222	562	1285	627	5.19
2018-03-16_1424_left/000937	209	912	266	966	5.19
2018-03-16_1424_left/000937	1592	862	1652	919	5.19
2018-03-16_1424_left/000937	508	646	556	696	5.19
2018-03-16_1424_left/000937	1229	527	1266	562	3.24
2018-03-16_1424_left/000233	908	965	936	993	4.2
2018-03-16_1424_left/000594	1267	768	1298	816	5.19
2018-03-16_1424_left/000594	844	808	875	843	5.19
2018-03-16_1424_left/001801	750	841	804	893	4.2
2018-03-16_1424_left/002566	1686	974	1714	1023	4.1
2018-03-16_1424_left/000652	1366	634	1419	688	5.19
2018-03-16_1424_left/000652	663	697	711	749	5.19
2018-03-16_1424_left/000317	820	902	871	953	4.2
2018-03-16_1424_left/002784	1861	974	1892	1019	4.1
2018-03-16_1424_left/002755	388	865	423	902	2.1
2018-03-16_1424_left/000000	56	958	89	997	5.20
2018-03-16_1424_left/000158	1171	825	1249	919	3.24
2018-03-16_1424_left/000310	849	915	895	963	4.2
2018-03-16_1424_left/000007	1	956	36	1005	5.20
2018-03-16_1424_left/000814	964	848	991	881	5.19
2018-03-16_1424_left/000299	873	928	915	968	4.2
2018-03-16_1424_left/000629	1327	716	1365	756	5.19
2018-03-16_1424_left/000629	769	750	811	794	5.19
2018-03-16_1424_left/000629	549	932	591	975	5.19
2018-03-16_1424_left/000868	1253	766	1289	804	5.19
2018-03-16_1424_left/000868	1434	917	1468	953	5.19
2018-03-16_1424_left/000868	867	782	898	819	5.19
2018-03-16_1424_left/000123	233	922	295	992	3.24
2018-03-16_1424_left/000684	1455	346	1565	451	5.19
2018-03-16_1424_left/000684	2028	820	2118	913	5.19
2018-03-16_1424_left/000684	344	521	421	601	5.19
2018-03-16_1424_left/002217	1672	894	1725	948	3.24
2018-03-16_1424_left/000930	1223	593	1278	646	5.19
2018-03-16_1424_left/000930	561	656	607	705	5.19
2018-03-16_1424_left/000930	1551	867	1614	923	5.19
2018-03-16_1424_left/000930	285	903	335	953	5.19
2018-03-16_1424_left/000930	1230	561	1262	592	3.24
2018-03-16_1424_left/001806	722	837	779	894	4.2
2018-03-16_1424_left/000593	1265	772	1296	818	5.19
2018-03-16_1424_left/000593	847	808	877	842	5.19
2018-03-16_1424_left/000234	912	969	938	996	4.2
2018-03-16_1424_left/000655	1371	616	1430	678	5.19
2018-03-16_1424_left/000655	647	694	694	742	5.19
2018-03-16_1424_left/000655	1379	588	1410	619	2.1
2018-03-16_1424_left/000151	953	853	1030	936	3.24
2018-03-16_1424_left/000297	878	934	920	975	4.2
2018-03-16_1424_left/000942	1613	844	1691	922	5.19
2018-03-16_1424_left/000942	152	904	211	966	5.19
2018-03-16_1424_left/000942	463	623	517	672	5.19
2018-03-16_1424_left/000942	1220	522	1292	599	5.19
2018-03-16_1424_left/000942	1230	493	1271	528	3.24
2018-03-16_1424_left/000246	928	964	956	991	4.2
2018-03-16_1424_left/000627	1318	718	1353	756	5.19
2018-03-16_1424_left/000627	774	751	813	795	5.19
2018-03-16_1424_left/000627	560	931	599	973	5.19
2018-03-16_1424_left/000627	1570	921	1595	959	5.19
2018-03-16_1424_left/000180	2045	727	2166	866	3.24
2018-03-16_1424_left/002172	1599	935	1634	969	3.24
2018-03-16_1424_left/000362	1533	944	1552	976	4.1
2018-03-16_1424_left/000414	1828	828	1858	900	4.1
2018-03-16_1424_left/000866	867	795	897	830	5.19
2018-03-16_1424_left/000866	1255	774	1287	812	5.19
2018-03-16_1424_left/000866	1430	922	1464	958	5.19
2018-03-16_1424_left/002219	1676	900	1735	959	3.24
2018-03-16_1424_left/001808	704	833	762	890	4.2
2018-03-16_1424_left/000365	1540	941	1558	973	4.1
2018-03-16_1424_left/002727	387	862	423	901	2.1
2018-03-16_1424_left/000861	1255	778	1289	816	5.19
2018-03-16_1424_left/000861	883	795	915	834	5.19
2018-03-16_1424_left/000861	733	941	762	973	5.19
2018-03-16_1424_left/000413	1818	833	1848	906	4.1
2018-03-16_1424_left/000939	190	912	247	964	5.19
2018-03-16_1424_left/000939	489	634	543	689	5.19
2018-03-16_1424_left/000939	1599	854	1666	917	5.19
2018-03-16_1424_left/000939	1219	543	1289	618	5.19
2018-03-16_1424_left/000939	1232	513	1270	547	3.24
2018-03-16_1424_left/002568	1685	971	1714	1024	4.2
2018-03-16_1424_left/000319	809	898	863	951	4.2
2018-03-16_1424_left/000156	1108	833	1185	924	3.24
2018-03-16_1424_left/000945	1223	489	1296	570	5.19
2018-03-16_1424_left/000945	117	896	177	955	5.19
2018-03-16_1424_left/000945	1638	834	1712	904	5.19
2018-03-16_1424_left/000945	433	603	491	662	5.19
2018-03-16_1424_left/000290	894	936	932	973	4.2
2018-03-16_1424_left/000241	923	984	950	1008	4.2
2018-03-16_1424_left/000620	792	757	832	803	5.19
2018-03-16_1424_left/000620	1307	728	1343	768	5.19
2018-03-16_1424_left/000620	592	930	630	972	5.19
2018-03-16_1424_left/000620	1540	916	1566	956	5.19
2018-03-16_1424_left/002175	1609	938	1642	973	3.24
2018-03-16_1424_left/000854	1260	790	1294	830	5.19
2018-03-16_1424_left/000854	904	805	935	845	5.19
2018-03-16_1424_left/000854	1426	930	1456	964	5.19
2018-03-16_1424_left/000854	758	941	788	973	5.19
2018-03-16_1424_left/000381	1600	919	1622	960	4.1
2018-03-16_1424_left/001607	1807	823	1845	893	2.4
2018-03-16_1424_left/000096	1061	802	1092	837	3.27
2018-03-16_1424_left/000885	1239	749	1274	785	5.19
2018-03-16_1424_left/000885	613	933	647	973	5.19
2018-03-16_1424_left/000885	1440	918	1481	958	5.19
2018-03-16_1424_left/000885	797	773	832	809	5.19
2018-03-16_1424_left/000350	418	768	523	878	4.2
2018-03-16_1424_left/000350	1497	951	1517	980	4.1
2018-03-16_1424_left/000669	1402	521	1478	599	5.19
2018-03-16_1424_left/000669	531	634	592	693	5.19
2018-03-16_1424_left/000669	197	916	265	981	5.19
2018-03-16_1424_left/000669	1824	875	1866	944	5.19
2018-03-16_1424_left/000669	1417	487	1454	526	2.1
2018-03-16_1424_left/000828	948	834	975	866	5.19
2018-03-16_1424_left/000828	1258	819	1285	850	5.19
2018-03-16_1424_left/000615	1301	740	1333	773	5.19
2018-03-16_1424_left/000615	804	767	839	805	5.19
2018-03-16_1424_left/001846	69	609	212	751	4.2
2018-03-16_1424_left/000274	915	954	949	989	4.2
2018-03-16_1424_left/000970	1925	770	2042	888	5.19
2018-03-16_1424_left/000970	118	440	208	529	5.19
2018-03-16_1424_left/000970	1239	221	1371	343	5.19
2018-03-16_1424_left/002191	81	882	123	921	3.24
