frame	xtl	ytl	xbr	ybr	class
2018-02-16_1515_left/001911	1602	790	1706	894	2.4
2018-02-16_1515_left/002808	1776	864	1880	968	2.4
2018-02-16_1515_left/001869	1528	840	1632	944	2.4
2018-02-16_1515_left/001904	1594	792	1710	908	2.4
2018-02-16_1515_left/001900	1594	802	1696	904	2.4
2018-02-16_1515_left/001873	1528	818	1644	934	2.4
2018-02-16_1515_left/001863	1516	832	1624	940	2.4
2018-02-16_1515_left/001976	1902	666	2054	818	2.4
2018-02-16_1515_left/001919	1618	786	1728	896	2.4
2018-02-16_1515_left/001825	1448	858	1550	960	2.4
2018-02-16_1515_left/001916	1608	788	1722	902	2.4
2018-02-16_1515_left/001941	1684	768	1806	890	2.4
2018-02-16_1515_left/001915	1608	794	1714	900	2.4
2018-02-16_1515_left/001940	1678	762	1798	882	2.4
2018-02-16_1515_left/002817	1836	844	1964	972	2.4
2018-02-16_1515_left/001907	1598	790	1708	900	2.4
2018-02-16_1515_left/002806	1758	860	1872	974	2.4
2018-02-16_1515_left/001937	1664	762	1794	892	2.4
2018-03-23_1352_right/005762	2236	760	2346	870	2.4
