detection_scores	frame	ytl	xtl	ybr	xbr	class	width_half	square
0.7791059	2018-03-23_1352_right/001218	781	1383	863	1463	5.20	1224.0	6560
0.54657114	2018-03-23_1352_right/001812	812	1648	886	1734	2.4	1224.0	6364
0.77845156	2018-03-23_1352_right/000511	966	984	1004	1018	5.20	1224.0	1292
0.7768665	2018-03-23_1352_right/000792	858	1509	905	1557	5.20	1224.0	2256
0.59586203	2018-03-23_1352_right/000792	810	852	857	899	5.19	1224.0	2209
0.54087055	2018-03-23_1352_right/000792	740	1706	823	1784	3.27	1224.0	6474
0.63019687	2018-03-23_1352_right/000414	959	1352	989	1379	5.19	1224.0	810
0.8181035	2018-03-23_1352_right/003655	780	992	887	1087	5.20	1224.0	10165
0.6589904999999999	2018-03-23_1352_right/003655	738	2266	926	2439	5.20	1224.0	32524
0.6401446	2018-03-23_1352_right/003655	538	2266	722	2444	5.19	1224.0	32752
0.52349144	2018-03-23_1352_right/003655	681	993	781	1084	5.19	1224.0	9100
0.6877568000000001	2018-03-23_1352_right/000568	964	921	1007	965	5.20	1224.0	1892
0.58936346	2018-03-23_1352_right/000568	919	920	959	960	5.19	1224.0	1600
0.54398406	2018-03-23_1352_right/001697	894	1384	945	1438	2.4	1224.0	2754
0.63867074	2018-03-23_1352_right/008437	838	2093	873	2122	5.19	1224.0	1015
0.62623936	2018-03-23_1352_right/003451	918	1892	960	1924	5.19	1224.0	1344
0.72436154	2018-03-23_1352_right/004329	803	84	870	152	3.24	1224.0	4556
0.71422446	2018-03-23_1352_right/004329	732	83	800	159	5.20	1224.0	5168
0.5908025	2018-03-23_1352_right/004329	949	1626	983	1658	5.19	1224.0	1088
0.75587595	2018-03-23_1352_right/001220	777	1387	862	1468	5.20	1224.0	6885
0.74375385	2018-03-23_1352_right/001222	767	1391	857	1479	5.20	1224.0	7920
0.5729741	2018-03-23_1352_right/001695	892	1382	941	1432	2.4	1224.0	2450
0.85202813	2018-03-23_1352_right/003259	713	1534	811	1631	5.20	1224.0	9506
0.6621839	2018-03-23_1352_right/006388	819	1117	992	1165	8.22	1224.0	8304
0.5608259	2018-03-23_1352_right/001803	800	1623	876	1709	2.4	1224.0	6536
0.5238543999999999	2018-03-23_1352_right/001803	799	19	872	93	2.4	1224.0	5402
0.72478414	2018-03-23_1352_right/001260	563	1615	739	1792	5.20	1224.0	31152
0.67834103	2018-03-23_1352_right/008500	838	2094	873	2122	5.19	1224.0	980
0.8314321	2018-03-23_1352_right/000208	922	1506	969	1552	5.20	1224.0	2162
0.5546499	2018-03-23_1352_right/000208	863	1501	916	1552	3.27	1224.0	2703
0.6492646	2018-03-23_1352_right/006383	818	1187	1000	1232	8.22	1224.0	8190
0.6056931999999999	2018-03-23_1352_right/005826	681	2010	800	2151	2.4	1224.0	16779
0.57225144	2018-03-23_1352_right/005826	811	2038	908	2130	4.1	1224.0	8924
0.6168693000000001	2018-03-23_1352_right/006410	853	553	921	614	2.1	1224.0	4148
0.52337116	2018-03-23_1352_right/006410	609	602	747	737	4.2	1224.0	18630
0.5730052	2018-03-23_1352_right/003869	771	2187	985	2390	4.1	1224.0	43442
0.7114226	2018-03-23_1352_right/003443	923	1864	962	1894	5.19	1224.0	1170
0.8179534	2018-03-23_1352_right/000641	933	844	996	904	5.20	1224.0	3780
0.581078	2018-03-23_1352_right/000641	910	1067	938	1095	5.19	1224.0	784
0.7930626000000001	2018-03-23_1352_right/002415	829	398	895	460	5.20	1224.0	4092
0.74588066	2018-03-23_1352_right/002415	799	1266	875	1318	5.20	1224.0	3952
0.7621522	2018-03-23_1352_right/002382	866	260	921	320	5.20	1224.0	3300
0.7161976999999999	2018-03-23_1352_right/002382	853	980	916	1018	5.19	1224.0	2394
