frame	xtl	ytl	xbr	ybr	class
2018-02-16_1515_left/003657	312	819	387	898	3.27
2018-02-16_1515_left/002184	853	922	891	979	5.19
2018-02-16_1515_left/002184	208	734	333	883	5.19
2018-02-16_1515_left/002184	1288	952	1330	1006	5.19
2018-02-16_1515_left/002184	1279	893	1342	943	4.1
2018-02-16_1515_left/002506	1787	738	1926	902	2.1
2018-02-16_1515_left/002692	1631	895	1703	978	5.19
2018-02-16_1515_left/002050	622	815	656	868	5.19
2018-02-16_1515_left/002050	1906	832	1967	893	5.19
2018-02-16_1515_left/002050	993	873	1035	918	5.19
2018-02-16_1515_left/002143	649	788	738	883	5.19
2018-02-16_1515_left/002143	1373	912	1411	958	5.19
2018-02-16_1515_left/002143	142	829	185	890	5.19
2018-02-16_1515_left/002143	142	752	190	804	4.1
2018-02-16_1515_left/002143	1370	859	1416	906	4.1
2018-02-16_1515_left/002199	755	889	793	953	5.19
2018-02-16_1515_left/002199	1229	931	1272	984	5.19
2018-02-16_1515_left/002199	1222	859	1290	916	4.1
2018-02-16_1515_left/002728	1922	835	2024	950	5.19
2018-02-16_1515_left/002120	1374	902	1410	948	5.19
2018-02-16_1515_left/002120	749	811	823	892	5.19
2018-02-16_1515_left/002120	280	845	315	892	5.19
2018-02-16_1515_left/002120	52	680	127	787	5.19
2018-02-16_1515_left/002120	1372	853	1416	898	4.1
2018-02-16_1515_left/001999	1722	859	1770	911	5.19
2018-02-16_1515_left/003662	393	815	470	890	3.27
2018-02-16_1515_left/002005	1744	865	1788	915	5.19
2018-02-16_1515_left/003481	173	952	207	1008	3.27
2018-02-16_1515_left/003481	1092	936	1175	1019	2.1
2018-02-16_1515_left/001967	1859	716	1941	801	2.4
2018-02-16_1515_left/002058	1934	807	2013	893	5.19
2018-02-16_1515_left/002058	578	787	614	845	5.19
2018-02-16_1515_left/002058	969	857	1016	905	5.19
2018-02-16_1515_left/003070	825	735	929	826	4.2
2018-02-16_1515_left/003103	1792	589	1927	760	4.2
2018-02-16_1515_left/003103	1110	859	1187	973	4.1
2018-02-16_1515_left/003103	1792	589	1927	760	3.27
2018-02-16_1515_left/003103	1083	712	1217	873	2.1
2018-02-16_1515_left/002428	1437	919	1481	973	2.1
2018-02-16_1515_left/002001	1731	864	1774	915	5.19
2018-02-16_1515_left/002489	1620	828	1711	934	2.1
2018-02-16_1515_left/002690	1635	906	1689	969	5.19
2018-02-16_1515_left/002138	676	774	756	865	5.19
2018-02-16_1515_left/002138	1373	887	1411	935	5.19
2018-02-16_1515_left/002138	175	810	217	872	5.19
2018-02-16_1515_left/002138	173	731	222	793	4.1
2018-02-16_1515_left/002138	1369	837	1416	881	4.1
2018-02-16_1515_left/003426	622	860	704	953	4.1
2018-02-16_1515_left/002204	1207	935	1257	999	5.19
2018-02-16_1515_left/002204	1204	862	1271	926	4.1
2018-02-16_1515_left/002028	735	850	766	897	5.19
2018-02-16_1515_left/002028	1811	871	1866	922	5.19
2018-02-16_1515_left/002094	2156	797	2260	897	5.19
