frame	xtl	ytl	xbr	ybr	class
2018-03-16_1424_left/000622	592	943	617	968	5.19
2018-03-16_1424_left/000171	1638	779	1734	890	3.24
2018-03-16_1424_left/000227	895	993	913	1045	8.22
2018-03-16_1424_left/000855	1266	800	1285	817	5.19
2018-03-16_1424_left/000290	896	938	928	971	4.2
2018-03-16_1424_left/000616	809	774	833	796	5.19
2018-03-16_1424_left/000863	887	813	902	830	5.19
2018-03-16_1424_left/000664	1785	889	1836	936	5.19
2018-03-16_1424_left/000872	860	791	880	810	5.19
2018-03-16_1424_left/000555	1421	962	1436	975	5.19
2018-03-16_1424_left/000626	574	943	600	968	5.19
2018-03-16_1424_left/000876	844	791	865	811	5.19
2018-03-16_1424_left/000553	1421	965	1436	979	5.19
2018-03-16_1424_left/000888	785	775	808	797	5.19
2018-03-16_1424_left/001814	668	824	724	881	4.2
2018-03-16_1424_left/000825	959	844	975	862	5.19
2018-03-16_1424_left/000257	934	989	955	1049	8.22
2018-03-16_1424_left/000904	495	934	520	959	5.19
2018-03-16_1424_left/001772	895	931	920	994	8.22
2018-03-16_1424_left/000826	833	958	852	975	5.19
2018-03-16_1424_left/000677	1925	856	1981	912	5.19
2018-03-16_1424_left/000859	1265	795	1282	814	5.19
2018-03-16_1424_left/000648	1364	654	1401	691	5.19
2018-03-16_1424_left/000900	728	752	752	775	5.19
2018-03-16_1424_left/000333	704	867	769	931	4.2
2018-03-16_1424_left/000669	543	641	585	680	5.19
2018-03-16_1424_left/002216	1666	903	1717	951	3.24
2018-03-16_1424_left/000628	778	761	802	784	5.19
2018-03-16_1424_left/000624	789	775	814	798	5.19
2018-03-16_1424_left/000599	1277	784	1301	808	5.19
2018-03-16_1424_left/000222	867	994	888	1048	8.22
2018-03-16_1424_left/000850	924	816	941	834	5.19
2018-03-16_1424_left/000660	1387	591	1433	638	5.19
2018-03-16_1424_left/000614	1302	746	1327	770	5.19
2018-03-16_1424_left/000899	1459	919	1488	945	5.19
2018-03-16_1424_left/000637	748	744	778	769	5.19
2018-03-16_1424_left/002189	118	882	157	918	3.24
2018-03-16_1424_left/002211	1651	902	1695	945	3.24
2018-03-16_1424_left/000596	1274	790	1298	814	5.19
2018-03-16_1424_left/000843	801	949	820	967	5.19
2018-03-16_1424_left/002760	606	885	628	908	5.19
2018-03-16_1424_left/000944	137	906	179	950	5.19
2018-03-16_1424_left/000586	1441	945	1455	959	5.19
2018-03-16_1424_left/000300	881	977	912	1072	8.22
2018-03-16_1424_left/002196	0	881	30	928	3.24
2018-03-16_1424_left/000817	1386	954	1402	969	2.1
2018-03-16_1424_left/000359	95	828	215	1156	8.22
2018-03-16_1424_left/002193	1630	918	1665	953	3.24
2018-03-16_1424_left/000939	500	640	536	678	5.19
2018-03-16_1424_left/000966	1869	791	1946	873	5.19
2018-03-16_1424_left/000870	1260	772	1281	794	5.19
2018-03-16_1424_left/000643	477	934	496	963	5.19
2018-03-16_1424_left/000264	931	949	955	979	4.2
2018-03-16_1424_left/000869	1440	923	1466	944	5.19
2018-03-16_1424_left/000957	1247	406	1304	477	5.19
2018-03-16_1424_left/000545	1288	853	1303	866	5.19
2018-03-16_1424_left/000862	735	954	753	970	5.19
2018-03-16_1424_left/000336	671	856	745	926	4.2
2018-03-16_1424_left/000927	1225	618	1262	652	5.19
2018-03-16_1424_left/000871	1259	772	1282	793	5.19
2018-03-16_1424_left/001797	779	857	818	902	4.2
2018-03-16_1424_left/000639	1623	920	1655	952	5.19
2018-03-16_1424_left/000958	1245	394	1308	470	5.19
2018-03-16_1424_left/000345	551	901	619	1115	8.22
2018-03-16_1424_left/000341	610	832	682	912	4.2
2018-03-16_1424_left/000243	927	977	951	999	4.2
2018-03-16_1424_left/000545	975	865	988	879	5.19
2018-03-16_1424_left/000611	820	782	844	802	5.19
2018-03-16_1424_left/000898	536	941	559	964	5.19
2018-03-16_1424_left/000562	1277	838	1292	853	5.19
2018-03-16_1424_left/000328	753	882	815	942	4.2
2018-03-16_1424_left/001784	845	920	876	997	8.22
2018-03-16_1424_left/002762	607	885	627	909	5.19
2018-03-16_1424_left/000244	931	1001	952	1059	8.22
2018-03-16_1424_left/000931	1228	596	1271	635	5.19
2018-03-16_1424_left/000261	933	951	957	981	4.2
2018-03-16_1424_left/000923	1525	893	1565	930	5.19
2018-03-16_1424_left/000857	903	815	920	831	5.19
2018-03-16_1424_left/000321	806	953	851	1074	8.22
2018-03-16_1424_left/000978	0	355	36	427	5.19
2018-03-16_1424_left/000265	931	950	955	977	4.2
2018-03-16_1424_left/000582	1268	802	1285	817	5.19
2018-03-16_1424_left/000579	1436	944	1450	959	5.19
2018-03-16_1424_left/000682	1999	833	2072	906	5.19
2018-03-16_1424_left/000112	0	892	63	957	3.24
2018-03-16_1424_left/000567	1275	823	1290	838	5.19
2018-03-16_1424_left/000557	1422	959	1437	972	5.19
2018-03-16_1424_left/000655	656	700	691	730	5.19
2018-03-16_1424_left/000589	861	818	879	835	5.19
2018-03-16_1424_left/000209	738	995	758	1051	8.22
2018-03-16_1424_left/000838	814	959	833	975	5.19
2018-03-16_1424_left/000579	889	826	903	841	5.19
2018-03-16_1424_left/000847	1271	805	1288	822	5.19
2018-03-16_1424_left/000954	1729	839	1783	896	5.19
2018-03-16_1424_left/000255	936	991	956	1046	8.22
2018-03-16_1424_left/001802	756	894	794	985	8.22
2018-03-16_1424_left/000585	1439	945	1455	958	5.19
2018-03-16_1424_left/001845	116	629	239	753	4.2
2018-03-16_1424_left/000547	972	870	985	885	5.19
2018-03-16_1424_left/000986	2383	630	2447	775	5.19
2018-03-16_1424_left/000553	956	861	970	876	5.19
2018-03-16_1424_left/000550	963	863	977	877	5.19
2018-03-16_1424_left/000178	1954	755	2072	879	3.24
2018-03-16_1424_left/000595	1274	790	1296	814	5.19
2018-03-16_1424_left/000979	1265	1	1382	129	5.19
2018-03-16_1424_left/000883	631	942	655	967	5.19
2018-03-16_1424_left/000322	794	896	844	947	4.2
2018-03-16_1424_left/000557	1280	838	1296	852	5.19
2018-03-16_1424_left/000565	1427	953	1441	967	5.19
2018-03-16_1424_left/000969	1924	788	1997	868	5.19
2018-03-16_1424_left/001819	615	815	681	876	4.2
2018-03-16_1424_left/000953	1242	458	1297	515	5.19
2018-03-16_1424_left/000840	1417	939	1437	957	5.19
2018-03-16_1424_left/000649	692	714	723	745	5.19
2018-03-16_1424_left/000208	724	997	744	1054	8.22
2018-03-16_1424_left/002187	152	889	189	922	3.24
2018-03-16_1424_left/000631	1332	716	1363	746	5.19
2018-03-16_1424_left/001826	551	861	606	1000	8.22
2018-03-16_1424_left/000933	262	915	298	951	5.19
2018-03-16_1424_left/000251	937	963	962	989	4.2
2018-03-16_1424_left/000946	109	900	155	945	5.19
2018-03-16_1424_left/000927	588	679	618	709	5.19
2018-03-16_1424_left/000117	105	903	166	972	3.24
2018-03-16_1424_left/001838	344	812	415	1053	8.22
2018-03-16_1424_left/000538	873	969	886	983	5.19
2018-03-16_1424_left/000295	891	980	922	1069	8.22
2018-03-16_1424_left/000979	2139	713	2259	824	5.19
2018-03-16_1424_left/000350	425	779	528	877	4.2
2018-03-16_1424_left/000588	862	820	880	837	5.19
2018-03-16_1424_left/000628	1577	930	1597	958	5.19
2018-03-16_1424_left/000313	842	957	885	1075	8.22
2018-03-16_1424_left/001831	476	848	542	1031	8.22
2018-03-16_1424_left/000654	1376	630	1419	670	5.19
2018-03-16_1424_left/000856	1266	799	1284	816	5.19
2018-03-16_1424_left/000617	806	772	832	795	5.19
2018-03-16_1424_left/000362	2	621	49	771	4.2
2018-03-16_1424_left/000912	1223	684	1254	711	5.19
2018-03-16_1424_left/000546	973	868	987	881	5.19
2018-03-16_1424_left/000614	624	937	649	959	5.19
2018-03-16_1424_left/000671	523	627	567	670	5.19
2018-03-16_1424_left/000671	1420	517	1472	572	5.19
2018-03-16_1424_left/000947	1232	495	1284	544	5.19
2018-03-16_1424_left/000901	1462	915	1494	945	5.19
2018-03-16_1424_left/001819	629	880	674	997	8.22
2018-03-16_1424_left/000323	785	895	841	944	4.2
2018-03-16_1424_left/000904	1468	911	1503	942	5.19
2018-03-16_1424_left/000940	184	912	226	954	5.19
2018-03-16_1424_left/000834	821	962	840	979	5.19
2018-03-16_1424_left/000958	315	547	361	593	5.19
2018-03-16_1424_left/002201	1639	914	1675	951	3.24
2018-03-16_1424_left/000941	481	633	523	672	5.19
2018-03-16_1424_left/000590	859	816	877	834	5.19
2018-03-16_1424_left/001836	389	814	460	1042	8.22
2018-03-16_1424_left/000575	1433	947	1447	961	5.19
2018-03-16_1424_left/000617	1305	741	1332	765	5.19
2018-03-16_1424_left/000535	997	871	1010	885	2.1
2018-03-16_1424_left/000875	677	941	698	961	5.19
2018-03-16_1424_left/000932	1570	874	1612	921	5.19
2018-03-16_1424_left/000679	1949	848	2014	913	5.19
2018-03-16_1424_left/000130	413	918	480	979	3.24
2018-03-16_1424_left/000276	915	960	944	988	4.2
2018-03-16_1424_left/000863	1263	793	1279	811	5.19
2018-03-16_1424_left/000164	1377	807	1465	907	3.24
2018-03-16_1424_left/000566	1275	826	1291	841	5.19
2018-03-16_1424_left/000666	573	652	613	685	5.19
2018-03-16_1424_left/001818	636	882	683	997	8.22
2018-03-16_1424_left/000680	26	899	78	946	5.19
2018-03-16_1424_left/001809	711	831	753	879	4.2
2018-03-16_1424_left/000540	985	864	999	878	5.19
2018-03-16_1424_left/002175	1608	933	1642	968	3.24
2018-03-16_1424_left/002202	1639	914	1675	950	3.24
2018-03-16_1424_left/000658	1735	901	1781	940	5.19
2018-03-16_1424_left/001825	561	860	617	992	8.22
2018-03-16_1424_left/000225	883	991	902	1044	8.22
2018-03-16_1424_left/000219	845	998	865	1046	8.22
2018-03-16_1424_left/000618	1537	922	1556	948	5.19
2018-03-16_1424_left/000542	862	966	875	980	2.1
2018-03-16_1424_left/000119	149	913	215	978	3.24
2018-03-16_1424_left/001786	836	923	866	997	8.22
2018-03-16_1424_left/000586	866	822	885	838	5.19
2018-03-16_1424_left/000890	1233	748	1260	771	5.19
2018-03-16_1424_left/000883	1246	761	1267	782	5.19
2018-03-16_1424_left/000901	517	935	539	958	5.19
2018-03-16_1424_left/000135	535	913	604	974	3.24
2018-03-16_1424_left/000905	490	933	513	959	5.19
2018-03-16_1424_left/000293	893	938	923	971	4.2
2018-03-16_1424_left/000237	922	988	942	1009	4.2
2018-03-16_1424_left/000542	980	862	994	876	5.19
2018-03-16_1424_left/000343	578	826	658	906	4.2
2018-03-16_1424_left/002184	198	900	236	932	3.24
2018-03-16_1424_left/000630	773	760	798	784	5.19
2018-03-16_1424_left/000956	1744	825	1807	890	5.19
2018-03-16_1424_left/002182	1623	939	1657	973	3.24
2018-03-16_1424_left/000691	2191	796	2278	887	5.19
2018-03-16_1424_left/000676	97	911	150	954	5.19
2018-03-16_1424_left/000561	1424	963	1439	977	5.19
2018-03-16_1424_left/000298	886	936	916	974	4.2
2018-03-16_1424_left/000155	1084	838	1161	921	3.24
2018-03-16_1424_left/000307	860	923	902	961	4.2
2018-03-16_1424_left/000639	503	936	530	963	5.19
2018-03-16_1424_left/000561	935	855	951	871	5.19
2018-03-16_1424_left/000975	1271	117	1361	217	5.19
2018-03-16_1424_left/000633	1596	926	1622	958	5.19
2018-03-16_1424_left/000933	1230	587	1269	629	5.19
2018-03-16_1424_left/000641	1350	679	1383	712	5.19
2018-03-16_1424_left/000923	1224	643	1258	675	5.19
2018-03-16_1424_left/001774	882	890	918	925	4.2
2018-03-16_1424_left/000215	805	976	825	995	4.2
2018-03-16_1424_left/000316	832	955	872	1078	8.22
2018-03-16_1424_left/000628	1327	721	1354	750	5.19
2018-03-16_1424_left/000551	959	859	973	872	5.19
2018-03-16_1424_left/000621	796	770	823	795	5.19
2018-03-16_1424_left/000558	944	849	958	864	5.19
2018-03-16_1424_left/000238	924	1012	943	1068	8.22
2018-03-16_1424_left/000116	84	904	147	963	3.24
2018-03-16_1424_left/000944	457	619	496	660	5.19
2018-03-16_1424_left/001775	878	890	912	925	4.2
2018-03-16_1424_left/000279	915	986	941	1063	8.22
2018-03-16_1424_left/000657	1728	907	1772	943	5.19
2018-03-16_1424_left/000677	455	588	506	635	5.19
2018-03-16_1424_left/000865	1436	930	1459	949	5.19
2018-03-16_1424_left/000542	1289	848	1302	863	5.19
2018-03-16_1424_left/002185	1627	928	1660	965	3.24
2018-03-16_1424_left/000294	892	973	923	1066	8.22
2018-03-16_1424_left/000845	794	947	813	963	5.19
2018-03-16_1424_left/000614	1521	924	1539	949	5.19
2018-03-16_1424_left/000559	1424	959	1438	973	5.19
2018-03-16_1424_left/000943	1631	851	1681	900	5.19
2018-03-16_1424_left/000664	1401	566	1446	612	5.19
2018-03-16_1424_left/000224	878	994	897	1049	8.22
2018-03-16_1424_left/000587	1441	944	1455	959	5.19
2018-03-16_1424_left/000896	1454	926	1482	952	5.19
2018-03-16_1424_left/000681	1453	403	1529	468	5.19
2018-03-16_1424_left/000698	1587	54	1702	154	5.19
2018-03-16_1424_left/000965	1856	800	1926	876	5.19
2018-03-16_1424_left/000918	1224	662	1254	694	5.19
2018-03-16_1424_left/000861	892	813	908	830	5.19
2018-03-16_1424_left/000307	864	967	903	1073	8.22
2018-03-16_1424_left/000686	328	523	387	577	5.19
2018-03-16_1424_left/000597	1466	946	1483	964	5.19
2018-03-16_1424_left/000930	291	913	328	945	5.19
