frame	xtl	ytl	xbr	ybr	class
2018-02-16_1515_left/000999	941.505859375	1026.798828125	966.4762573242188	1053.132080078125	3.27
2018-02-16_1515_left/000999	709.8827514648438	963.4213256835938	750.76904296875	1005.8933715820312	5.19
2018-02-16_1515_left/002036	695.70068359375	892.7078247070312	729.2498168945312	946.4442138671875	3.1
2018-02-16_1515_left/002036	1842.25634765625	854.3536987304688	1903.693115234375	916.896484375	5.19
2018-02-16_1515_left/002036	1023.3628540039062	886.4468383789062	1068.080322265625	932.0936279296875	5.19
2018-02-16_1515_left/002036	695.4137573242188	832.0269165039062	728.3103637695312	885.7747192382812	5.19
2018-02-16_1515_left/002036	1420.210693359375	926.2342529296875	1449.44384765625	956.3989868164062	5.19
2018-02-16_1515_left/001801	1461.3023681640625	958.2587890625	1487.1358642578125	984.7147216796875	4.1
2018-02-16_1515_left/001983	1991.27392578125	656.0056762695312	2105.807861328125	754.4373168945312	2.4
2018-02-16_1515_left/001983	893.0424194335938	897.111328125	913.267578125	935.8899536132812	3.1
2018-02-16_1515_left/001983	1688.052978515625	878.3335571289062	1730.5977783203125	920.0358276367188	5.19
2018-02-16_1515_left/001983	1117.6358642578125	889.9505615234375	1151.3828125	923.9676513671875	5.19
2018-02-16_1515_left/001983	75.47207641601562	899.1690063476562	113.12263488769531	940.8001098632812	5.19
2018-02-16_1515_left/001983	1424.6861572265625	913.542236328125	1451.7650146484375	940.6599731445312	5.19
2018-02-16_1515_left/001983	1996.6783447265625	870.1888427734375	2093.881103515625	966.195556640625	5.19
2018-02-16_1515_left/001983	893.1370849609375	856.9569091796875	913.1776123046875	890.9560546875	5.19
2018-02-16_1515_left/003048	560.3080444335938	855.7454833984375	622.841552734375	1063.008544921875	8.22
2018-02-16_1515_left/003048	548.1226806640625	771.1448364257812	632.6852416992188	857.533935546875	4.2
2018-02-16_1515_left/002102	238.94395446777344	839.9448852539062	308.13299560546875	930.5623168945312	3.1
2018-02-16_1515_left/002102	824.2474975585938	847.8302612304688	887.2312622070312	914.4505004882812	5.19
2018-02-16_1515_left/002102	241.4884490966797	739.5363159179688	303.9336853027344	827.2787475585938	5.19
2018-02-16_1515_left/002102	387.357421875	868.5443115234375	420.7453918457031	921.8152465820312	5.19
2018-02-16_1515_left/002102	1387.0013427734375	923.5232543945312	1422.536376953125	961.130859375	5.19
2018-02-16_1515_left/002102	1094.7650146484375	910.0977172851562	1118.3533935546875	950.7981567382812	5.19
2018-02-16_1515_left/002102	2212.88720703125	773.1824951171875	2325.340576171875	882.0732421875	5.19
2018-02-16_1515_left/000919	1017.7202758789062	1002.2352294921875	1039.9520263671875	1026.0458984375	5.19
2018-02-16_1515_left/003071	846.3207397460938	723.9080810546875	944.2265625	824.5361328125	4.2
2018-02-16_1515_left/001601	1282.53076171875	975.0297241210938	1314.996337890625	1008.4642944335938	4.2
2018-02-16_1515_left/002851	2160.825927734375	813.2982788085938	2261.82861328125	895.688720703125	2.4
2018-02-16_1515_left/002851	2331.246337890625	945.1824951171875	2407.71484375	1019.1393432617188	2.1
2018-02-16_1515_left/002851	2059.00048828125	971.0823364257812	2084.387939453125	996.3889770507812	4.2
2018-02-16_1515_left/003630	1587.8153076171875	948.9888305664062	1619.116943359375	984.8155517578125	5.19
2018-02-16_1515_left/002199	1225.760009765625	929.247314453125	1279.5191650390625	987.8391723632812	5.19
2018-02-16_1515_left/002199	751.4877319335938	890.7728271484375	793.6663208007812	961.4877319335938	5.19
2018-02-16_1515_left/002798	1943.9508056640625	961.6852416992188	1992.0777587890625	1011.9724731445312	2.1
2018-02-16_1515_left/002798	1736.3658447265625	939.9839477539062	1787.7606201171875	990.868408203125	3.27
2018-02-16_1515_left/002799	1741.6881103515625	890.3374633789062	1792.4461669921875	937.1106567382812	2.4
2018-02-16_1515_left/002799	1948.582275390625	963.1876220703125	1995.95703125	1014.1483154296875	2.1
2018-02-16_1515_left/002738	1640.707275390625	993.2047729492188	1674.956298828125	1029.4820556640625	2.1
2018-02-16_1515_left/002738	691.0699462890625	872.0028076171875	781.5929565429688	962.672119140625	5.19
2018-02-16_1515_left/002738	2087.873291015625	799.1717529296875	2214.32861328125	922.5270385742188	5.19
2018-02-16_1515_left/002738	1462.1324462890625	981.6544189453125	1501.1217041015625	1018.0971069335938	3.24
2018-02-16_1515_left/002507	1811.1907958984375	743.0930786132812	1939.6158447265625	872.8514404296875	2.1
2018-02-16_1515_left/002667	1538.5875244140625	943.617431640625	1591.32177734375	999.5284423828125	5.19
2018-02-16_1515_left/002667	988.6755981445312	960.634033203125	1035.4478759765625	1005.0592651367188	5.19
2018-02-16_1515_left/002667	990.3104248046875	912.4557495117188	1034.4482421875	956.283447265625	4.2
2018-02-16_1515_left/002263	718.6072387695312	844.3480224609375	819.8489379882812	958.9415283203125	5.19
2018-02-16_1515_left/002201	1217.9639892578125	929.056884765625	1272.0386962890625	988.6627807617188	5.19
2018-02-16_1515_left/002201	736.4898071289062	890.5802001953125	779.5457153320312	961.2258911132812	5.19
2018-02-16_1515_left/001917	1638.327880859375	809.5846557617188	1699.3507080078125	863.2421875	2.4
2018-02-16_1515_left/001917	1642.8931884765625	866.6187133789062	1691.96826171875	916.1049194335938	4.1
2018-02-16_1515_left/001917	1641.613525390625	919.9442138671875	1688.6270751953125	965.5184326171875	5.19
2018-02-16_1515_left/001917	1587.086181640625	893.351806640625	1618.5965576171875	924.2720336914062	5.19
2018-02-16_1515_left/001917	1182.0458984375	892.3176879882812	1206.6268310546875	916.2077026367188	5.19
2018-02-16_1515_left/001917	466.9224853515625	897.5261840820312	490.8429870605469	924.4006958007812	5.19
2018-02-16_1515_left/003413	387.9552001953125	882.9568481445312	469.333984375	959.2289428710938	4.1
2018-02-16_1515_left/003413	376.1151123046875	776.09521484375	482.09228515625	878.3035278320312	2.1
2018-02-16_1515_left/003413	1757.18505859375	913.2124633789062	1799.768310546875	968.1049194335938	5.19
2018-02-16_1515_left/003413	762.6146850585938	852.136474609375	827.1880493164062	1074.6749267578125	8.22
2018-02-16_1515_left/002627	1040.447265625	938.7678833007812	1073.0462646484375	970.3848876953125	4.2
2018-02-16_1515_left/002637	1030.11328125	929.7250366210938	1065.1612548828125	964.0632934570312	4.2
2018-02-16_1515_left/003657	2380.597412109375	961.8856201171875	2412.981689453125	997.496337890625	5.19
2018-02-16_1515_left/003657	324.0686950683594	898.9580078125	376.9665832519531	1065.361572265625	8.22
2018-02-16_1515_left/003657	314.47161865234375	826.527587890625	383.2383117675781	896.4360961914062	4.2
2018-02-16_1515_left/001787	1448.8648681640625	931.6651611328125	1473.9620361328125	956.5817260742188	4.1
2018-02-16_1515_left/001787	1447.33935546875	959.0648803710938	1474.338623046875	985.5238647460938	5.19
2018-02-16_1515_left/002796	1932.2059326171875	958.1767578125	1979.2376708984375	1007.3889770507812	2.1
2018-02-16_1515_left/003586	168.68385314941406	850.7166137695312	210.0322265625	892.1383666992188	3.27
2018-02-16_1515_left/003586	906.0444946289062	953.716796875	937.271728515625	984.8355102539062	5.19
2018-02-16_1515_left/003366	649.3029174804688	932.1394653320312	681.6630249023438	973.7890625	5.19
2018-02-16_1515_left/001912	1629.177490234375	817.9983520507812	1687.7806396484375	869.4382934570312	2.4
2018-02-16_1515_left/001912	1632.2454833984375	872.6442260742188	1680.445068359375	920.5913696289062	4.1
2018-02-16_1515_left/001912	1631.84521484375	923.2750854492188	1677.4267578125	968.2400512695312	5.19
2018-02-16_1515_left/001912	1188.56884765625	894.5026245117188	1212.8685302734375	918.7503051757812	5.19
2018-02-16_1515_left/001912	1584.2596435546875	896.0612182617188	1615.17626953125	926.3530883789062	5.19
2018-02-16_1515_left/002393	1427.5513916015625	904.1531372070312	1465.01171875	943.0297241210938	2.1
2018-02-16_1515_left/002302	1511.12939453125	853.00341796875	1538.2320556640625	880.4782104492188	2.1
2018-02-16_1515_left/002756	1716.556640625	981.5177001953125	1754.3836669921875	1020.5496826171875	2.1
2018-02-16_1515_left/002756	508.7185974121094	802.3073120117188	639.7713012695312	932.0768432617188	5.19
2018-02-16_1515_left/001593	1333.4732666015625	972.1716918945312	1361.80908203125	1000.5827026367188	4.2
2018-02-16_1515_left/002694	923.280517578125	920.8743286132812	980.1121826171875	978.6565551757812	5.19
2018-02-16_1515_left/002694	1645.58447265625	899.654296875	1709.4547119140625	964.3363647460938	5.19
2018-02-16_1515_left/002694	1419.381591796875	982.1917114257812	1448.6519775390625	1010.6334838867188	3.24
2018-02-16_1515_left/002490	1631.9921875	839.3198852539062	1721.9935302734375	929.9879760742188	2.1
2018-02-16_1515_left/003635	1556.3743896484375	823.2214965820312	1600.4163818359375	869.6994018554688	3.27
2018-02-16_1515_left/003635	1720.263427734375	952.2463989257812	1749.9466552734375	985.8074951171875	5.19
2018-02-16_1515_left/002176	1309.395751953125	959.9310913085938	1356.61279296875	1011.0357055664062	5.19
2018-02-16_1515_left/002176	903.9622802734375	928.341796875	938.343017578125	988.2244873046875	5.19
2018-02-16_1515_left/002176	339.6991882324219	773.87109375	453.5704650878906	893.3670043945312	5.19
2018-02-16_1515_left/001892	1607.7347412109375	834.3978881835938	1658.3426513671875	881.0629272460938	2.4
2018-02-16_1515_left/001892	1615.1619873046875	885.46240234375	1652.215576171875	923.5193481445312	4.1
2018-02-16_1515_left/001892	1609.71484375	927.8426513671875	1651.5208740234375	967.793212890625	5.19
2018-02-16_1515_left/001892	1587.095703125	898.5535278320312	1615.5030517578125	925.6887817382812	5.19
2018-02-16_1515_left/001892	1217.7164306640625	896.4498291015625	1241.1341552734375	919.7098388671875	5.19
2018-02-16_1515_left/003577	667.931884765625	959.7237548828125	700.6264038085938	991.4605102539062	5.19
2018-02-16_1515_left/003577	69.40699768066406	963.518798828125	96.95365142822266	992.2515258789062	5.19
2018-02-16_1515_left/002632	1036.22314453125	935.826171875	1068.828369140625	967.6344604492188	4.2
2018-02-16_1515_left/002959	1720.7784423828125	898.9794311523438	1764.650390625	944.2221069335938	4.2
2018-02-16_1515_left/002114	122.074462890625	813.798828125	201.60354614257812	912.279541015625	3.1
2018-02-16_1515_left/002114	320.5779113769531	849.2197265625	357.8082275390625	906.0686645507812	5.19
2018-02-16_1515_left/002114	1073.7232666015625	894.8494262695312	1097.474609375	939.8825073242188	5.19
2018-02-16_1515_left/002114	1377.2109375	910.2210083007812	1415.45068359375	950.5171508789062	5.19
2018-02-16_1515_left/002114	778.472412109375	826.3414916992188	845.7000732421875	896.93994140625	5.19
2018-02-16_1515_left/002114	123.9478759765625	702.7575073242188	197.33139038085938	798.7410278320312	5.19
2018-02-16_1515_left/002114	2315.14404296875	735.79541015625	2439.09814453125	858.8720703125	5.19
2018-02-16_1515_left/002114	1376.18896484375	859.9797973632812	1419.021240234375	903.3927001953125	4.2
2018-02-16_1515_left/002003	827.7033081054688	895.1632080078125	853.443603515625	937.1716918945312	3.1
2018-02-16_1515_left/002003	1733.4681396484375	868.1866455078125	1782.0650634765625	917.3045654296875	5.19
2018-02-16_1515_left/002003	1084.267333984375	885.8287353515625	1122.6146240234375	924.7312622070312	5.19
2018-02-16_1515_left/002003	1420.98193359375	915.2883911132812	1448.19921875	943.381103515625	5.19
2018-02-16_1515_left/002003	802.9647216796875	892.0001220703125	822.6781616210938	923.041015625	5.19
2018-02-16_1515_left/002003	827.4234008789062	845.7838745117188	852.2000122070312	887.1776123046875	5.19
2018-02-16_1515_left/002987	1143.0712890625	912.5050048828125	1183.516845703125	1039.26171875	8.22
2018-02-16_1515_left/002987	1138.3150634765625	856.80615234375	1190.1849365234375	911.0623779296875	4.2
2018-02-16_1515_left/003471	1635.546630859375	809.6597290039062	1770.84033203125	939.4931640625	4.1
2018-02-16_1515_left/003471	866.5917358398438	947.4754638671875	938.9959106445312	1022.0484008789062	2.1
2018-02-16_1515_left/003471	1617.1461181640625	633.9284057617188	1791.4954833984375	803.5989379882812	2.1
2018-02-16_1515_left/002621	1048.14501953125	947.5796508789062	1077.4656982421875	976.5432739257812	4.2
2018-02-16_1515_left/002388	1427.7135009765625	902.0514526367188	1463.8643798828125	939.7777709960938	2.1
2018-02-16_1515_left/002155	1002.5162963867188	944.8341064453125	1031.126953125	995.7268676757812	5.19
2018-02-16_1515_left/002155	43.12882995605469	866.5151977539062	96.13262939453125	936.5393676757812	5.19
2018-02-16_1515_left/002155	1362.5111083984375	968.3265991210938	1405.7642822265625	1014.0556640625	5.19
2018-02-16_1515_left/002155	581.4566650390625	830.4264526367188	670.8063354492188	926.3513793945312	5.19
2018-02-16_1515_left/002373	1418.773681640625	894.7640991210938	1450.8355712890625	928.3526611328125	2.1
2018-02-16_1515_left/003450	1074.6583251953125	845.4406127929688	1182.306396484375	946.6439819335938	4.1
2018-02-16_1515_left/003450	403.0224304199219	943.5151977539062	475.83148193359375	1016.3760986328125	2.1
2018-02-16_1515_left/003450	1063.281494140625	709.8252563476562	1198.5269775390625	840.8987426757812	2.1
2018-02-16_1515_left/003039	487.0269775390625	872.0138549804688	544.4580688476562	1058.93115234375	8.22
2018-02-16_1515_left/002883	2112.086669921875	965.2709350585938	2141.791748046875	994.7136840820312	4.2
2018-02-16_1515_left/001919	1643.253662109375	807.2213134765625	1703.827880859375	859.7361450195312	2.4
2018-02-16_1515_left/001919	1646.423583984375	863.2041015625	1696.9808349609375	914.331298828125	4.1
2018-02-16_1515_left/001919	1645.892333984375	917.1627807617188	1693.5635986328125	963.7265625	5.19
2018-02-16_1515_left/001919	1589.1531982421875	891.3904418945312	1619.612548828125	921.6746826171875	5.19
2018-02-16_1515_left/001919	1180.6251220703125	890.6755981445312	1204.8262939453125	914.8303833007812	5.19
2018-02-16_1515_left/001919	458.5368347167969	896.811767578125	482.4453125	924.1130981445312	5.19
2018-02-16_1515_left/002996	950.3821411132812	846.0761108398438	1007.2229614257812	904.3233642578125	4.2
2018-02-16_1515_left/001097	997.7195434570312	975.9666137695312	1038.497802734375	1016.0046997070312	5.19
2018-02-16_1515_left/001079	897.4890747070312	977.4854736328125	935.1219482421875	1015.3161010742188	5.19
2018-02-16_1515_left/002515	1945.74853515625	697.2682495117188	2102.650634765625	848.1689453125	2.1
2018-02-16_1515_left/003525	2250.273681640625	882.5266723632812	2373.1396484375	1002.4595336914062	2.1
2018-02-16_1515_left/001850	1539.0162353515625	870.6819458007812	1581.330322265625	910.1342163085938	2.4
2018-02-16_1515_left/001850	1545.16259765625	913.7986450195312	1575.5142822265625	943.9669189453125	4.1
2018-02-16_1515_left/001850	1575.63916015625	940.9723510742188	1602.677490234375	973.1062622070312	5.19
2018-02-16_1515_left/001850	1541.191162109375	947.8501586914062	1576.8326416015625	980.0408325195312	5.19
2018-02-16_1515_left/001939	1699.2769775390625	788.053955078125	1772.1744384765625	852.6838989257812	2.4
2018-02-16_1515_left/001939	1705.760986328125	855.8215942382812	1764.6009521484375	916.8084106445312	4.1
2018-02-16_1515_left/001939	1704.977783203125	918.6764526367188	1761.7052001953125	974.2537841796875	5.19
2018-02-16_1515_left/001939	1164.7242431640625	898.4918212890625	1191.7044677734375	925.6142578125	5.19
2018-02-16_1515_left/001939	1610.24169921875	896.6766967773438	1645.2916259765625	930.3626098632812	5.19
2018-02-16_1515_left/001939	371.1267395019531	904.3152465820312	397.4093933105469	935.553955078125	5.19
2018-02-16_1515_left/003392	1227.644775390625	923.314453125	1263.0555419921875	969.9083251953125	5.19
2018-02-16_1515_left/002134	194.43885803222656	800.771484375	238.79244995117188	864.8787841796875	5.19
2018-02-16_1515_left/002134	1037.5633544921875	857.0848999023438	1064.7474365234375	906.7612915039062	5.19
2018-02-16_1515_left/002134	1367.406494140625	875.8108520507812	1407.72509765625	918.4395751953125	5.19
2018-02-16_1515_left/002134	690.0364379882812	770.90576171875	767.6685791015625	853.2437133789062	5.19
2018-02-16_1515_left/002105	212.47157287597656	833.0200805664062	284.3786315917969	925.7274169921875	3.1
2018-02-16_1515_left/002105	371.7594299316406	863.3117065429688	406.3341979980469	917.7401123046875	5.19
2018-02-16_1515_left/002105	1384.4952392578125	921.424072265625	1421.2825927734375	959.8701171875	5.19
2018-02-16_1515_left/002105	1089.5513916015625	908.0504150390625	1113.8277587890625	950.3084106445312	5.19
2018-02-16_1515_left/002105	813.9730834960938	843.3861083984375	878.3328857421875	910.5760498046875	5.19
2018-02-16_1515_left/002105	2237.550048828125	766.7763671875	2353.359130859375	879.7899169921875	5.19
2018-02-16_1515_left/002105	215.2711639404297	731.0411376953125	279.5292053222656	819.032958984375	5.19
