frame	xtl	ytl	xbr	ybr	class	score
2018-03-23_1352_right/004898	1603	928	1681	1009	3.1	0.9552412033081056
2018-03-23_1352_right/003864	2076	793	2261	1005	4.1	0.739274263381958
2018-03-23_1352_right/007211	1653	693	1708	744	2.4	0.9921462535858154
2018-03-23_1352_right/007211	1658	745	1705	792	4.1	0.9604926109313964
2018-03-23_1352_right/003393	1727	957	1743	979	5.19	0.5609303712844849
2018-03-23_1352_right/003393	1257	963	1284	990	3.1	0.5110201835632324
2018-03-23_1352_right/003393	1633	967	1653	995	5.20	0.3401227593421936
2018-03-23_1352_right/003393	1636	947	1650	966	5.19	0.3295666575431824
2018-03-23_1352_right/007210	1648	698	1701	748	2.4	0.9870542287826538
2018-03-23_1352_right/007210	1654	749	1698	795	4.1	0.9551902413368224
2018-03-23_1352_right/007210	1488	350	1522	377	3.1	0.4364282786846161
2018-03-23_1352_right/001656	1252	892	1296	931	2.4	0.9869184494018556
2018-03-23_1352_right/001656	438	887	483	926	2.4	0.9763855934143066
2018-03-23_1352_right/001656	2118	877	2159	914	2.4	0.8634399175643921
2018-03-23_1352_right/004699	459	861	553	952	3.27	0.9856303334236144
2018-03-23_1352_right/004699	1368	997	1397	1031	3.1	0.6933131814002991
2018-03-23_1352_right/000648	819	927	894	1002	5.20	0.9626476168632508
2018-03-23_1352_right/000648	833	861	886	914	5.19	0.9344953894615172
2018-03-23_1352_right/000648	1442	944	1474	975	5.20	0.8577268719673157
2018-03-23_1352_right/000648	1448	917	1469	939	5.19	0.6557077169418335
2018-03-23_1352_right/000648	1070	919	1092	942	5.19	0.6080816388130188
2018-03-23_1352_right/000848	1632	880	1705	955	5.20	0.9898983240127563
2018-03-23_1352_right/000848	2062	658	2190	796	3.27	0.9875322580337524
2018-03-23_1352_right/000848	749	820	798	871	5.19	0.9185751080513
2018-03-23_1352_right/000848	1643	818	1692	868	5.19	0.8981977701187134
2018-03-23_1352_right/000732	1566	835	1624	895	3.27	0.9905722141265868
2018-03-23_1352_right/000732	1443	915	1486	961	5.20	0.984762966632843
2018-03-23_1352_right/000732	922	882	950	911	5.19	0.9542496800422668
2018-03-23_1352_right/000732	1450	879	1479	908	5.19	0.8624050617218018
2018-03-23_1352_right/000732	2159	641	2255	742	5.19	0.8239716291427612
2018-03-23_1352_right/008167	965	890	993	920	3.27	0.7938563823699951
2018-03-23_1352_right/008167	1414	844	1442	875	3.27	0.7177820205688477
2018-03-23_1352_right/008167	1861	843	1877	868	5.19	0.3877363204956055
2018-03-23_1352_right/000883	1829	827	1936	938	5.20	0.9264843463897704
2018-03-23_1352_right/000883	1846	739	1917	810	5.19	0.8537297248840332
2018-03-23_1352_right/000883	553	747	625	821	5.19	0.7719065546989441
2018-03-23_1352_right/000992	1265	922	1293	950	5.20	0.6326520442962646
2018-03-23_1352_right/000992	2341	893	2360	925	5.19	0.55597323179245
2018-03-23_1352_right/000992	2337	932	2363	979	5.20	0.4963749051094055
2018-03-23_1352_right/004471	951	953	984	987	3.27	0.8538109660148621
2018-03-23_1352_right/008529	995	887	1030	921	3.27	0.943734049797058
2018-03-23_1352_right/008529	1531	839	1564	875	3.27	0.91890549659729
2018-03-23_1352_right/008529	2095	843	2113	872	5.19	0.6165406703948975
2018-03-23_1352_right/001256	1566	601	1730	769	5.20	0.9579999446868896
2018-03-23_1352_right/007366	994	820	1029	874	3.1	0.8614440560340881
2018-03-23_1352_right/002359	567	873	601	930	5.20	0.9736670851707458
2018-03-23_1352_right/000644	1437	942	1467	972	5.20	0.7541216611862183
2018-03-23_1352_right/000644	832	927	901	999	5.20	0.7521346211433411
2018-03-23_1352_right/000644	1442	916	1462	937	5.19	0.6829613447189331
2018-03-23_1352_right/000644	844	865	893	916	5.19	0.6156368255615234
2018-03-23_1352_right/000644	1071	919	1091	939	5.19	0.5820251703262329
2018-03-23_1352_right/000644	2390	143	2448	302	3.24	0.3691824674606323
2018-03-23_1352_right/004306	431	810	487	870	5.20	0.9940026998519896
2018-03-23_1352_right/004306	431	871	486	929	3.24	0.7542919516563416
2018-03-23_1352_right/004306	1335	954	1351	972	5.19	0.5008752346038818
