frame	xtl	ytl	xbr	ybr	class
2018-02-16_1515_left/001992	2099.42431640625	844.036376953125	2225.107177734375	955.4783325195312	5.19
2018-02-16_1515_left/002094	2159.11083984375	802.9807739257812	2256.94970703125	889.6686401367188	5.19
2018-02-16_1515_left/002100	259.4358825683594	755.8508911132812	323.1648254394531	826.16748046875	5.19
2018-02-16_1515_left/002102	241.6732177734375	750.9656982421875	310.2497253417969	823.0505981445312	5.19
2018-02-16_1515_left/002105	214.73641967773438	738.0812377929688	283.996337890625	820.65234375	5.19
2018-02-16_1515_left/002107	2256.5595703125	763.4111328125	2377.591064453125	863.3455200195312	5.19
2018-02-16_1515_left/002111	156.12741088867188	715.8515625	231.65492248535156	799.5526123046875	5.19
2018-02-16_1515_left/002111	2291.336669921875	747.5645751953125	2416.214111328125	851.9093627929688	5.19
2018-02-16_1515_left/002112	2298.64794921875	744.1990966796875	2425.978271484375	853.7796020507812	5.19
2018-02-16_1515_left/002112	148.33311462402344	709.5625	218.8567352294922	795.759521484375	5.19
2018-02-16_1515_left/002113	131.95663452148438	706.8073120117188	211.9671173095703	796.6142578125	5.19
2018-02-16_1515_left/002115	108.22618865966797	709.8472290039062	190.169921875	796.2129516601562	5.19
2018-02-16_1515_left/002117	86.93736267089844	700.5452270507812	164.5500030517578	785.8583374023438	5.19
2018-02-16_1515_left/002118	70.44975280761719	692.0332641601562	154.190673828125	786.7068481445312	5.19
2018-02-16_1515_left/002119	58.731971740722656	693.6964111328125	148.83477783203125	786.1460571289062	5.19
2018-02-16_1515_left/002120	46.54456329345703	686.0352783203125	132.4511260986328	778.6049194335938	5.19
2018-02-16_1515_left/002121	39.21965408325195	684.7402954101562	120.275390625	775.5670776367188	5.19
2018-02-16_1515_left/002122	24.493587493896484	676.2503051757812	112.70113372802734	772.7924194335938	5.19
2018-02-16_1515_left/002123	15.137896537780762	671.5272216796875	98.71388244628906	769.7327270507812	5.19
2018-02-16_1515_left/002137	682.1250610351562	782.5346069335938	760.9351196289062	855.7540283203125	5.19
2018-02-16_1515_left/002146	639.5092163085938	815.6390991210938	714.438720703125	895.7739868164062	5.19
2018-02-16_1515_left/002230	1079.5731201171875	956.3555297851562	1148.1121826171875	1020.781982421875	5.19
2018-02-16_1515_left/002235	351.3439636230469	893.1110229492188	416.01226806640625	974.8767700195312	5.19
2018-02-16_1515_left/002239	269.287109375	874.5651245117188	345.7000732421875	963.4531860351562	5.19
